Name,Value,Unit,Description,Assumptions
IO_Q_in,T,logical T/F or 1/0,toggles surface inflow,
IO_Q_precip,T,logical T/F or 1/0,toggle precipitation,
IO_Q_ground,T,logical T/F or 1/0,toggles net groundwater flow (percolation - infiltration),
IO_Q_ET,T,logical T/F or 1/0,toggles evapotranspiration,
IO_Q_out,T,logical T/F or 1/0,toggles surface outflow,
IO_assim_shootP,T,logical T/F or 1/0,toggles assimilation of shoot P,
IO_assim_rootP,T,logical T/F or 1/0,toggles growth of root P,
IO_mort_shootP2litterP,T,logical T/F or 1/0,toggles mortality of shoots,
IO_mort_rootP2LOP,T,logical T/F or 1/0,toggles mortality of root P to LOP,
IO_mort_rootP2ROP,T,logical T/F or 1/0,toggles mortatlity of root P,
IO_sed_IM,T,logical T/F or 1/0,toggles sedimentation of inorganic matter,
IO_decay_litter,T,logical T/F or 1/0,toggles decomposition of litter P to refractory organic P,
IO_decay_LOP,T,logical T/F or 1/0,toggles decomposition of labile OP,
IO_decay_ROP,T,logical T/F or 1/0,toggles decomposition of refractory OP,
IO_diffus,T,logical T/F or 1/0,toggles diffusion of DIP from b to a,
IO_adsorp,T,logical T/F or 1/0,toggles adsorption of DIP onto PIP,
IO_in_IM,T,g d.w./d,inflow of inorganic matter as ISS,
IO_in_PIP,T,g P/d,inflow of PIP,
IO_in_LOP,T,g P/d,inflow of labile organic P,
IO_in_ROP,T,g P/d,inflow of recalcitrant organic P,
IO_in_DIP,T,g P/d,inflow of dissolved inorganic P,
IO_out_IM,T,g P/d,outflow of IM,
IO_out_PIP,T,g P/d,outflow of PIP,
IO_out_LOP,T,g P/d,outflow of LOP,
IO_out_ROP,T,g P/d,outflow of ROP,
IO_out_DIP,T,g P/d,outflow of DIP,
area,1,m^2,wetland surface area,uniform flat surface
H_b,0.1,m,height of belowground compartment (sediment column),"NA"
H_w,0,m,height of water relative to sediment surface,"NA"
H_a,H_w,m,height of aboveground compartment,"NA"
Z_a,0,m,elevation NAVD88 of sediment surface (bottom of aboveground compartment),"NA"
Z_b,Z_a - H_b,m,elevation NAVD88 of the belowground compartment bottom,"NA"
Z_w,Z_a + H_w,m,elevation NAVD88 of water surface,"NA"
TW_max,23,degC,max daily mean water tempurature,fit to site data or assume equal to mean air temp on Aug 1
TW_min,4,degC,min daily mean water tempurature,fit to site data or assume equal to 4 degC on Jan 31
TA_h_max,28,degC,max daily high air tempurature,fit to data from local city/town (e.g. https://weatherspark.com/)
TA_h_min,-2,degC,min daily high air tempurature,""""""
TA_l_max,17,degC,max daily low air tempurature,""""""
TA_l_min,-11,degC,min daily low air tempurature,""""""
T_SD,3,degC,standard deviation of random effect on temperature,""""""
T_clim,0,degC,slope of climate change effect on temperature,""""""
t_T,365,d,period of temperature oscilation,standard
t_T_l,31,d,day of year with minimum tempurature,assume Jan 31st coldest day
TA_h,13,degC,daily high air tempurature,""""""
TA_l,0,degC,daily low air tempurature,""""""
Precip_monthly,44/12,inches,monthly rainfall total,""""""
ns,2295/12,hours,daily time of sunshine,""""""
k_TW,(TA_h+TA_l)/2,degC,temperature of water,"average value (static) input data measured with HOBO (calibration) or function of time with seasonal, random and climate change terms (forecast)"
Q_in,0,m^3/d,inflow volume,used in static or forecast simulations
Q_out,0,m^3/d,outflow volume,
Q_precip,Precip_monthly * 12 / 365 * 2.54 / 100 * area,m^3,inflow volume,used in static or forecast simulations
