"Time
(hours)","Inflow
(cfs)","Storage
(acre-feet)","Elevation
(feet)","Primary
(cfs)"
5.00,0.00,0.000,365.89,0.00
5.50,0.00,0.000,365.89,0.00
6.00,0.00,0.000,365.89,0.00
6.50,0.00,0.000,365.89,0.00
7.00,0.00,0.000,365.89,0.00
7.50,0.00,0.000,365.89,0.00
8.00,0.10,0.001,366.96,0.00
8.50,1.70,0.031,368.55,0.00
9.00,5.20,0.045,369.02,5.13
9.50,10.26,0.047,369.09,10.21
10.00,15.70,0.049,369.17,15.65
10.50,24.78,0.188,369.19,17.66
11.00,40.83,0.671,369.26,23.89
11.50,72.32,1.665,369.40,38.81
12.00,376.27,5.281,369.91,109.70
12.50,"1,105.61",31.443,371.77,514.09
13.00,400.64,36.301,372.00,577.50
13.50,198.96,26.461,371.53,451.55
14.00,133.66,16.922,371.06,339.27
14.50,102.99,9.723,370.54,224.21
15.00,89.15,6.486,370.08,138.05
15.50,79.75,5.049,369.88,104.40
16.00,71.01,4.240,369.76,86.88
16.50,62.78,3.662,369.68,75.11
17.00,58.02,3.233,369.62,66.54
17.50,54.68,2.932,369.58,60.96
18.00,51.48,2.698,369.54,56.65
18.50,48.36,2.498,369.52,52.95
19.00,45.15,2.312,369.49,49.66
19.50,41.94,2.124,369.46,46.52
20.00,38.72,1.934,369.44,43.33
