"Time
(hours)","Inflow
(cfs)","Storage
(acre-feet)","Elevation
(feet)","Primary
(cfs)"
5.00,0.00,0.000,365.89,0.00
5.50,0.00,0.000,365.89,0.00
6.00,0.01,0.000,365.95,0.00
6.50,1.29,0.017,368.08,0.00
7.00,4.80,0.044,369.01,4.73
7.50,9.07,0.046,369.08,9.02
8.00,13.73,0.048,369.14,13.68
8.50,19.13,0.082,369.17,16.29
9.00,27.88,0.315,369.21,19.30
9.50,39.14,0.786,369.27,25.55
10.00,49.25,1.372,369.36,34.24
10.50,67.81,2.108,369.46,46.24
11.00,100.41,3.231,369.62,66.51
11.50,162.06,5.045,369.88,104.30
12.00,723.27,11.246,370.75,269.17
12.50,"1,916.01",59.306,373.00,871.08
13.00,672.16,67.871,373.34,980.21
13.50,325.93,50.734,372.66,765.98
14.00,216.06,34.462,371.91,553.17
14.50,165.61,22.623,371.34,405.18
15.00,142.93,14.303,370.94,310.33
15.50,127.55,9.049,370.44,205.17
16.00,113.35,6.898,370.14,148.28
16.50,100.03,5.780,369.98,121.09
17.00,92.32,5.088,369.88,105.29
17.50,86.88,4.650,369.82,95.70
18.00,81.70,4.327,369.77,88.76
18.50,76.66,4.055,369.74,82.98
19.00,71.50,3.795,369.70,77.77
19.50,66.35,3.537,369.66,72.59
20.00,61.21,3.279,369.63,67.43
