"Elevation
(feet)","Storage
(acre-feet)"
365.89,0.000
366.19,0.000
366.49,0.000
366.79,0.001
367.09,0.001
367.39,0.001
367.69,0.006
367.99,0.014
368.29,0.023
368.59,0.032
368.89,0.041
369.19,0.191
369.49,2.316
369.79,4.442
370.09,6.567
370.39,8.692
370.69,10.818
370.99,15.390
371.29,21.593
371.59,27.797
371.89,34.000
372.19,40.204
372.49,46.580
372.79,54.076
373.09,61.573
373.39,69.069
373.69,76.566
373.99,84.062
374.29,92.029
374.59,100.230
374.89,108.432
375.19,116.633
375.49,124.835
375.79,133.133
376.09,141.819
376.39,150.504
376.69,159.190
376.99,167.875
377.29,176.561
377.59,185.376
377.89,194.237
