"Elevation
(feet)","Primary
(cfs)"
365.89,0.00
366.19,0.00
366.49,0.00
366.79,0.00
367.09,0.00
367.39,0.00
367.69,0.00
367.99,0.00
368.29,0.00
368.59,0.00
368.89,0.00
369.19,17.59
369.49,49.67
369.79,91.07
370.09,139.96
370.39,195.24
370.69,256.18
370.99,322.22
371.29,392.95
371.59,468.01
371.89,547.12
372.19,630.03
372.49,716.53
372.79,806.43
373.09,899.56
373.39,995.77
373.69,"1,094.92"
373.99,"1,196.90"
374.29,"1,301.58"
374.59,"1,408.87"
374.89,"1,518.66"
375.19,"1,630.87"
375.49,"1,745.41"
375.79,"1,862.21"
376.09,"1,981.17"
376.39,"2,102.25"
376.69,"2,225.36"
376.99,"2,350.45"
377.29,"2,477.46"
377.59,"2,606.32"
377.89,"2,736.99"
