site,plot,rep_mean,AGB.gm2-090219_mean,AGL.gm2-101419_mean,BGB.0t10cm.gm2-090219_mean,AGL.gm2_101520_mean,bgb_loi_mean,bgb_tp_mgkg_mean,agb_tp_mgkg_mean,Litter_P_mgkg_total_mean,Litter_P_mgkg_inorganic_mean,bgb_tp_gm2_mean,agb_tp_gm2_mean,agl_tp_gm2_mean,rep_sd,AGB.gm2-090219_sd,AGL.gm2-101419_sd,BGB.0t10cm.gm2-090219_sd,AGL.gm2_101520_sd,bgb_loi_sd,bgb_tp_mgkg_sd,agb_tp_mgkg_sd,Litter_P_mgkg_total_sd,Litter_P_mgkg_inorganic_sd,bgb_tp_gm2_sd,agb_tp_gm2_sd,agl_tp_gm2_sd
LC,0,2,60,309.3333333333333,1646.416928397863,227.92544257657366,0.8959948320413529,996.0705526597199,1658.6422018348626,1553.7443181818182,NaN,1.6399474197775779,0.09951853211009175,0.41738138523166834,1,43.266615305567875,160.81459303599698,353.26791937783986,132.6543444658928,0,0,0,0,NA,0.35187977169163415,0.07176383407636906,0.2272661884042584
LC,1,2,261.3333333333333,209.33333333333334,834.5330250820916,452.746135914693,0.8913857677902741,925.3792134831604,1179.921568627451,1654.847619047619,NaN,0.7722595143761886,0.3083528366013072,0.49541680871619587,1,226.3566507380186,109.71478174491044,338.45116697723904,172.34000347848877,0,0,0,0,NA,0.3131956746998553,0.26708309440805894,0.14493853015803576
LC,2,2,616,565.3333333333334,974.7833560196874,468.73059693906697,0.8901098901098873,1343.7142857142699,1026.8143459915611,755.17277486911,NaN,1.309830320960153,0.6325176371308017,0.39044846380793313,1,218.46738887074198,191.26247236019233,374.47728285635844,118.69193260740514,0,0,0,0,NA,0.5031904746495524,0.22432544902379498,0.043617621943787814
LC,3,2,517.3333333333334,490.6666666666667,995.6902376501364,426.77614008368005,0.8100775193798437,1219.281976744207,650.5851063829788,2701.4482758620693,NaN,1.2140271611869673,0.3365693617021277,1.2392121442488908,1,303.3765536974361,48.05552344250693,156.95398420651617,418.8595837275527,0,0,0,0,NA,0.19137116412120006,0.19737226746134792,0.6285901590132034
LC,4,2,473.3333333333333,434.6666666666667,1223.0525753812701,530.7807397366277,0.7757352941176519,1335.1406249999727,1157.4421052631578,952.8972972972973,NaN,1.6329471799023751,0.5478559298245613,0.45998611212219226,1,324.00823034814,20.132891827388665,304.22925216218033,116.48280220756205,0,0,0,0,NA,0.4061888338750878,0.37502076825674124,0.06481152953241717
OCD,0,2,636,450.6666666666667,1583.696283506516,904.8248561316491,0.7370242214532867,1382.0397923875362,1494.125654450262,1147.8738532110092,700.0588235294117,2.188731282862258,0.9502639162303664,0.7779666386346805,1,159.34867429633672,114.28619047519842,619.9615315094939,563.3098140994372,0,0,0,0,0,0.8568115062956397,0.23808694226879573,0.37050953201777426
OCD,1,2,892,553.3333333333334,973.9122359517521,742.1092337522623,0.822916666666658,1601.8307291666847,1675.9810426540284,1239.547210300429,820.1088082901555,1.5600425470589514,1.4949750900473933,0.8028811100676883,1,382.39246854508,70.23769168568492,101.09122254951401,143.70466206358245,0,0,0,0,0,0.16193102672883974,0.64088252813523106,0.05746154420283784
OCD,2,2,369.3333333333333,453.3333333333333,2007.9317565910449,624.0407429953289,0.8727272727272845,2065.3881818181926,2592.8250000000003,1140.977366255144,568.7576530612245,4.147158519960588,0.9576167,0.6146297180405227,1,58.286647985051715,85.8215202226885,1432.086419285217,135.3151053001728,0,0,0,0,0,2.9578143657340203,0.15112707806184164,0.02846640249202488
OCD,3,2,813.3333333333334,414.6666666666667,998.3035978539425,955.2987585776962,0.8239436619718403,1372.7667253521179,1951.9804878048785,823.7854166666667,379.3424657534246,1.3704379609331943,1.5876107967479678,0.569770672104705,1,80.1332224070225,137.94684966802734,211.73056653670542,457.16163429220455,0,0,0,0,0,0.29065667648154186,0.15641848656343663,0.2675221222887006
OCD,4,2,809.3333333333334,488,1387.6942682210563,802.6340366285239,0.9038461538461516,1258.2019230769042,1557.041450777202,540.7189189189188,178.81720430107526,1.7459995969185302,1.260165547495682,0.3489351205028678,1,649.85331678259,118.45674315968678,444.6400265489373,358.66501793595813,0,0,0,0,0,0.5594469364808389,1.0118485511555406,0.10140936434910645
