days_elapsed,date,precip_inches,amc,Tair
0,2019-01-01,0.14,2,-0.5555555555555556
1,2019-01-02,0.10500000000000002,2,-7.222222222222222
2,2019-01-03,0.07,2,-2.2222222222222223
3,2019-01-04,0.035,2,2.2222222222222223
4,2019-01-05,0,2,0
5,2019-01-06,0.07,2,-3.333333333333333
6,2019-01-07,0,2,-10
7,2019-01-08,0.26,2,-1.6666666666666665
8,2019-01-09,0.37,2,0
9,2019-01-10,0.01,2,-5.555555555555555
10,2019-01-11,0.005,2,-12.222222222222221
11,2019-01-12,0,2,-14.444444444444445
12,2019-01-13,0,2,-15.555555555555555
13,2019-01-14,0.003333333333333333,2,-13.88888888888889
14,2019-01-15,0.006666666666666666,2,-8.333333333333334
15,2019-01-16,0.01,2,-5.555555555555555
16,2019-01-17,0,2,-12.777777777777777
17,2019-01-18,0.02,2,-4.444444444444445
18,2019-01-19,0.17,2,-13.333333333333332
19,2019-01-20,0.5,3,-18.333333333333332
20,2019-01-21,0.15,3,-18.88888888888889
21,2019-01-22,0,3,-17.22222222222222
22,2019-01-23,0.030000000000000002,2,-2.2222222222222223
23,2019-01-24,1.02,3,2.2222222222222223
24,2019-01-25,0.02,3,-2.7777777777777777
25,2019-01-26,0.01,3,-10
26,2019-01-27,0.15,3,-7.222222222222222
27,2019-01-28,0,3,-12.222222222222221
28,2019-01-29,0.14,3,-9.444444444444445
29,2019-01-30,0.15,3,-10
30,2019-01-31,0.075,3,-15
31,2019-02-01,0,3,-12.777777777777777
32,2019-02-02,0.09,3,-13.333333333333332
33,2019-02-03,0.10999999999999999,3,-1.6666666666666665
34,2019-02-04,0.01,3,5.555555555555555
35,2019-02-05,0.060000000000000005,3,2.7777777777777777
36,2019-02-06,0.34,3,-3.333333333333333
37,2019-02-07,0.07,3,0.5555555555555556
38,2019-02-08,0.035,3,1.6666666666666665
39,2019-02-09,0,3,-6.111111111111111
40,2019-02-10,0,2,-5.555555555555555
41,2019-02-11,0,2,-9.444444444444445
42,2019-02-12,0.51,3,-11.11111111111111
43,2019-02-13,0.35,3,-2.7777777777777777
44,2019-02-14,0.235,3,-3.888888888888889
45,2019-02-15,0.12000000000000001,3,1.6666666666666665
46,2019-02-16,0.060000000000000005,3,-3.333333333333333
47,2019-02-17,0,3,-9.444444444444445
48,2019-02-18,0.10999999999999999,3,-12.777777777777777
49,2019-02-19,0,3,-11.666666666666666
50,2019-02-20,0.02,3,-11.11111111111111
51,2019-02-21,0.14,3,0
