site,deploy.date,collect.date,days.elapsed,bag (g)_mean,initial D.W (g)_mean,final D.W (g)_mean,frac.loss_mean,frac.remaining (%)_mean,AGL.gm2-101419_mean,Litter_P_mgkg_total_mean,Litter_P_mgkg_inorganic_mean,Litter_gm2_mean,Litter_ip_gm2_mean,Litter_tp_gm2_mean,bag (g)_sd,initial D.W (g)_sd,final D.W (g)_sd,frac.loss_sd,frac.remaining (%)_sd,AGL.gm2-101419_sd,Litter_P_mgkg_total_sd,Litter_P_mgkg_inorganic_sd,Litter_gm2_sd,Litter_ip_gm2_sd,Litter_tp_gm2_sd
LC,2020-01-03T00:00:00Z,2020-01-03T00:00:00Z,0,11.908666666666667,21.734666666666666,21.734666666666666,0,1,401.8666666666667,1523.6220570515827,NaN,401.8666666666667,NaN,0.5987334663971522,1.2545763500807028,2.5685524752634157,2.5685524752634157,0,0,164.79982347739883,689.1165022271392,NA,164.79982347739883,NA,0.3938567083299166
LC,2020-01-03T00:00:00Z,2020-03-17T00:00:00Z,74,11.653333333333332,22.08866666666667,20.7,0.13299977896075296,0.867000221039247,401.8666666666667,549.3411540426333,NaN,349.4462413940421,NaN,0.15530617106334776,1.0879547116242727,2.430830011632765,2.2250035750737363,0.0661928418610282,0.06619284186102822,164.79982347739883,349.99843295780937,NA,150.16452087383337,NA,0.07021363192758444
LC,2020-01-03T00:00:00Z,2020-05-01T00:00:00Z,119,11.668666666666667,22.17,20.264,0.1732304271544144,0.8267695728455856,401.8666666666667,679.7739544232649,NaN,327.79597775155383,NaN,0.18062531846713278,1.235099554323824,2.5144446341452453,1.8963810031454413,0.06493070285631729,0.06493070285631729,164.79982347739883,493.7000909958092,NA,131.03774309992656,NA,0.11797505421059033
LC,2020-01-03T00:00:00Z,2020-07-15T00:00:00Z,194,11.838,22.446,20.094,0.2276195917510322,0.7723804082489678,401.8666666666667,872.95084056006306,NaN,314.30783058792514,NaN,0.20786453945878644,0.9843862878140694,2.7426102364519296,2.7618862131784963,0.12137919136167911,0.12137919136167911,164.79982347739883,592.7052298908571,NA,142.34736318591283,NA,0.10754302567686856
LC,2020-01-03T00:00:00Z,2020-10-26T00:00:00Z,297,11.598666666666666,22.227333333333334,17.493333333333332,0.4388595105636819,0.5611404894363181,401.8666666666667,1545.4996034876606,NaN,227.0940567569821,NaN,0.2768145899459488,1.1664214893892735,2.7522506492620975,2.2985716908945473,0.1595459971250476,0.1595459971250476,164.79982347739883,983.0958127745571,NA,116.06239215161216,NA,0.15102934777861896
OCD,2019-11-10T00:00:00Z,2019-11-10T00:00:00Z,0,12.906666666666666,25.387999999999998,25.387999999999998,0,1,472,978.5805530704336,529.4169909870583,472,0.2543373982553815,0.4651803061585082,1.834449384816748,1.779723676202675,1.779723676202675,0,0,101.03824658379257,263.25704633418536,230.88247995023102,101.03824658379257,0.13647496758909233,0.17174180074191195
OCD,2019-11-10T00:00:00Z,2020-03-17T00:00:00Z,128,13.158,25.409333333333333,23.437333333333335,0.15565949077288876,0.8443405092271112,472,516.4569850300499,NaN,398.7754924746487,NaN,0.20248791022460697,2.1069728392778457,2.846992352386191,2.3260758996449558,0.1420283355813699,0.1420283355813699,101.03824658379257,127.7432248655843,NA,109.94790637662148,NA,0.0646649310302337
OCD,2019-11-10T00:00:00Z,2020-05-01T00:00:00Z,173,13.086,24.909333333333333,22.947333333333333,0.16759083312198597,0.832409166878014,472,665.9507118435768,NaN,397.6228245336356,NaN,0.2628210898398655,1.620449432607005,2.0541934935859643,2.0610262227611496,0.1378264063637369,0.13782640636373686,101.03824658379257,262.828017691389,NA,126.46668698323393,NA,0.12031726330473147
OCD,2019-11-10T00:00:00Z,2020-07-15T00:00:00Z,248,13.046666666666667,24.59,22.451333333333334,0.1839243254270356,0.8160756745729644,472,675.3787388631587,NaN,387.005025328541,NaN,0.2580076546030037,1.460249044761637,1.636535975773218,1.789933467529399,0.07159163007459364,0.07159163007459364,101.03824658379257,213.08966227776912,NA,98.46931504694874,NA,0.09164766228910023
OCD,2019-11-10T00:00:00Z,2020-10-26T00:00:00Z,351,12.791333333333334,24.127333333333333,20.794666666666668,0.28624298934269576,0.7137570106573042,472,1237.8214431152714,344.3495899786311,333.97906973250196,0.11909431699665216,0.4203154871792245,1.5504597558612911,1.8883523361530135,2.1836422867227214,0.20258452851240394,0.20258452851240394,101.03824658379257,572.3343309852037,279.7604526069036,114.31037882585454,0.11140826680305174,0.25543158973154456
OCSP,2019-11-10T00:00:00Z,2019-11-10T00:00:00Z,0,12.539333333333333,23.428,23.428,0,1,406.4,1477.0759091869065,899.8484228775642,406.4,0.38247846568203747,0.6094457485787902,1.9690103651788675,2.1769762181855485,2.1769762181855485,0,0,175.60575679111952,216.49903664275283,263.98942831171433,175.60575679111952,0.2414919150629677,0.3083056950557929
