sample.n,id.string,site,plot,rep,depth,treatment,date.collected,BD,MC60,MC25,WEPw,WEPd,LysedCellP,frac.1.KCL.Pi,frac.2b.NaOH.Po,frac.2a.NaOH.Pi,frac.3.HCl.Pi,frac.4.Residue.P,frac.TP,Ca.3051a,Mg.3051a,Al.3051a,Fe.3051a,P.3051a,frac.Error,frac.Po,frac.Pi,TP.ign,HCl.Pi,HCl.Po,LOI,POXC,APA,TC,TN,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,fracOx.Al,fracOx.Fe,fracOx.P,MM.Al,MM.Fe,MM.P,pH,clay,silt,sand,year.core.n.depth,core.n,core.ID,site.n,field.rep,site.name,rst.yr,cls.yr,sample.date,P.1MKCl,BD.sd,Ox/IP,notes.x,lon,lat,project.x,site.plot,count_n,count_y,count_c,count_h,count_obs,frac_farmed,last_yr_y,first_yr_n,last_yr_farmed,last_yr_range,1991...12,1992...13,1993...14,1994...15,1995...16,1996...17,1997...18,1998...19,1999...20,2000...21,2001...22,2002...23,2003...24,2004...25,2005...26,2006...27,2007...28,2008...29,2009...30,2010...31,2011...32,2012...33,2013...34,2014...35,2015...36,2016...37,2017...38,2018...39,2019...40,2020...41,...42,2020...43,2019...44,2018...45,2017...46,2016...47,2015...48,2014...49,2013...50,2012...51,2011...52,2010...53,2009...54,2008...55,2007...56,2006...57,2005...58,2004...59,2003...60,2002...61,2001...62,2000...63,1999...64,1998...65,1997...66,1996...67,1995...68,1994...69,1993...70,1992...71,1991...72,sample.type,project.y,smpl.date,smpl.yr,notes.y,YSF,na.rm,equipment,lon.x,lat.x,description,project,lon1,lat1,lon2,lat2,lon3,lat3,index,name,lon.y,lat.y,elevation,collection start,collection end,solution status,lateral rms,sample count,antenna height,prior,WFPS,HCl.PSR
1,OCSP.0.CTRL.N,OCSP,0,N,0-5cm,CTRL,2019-07-09T00:00:00Z,0.08867878283215182,0.8756623101377605,0.8715701219512196,1.1893267105374465,NA,-1.1893267105374465,0.3206327098880598,784.3210780330594,229.45756498960716,158.18125535772842,563.7558369635287,1736.0363680538117,3297.6470588235297,5130.392156862745,21870.58823529412,17602.941176470584,1605.8823529411761,8.10482877990771,1348.0769149965881,387.95945305722364,1452.2074137931038,356.1553125,1096.0521012931038,0.827586206896561,2812.1766561514196,56.24353312302839,NA,NA,511.0442126123551,1876.2676131673593,3097.8819996919674,97.53795533084127,0.1320823876911794,604.8208087034678,0.08578953583605461,0.17598661318216693,0.3182326598684996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.0,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.08034118031876789,0.09205043889144095
2,OCSP.0.CTRL.N,OCSP,0,N,5-10cm,CTRL,2019-07-09T00:00:00Z,0.31925453971112794,0.6665340230799841,0.6710414902624895,0.38533858594863774,NA,-0.38533858594863774,0.1383242290931975,605.3630202546535,129.7480112672702,184.80835124884726,329.7203784610028,1249.778085460867,5871.0317460317465,5791.666666666667,26214.285714285714,19609.126984126982,1330.357142857143,-6.05694928079389,935.0833987156564,314.6946867452107,1203.7530000000002,312.3760714285714,891.3769285714288,0.33333333333331755,1455.7097791798105,29.11419558359621,NA,NA,396.7404910324042,1616.9860043411384,1150.0347194456417,29.154568814724733,0.15913120709117148,282.1880109109377,0.061683389811378574,0.058647930648649545,0.2982210402391226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.0,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.24194153474470673,0.12529293691065818
3,OCSP.0.CTRL.S,OCSP,0,S,0-5cm,CTRL,2019-07-09T00:00:00Z,0.14162763625598698,0.8263038548752834,0.8371472158657514,1.1168496671018269,NA,-1.1168496671018269,0.2863838506073333,522.030023149506,152.87365750377904,113.5645122894766,494.90846147006886,1283.6630382634378,7007.731958762886,5476.80412371134,23248.711340206184,18533.505154639173,1507.7319587628865,-14.861323274151472,1016.9384846195749,266.7245536438629,1594.2651,307.0082808280828,1287.2568191719174,0.4182621502209155,NA,NA,NA,NA,584.5812021221972,2166.835863581096,2392.2928173551077,68.54849746717265,0.1533467098093973,506.43098041847327,0.0932024073021967,0.1290793510129025,0.38772223320241456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.0,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.1236350624172798,0.080534080771528
4,OCSP.0.CTRL.S,OCSP,0,S,5-10cm,CTRL,2019-07-09T00:00:00Z,0.5323427233759704,0.5174632352941176,0.5286221871298855,0.46633969875173364,NA,-0.46633969875173364,0.09012354296183557,454.84540076656293,84.41637395520519,179.34593564842615,301.42886008578427,1020.1266939989403,5508.620689655172,6183.908045977011,27688.69731800766,22042.145593869733,1101.5325670498082,-7.390237518704884,756.2742608523472,263.8524331465932,1128.60195,283.29445544554454,845.3074945544554,0.15891741845940274,NA,NA,NA,NA,687.3161310478349,2498.816579625313,1774.5778297652205,45.69140579762889,0.17846029554512233,382.4230036874491,0.09024680904724901,0.08050839797822397,0.623963513751252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.0,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.34471566577609264,0.07355685391528777
5,OCSP.1.CTRL.N,OCSP,1,N,0-5cm,CTRL,2019-07-09T00:00:00Z,0.30999942767292,0.6428233064898152,0.6542299349240781,0.47441941207203875,NA,-0.47441941207203875,0.1295906017579445,490.4468705760129,184.5832658479475,186.47533679054544,305.32608976983755,1166.9611535861013,5033.210332103321,6297.970479704796,26009.22509225092,27030.442804428043,1312.730627306273,-11.10429441410162,795.7729603458504,371.18819324025094,1122.3341379310345,417.6046875,704.7294504310346,0.20689655172412189,1556.6561514195582,31.133123028391164,NA,NA,480.76195710341466,1679.285394459158,3596.8621596361204,97.84188286095139,0.12266874946265956,652.9524471661664,0.06456499140220356,0.1330670823878214,0.36623047189044383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.1,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.22567446246710868,0.10655386523095983
6,OCSP.1.CTRL.N,OCSP,1,N,5-10cm,CTRL,2019-07-09T00:00:00Z,0.6449166760947113,0.45187680461982677,0.45038422986969595,0.42515756360408685,NA,-0.42515756360408685,0.09980175784844011,414.32700741182686,149.5791821692078,199.7394896533839,286.9437006283256,1050.6891816205925,4814.090019569471,6335.6164383561645,29593.93346379648,28048.923679060666,1106.6536203522505,-5.0570872134177245,701.2707080401524,349.41847358044015,947.2995,374.229375,573.070125,0.1999999999999858,549.8109010011125,10.99621802002225,NA,NA,674.1439014239583,2256.64807417368,5327.328541200481,101.56000731517476,0.12168611569200884,935.3172900024806,0.07625373885949746,0.18992987403568307,0.6091733574317288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.1,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.38515638772612487,0.06755014608217856
7,OCSP.1.CTRL.S,OCSP,1,S,0-5cm,CTRL,2019-07-09T00:00:00Z,0.3325908379917351,0.643385753931545,0.5909694555112881,0.9294693515377268,NA,-0.9294693515377268,0.1165637654963352,445.9184574565013,179.51175406894828,214.0478523477862,356.0085310444302,1195.6031586831623,5089.251439539347,6284.069097888675,25056.62188099808,26049.904030710168,1220.7293666026872,-2.0582947053573037,801.9269885009314,393.6761701822308,1246.2232500000002,420.2708823529412,825.952367647059,0.19941916747337848,NA,NA,NA,NA,668.6979038892313,2154.846036429997,3842.1306463166193,101.39181193047595,0.1453382650674536,695.491692163059,0.08599906430579712,0.14749116318383135,0.5477855470539142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.1,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.2446948764958215,0.09134384980764411
8,OCSP.1.CTRL.S,OCSP,1,S,5-10cm,CTRL,2019-07-09T00:00:00Z,0.6665404455580447,0.45195439739413673,0.45280498664292074,0.7211110216677823,NA,-0.7211110216677823,0.07510656645474548,433.071232395927,129.6189401527746,189.13159621132027,308.472750567622,1060.3696258940986,5063.247863247864,5931.623931623932,29471.794871794875,24868.37606837607,1073.5042735042737,-1.223530071966946,741.543982963549,318.8256429305496,1075.7608500000001,366.4328571428571,709.327992857143,0.1427571728481458,NA,NA,NA,NA,759.2860320761642,2589.988622007836,4532.865774225481,119.9636611429592,0.1384811558561306,846.023859636007,0.08788024731016669,0.1822742973550939,0.7072967018543885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.1,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.40247939240876834,0.06683126444727892
9,OCSP.2.CTRL.1,OCSP,2,1,0-5cm,CTRL,2019-07-09T00:00:00Z,0.258271261634232,0.6672941176470588,0.6614710180224062,0.8689999724608221,NA,-0.8689999724608221,0.18794319660537484,501.71807321428577,161.73386395886305,189.4348796440358,417.6156088433314,1270.6903688571215,5213,6153,26945,23037,1337,-4.9595834811427455,919.3336820576171,351.35668679950425,1112.1825,413.0378571428571,699.1446428571428,0.33333333333334125,613.8820912124582,12.277641824249166,NA,NA,796.6112583715197,2147.2553337648105,2722.002334782931,84.61721083449815,0.20054712065001062,435.4832833034657,0.07969030743235518,0.11815784758357994,0.5958199389465368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.2,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.19095337227642795,0.10398240308426435
10,OCSP.2.CTRL.1,OCSP,2,1,5-10cm,CTRL,2019-07-09T00:00:00Z,0.6358498874965748,0.4637456378441257,0.45354072861236183,0.8627905248527216,NA,-0.8627905248527216,0.10461505622325144,454.3606865793516,108.80688414023085,201.20639772933893,259.61642551703346,1024.0950090221781,4656.130268199234,6707.854406130268,30349.616858237547,23945.402298850575,1091.9540229885056,-6.214457068495251,713.9771120963851,310.117896925793,1035.81,329.6475,706.1624999999999,0.2333333333333128,640.5784204671859,12.811568409343717,NA,NA,667.0032081935678,2520.2471113569377,1970.6274969937472,35.08725749616425,0.167399469448521,442.67060637794754,0.083040491849665235,0.08229669614230457,0.6108345169772675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OCSP.2,8,1,0,0,9,0.1111111111111111,1995,2003,1995,1995-2003,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,n,n,NA,n,NA,NA,NA,n,n,NA,n,NA,NA,NA,0,0,n,0,n,n,0,0,0,n,0,n,n,0,n,0,0,n,0,0,0,0,0,0,0,y,0,0,0,0,intact cores,LCBP,20190708,2019.605236,TNC Otter Creek Swamps Preserve,24.605236000000104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hay/pasture,0.3879613619770557,0.082732460544653
