Zw,Vw,A,Hw
110,0,0,-2.5
110.1,0,0,-2.4000000000000057
110.2,0,0,-2.299999999999997
110.3,0,0,-2.200000000000003
110.4,0,0,-2.0999999999999943
110.5,0,0,-2
110.6,0,0,-1.9000000000000057
110.7,0,0,-1.7999999999999972
110.8,0,0,-1.7000000000000028
110.9,0,0,-1.5999999999999943
111,0,0,-1.5
111.1,0,0,-1.4000000000000057
111.2,0,0,-1.2999999999999972
111.3,0,0,-1.2000000000000028
111.4,0,0,-1.0999999999999943
111.5,0,0,-1
111.6,0,0,-0.9000000000000057
111.7,0,0,-0.7999999999999972
111.8,0,0,-0.7000000000000028
111.9,0,0,-0.5999999999999943
112,0,0,-0.5
112.1,0.08720199584960961,1.47,-0.4000000000000057
112.2,0.3198652648925784,4.409999999999999,-0.29999999999999716
112.3,0.8734928894042979,8.329999999999998,-0.20000000000000284
112.4,2.961308898925783,59.77999999999999,-0.09999999999999432
112.5,84.17781822204621,3055.639999999999,0
112.6,755.0806502532971,10097.92,0.09999999999999432
112.7,2177.668795013438,19290.32,0.20000000000000284
112.8,4970.797556838994,39493.02,0.29999999999999716
112.9,10745.59152275081,78955.16999999998,0.4000000000000057
113,20940.81485259989,124082.7,0.5
113.1,35166.76065307573,158691.89,0.5999999999999943
113.2,52573.40288215771,189925.96,0.7000000000000028
113.3,73343.72814292937,226475.55,0.7999999999999972
113.4,97824.99518707291,261860.9,0.9000000000000057
113.5,125561.8889205962,293073.41,1
113.6,156450.5656545999,324159.01,1.0999999999999943
113.7,190167.0187210081,349136.27,1.2000000000000028
113.8,226132.5908271038,369504.1,1.2999999999999972
113.9,263978.4027114132,387044.14,1.4000000000000057
114,303510.6866381078,403335.66,1.5
114.1,344608.9993308982,418371.7999999999,1.5999999999999943
114.2,387113.7273683862,431380.8099999999,1.7000000000000028
114.3,430832.5922264049,442618.96,1.7999999999999972
114.4,475562.9652859507,451792.2499999999,1.9000000000000057
114.5,521155.3484524596,459954.6699999999,2
114.6,567535.6016813531,467622.1899999999,2.0999999999999943
114.7,614672.5126769969,475200.0399999999,2.200000000000003
114.8,662569.3803410324,482729.8699999999,2.299999999999997
114.9,711226.5285014358,490554.6799999999,2.4000000000000057
115,760697.0421414174,498954.7499999999,2.5
