"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b"
"1",0,0,29038.6266094421,0,0,0,0,0,0,1,7.25239699570815,0.00725965665236052,29.0386266094421,0.0125752986970391
"2",1,1.7154683686822e-05,29038.6266194274,0.00268881948247912,1.38440173553664e-06,3.4309367373644e-09,1.36665591193492e-08,5.59242688190397e-08,0.000393383739865505,1.00168931931685,7.25259717650402,0.00798415583669011,29.0354508424437,0.0100532268472073
"3",2,2.34608928988988e-05,29038.6266402503,0.00516362667087093,5.28351011958354e-06,4.69217857977976e-09,1.86405258525363e-08,7.64825108504101e-08,0.000381497813044851,1.00316562533855,7.25279767325434,0.00870270351087352,29.0307951479611,0.00984650778813959
"4",3,2.57726063673865e-05,29038.6266650638,0.00761498660368645,1.15911048920602e-05,5.1545212734773e-09,2.04456258354975e-08,8.401869675768e-08,0.000379798422526407,1.00461948210755,7.25299847332026,0.00941530862525801,29.0259939871987,0.00982421813232412
"5",4,2.66169254749833e-05,29038.6266913432,0.0100619466349276,2.02724584254652e-05,5.32338509498604e-09,2.10982690432452e-08,8.67711770483361e-08,0.000379635877261348,1.00606993597942,7.25319957901759,0.0101220396127943,29.0211807003471,0.0098235222016321
"6",5,2.69366418370751e-05,29038.6267181467,0.0125067786176259,3.13006873810581e-05,5.38732836739909e-09,2.1343228967104e-08,8.78134523886996e-08,0.000379539143755218,1.00751925779618,7.25340099456064,0.0108229725529289,29.0163711831293,0.00982539454427941
"7",6,2.70648235496568e-05,29038.6267451415,0.0149497035090468,4.46476295784828e-05,5.41296470991865e-09,2.14405847333597e-08,8.82313247717075e-08,0.000379535159989487,1.00896766740413,7.25360272487636,0.0115181913269398,29.0115669735272,0.00982776735108719
"8",7,2.71102005162415e-05,29038.6267722191,0.0173907787376506,6.02905937287533e-05,5.42204010323302e-09,2.14746463508219e-08,8.83792536826418e-08,0.00037953428906696,1.01041522132617,7.25380477397943,0.0122077636390544,29.006768466695,0.00983017163823644
"9",8,2.71263803638419e-05,29038.6267993258,0.0198300077783979,7.82034537793571e-05,5.42527607275297e-09,2.14866345451496e-08,8.84319999857798e-08,0.000379525057282131,1.01186192198489,7.25400714651097,0.0128917674049067,29.0019756790304,0.00983253992436395
"10",9,2.7129974187848e-05,29038.6268264451,0.022267385168054,9.83635395723278e-05,5.42599483755753e-09,2.14891826288139e-08,8.84437158521029e-08,0.00037951267835455,1.01330776299518,7.25420984649848,0.0135702700614389,28.9971885653082,0.00983487520662184
"11",10,2.71285059825864e-05,29038.6268535694,0.0247029056513084,0.000120747157352772,5.42570119650915e-09,2.14879708769709e-08,8.84389295030379e-08,0.000379499140525997,1.01475273813018,7.25441287814623,0.014243341900519,28.9924070812999,0.00983718037483114
"12",11,2.71263387125661e-05,29038.6268806945,0.0271365642698952,0.000145330502370982,5.42526774250825e-09,2.14862893886332e-08,8.84318642028455e-08,0.000379484810113387,1.01619684144776,7.25461624567212,0.0149110533565446,28.9876311846595,0.00983945744387625
"13",12,2.71246196665975e-05,29038.6269078191,0.0295683561840366,0.000172089888657415,5.42492393331695e-09,2.1484977098698e-08,8.84262601130458e-08,0.000379469999777693,1.0176400671208,7.2548199532665,0.0155734743141205,28.9828608337352,0.00984170802685579
"14",13,2.71236003354133e-05,29038.6269349429,0.0319982767852924,0.000201001865686836,5.42472006708156e-09,2.14842085825043e-08,8.84229370934202e-08,0.000379454467569606,1.01908240955482,7.25502400507091,0.0162306737610599,28.9780959883882,0.00984393302835962
"15",14,2.71231135080853e-05,29038.6269620663,0.0344263227152193,0.0002320491714048,5.42462270161669e-09,2.14838489360065e-08,8.84213500363491e-08,0.000379438259279395,1.02052386465918,7.25522840412862,0.0168827023294637,28.9733366191697,0.0098461328882908
