t,yr,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,d_IM_a,d_IM_b,d_shootP,d_litterP,d_ROP_a,d_LOP_a,d_PIP_a,d_DIP_a,d_rootP,d_ROP_b,d_LOP_b,d_PIP_b,d_DIP_b,r_sed_IM,r_sed_OM,r_diffus,r_decay_litter,r_decay_labile,r_decay_refrac,r_mort_shoot,r_mort_root,r_adsorp,r_assim,shootM,rootM,BM,litterM,OM_a,OM_b,TM_a,TM_b,TP,H_b,Z_a,Z_w,H_w,H_a,LOI_a,LOI_b,BD_b,PD_a,PD_b,phi_a,phi_b,V_pore_a,V_pore_b,V_w_b,V_w_a,V_w,d_V_w,TW,Q_ET,Q_precip,Q_ground,Q_in,Q_out
0,0,0,29038.63,0,0,0,0,0,0,1,7.252397,0.007259657,7.259657,0.06729935,0.003773797,0,0.003009264,0,7.547593e-07,3.019037e-06,1.230258e-05,0.08645328,0.002049768,0.0001918992,0.0006979408,1.817796e-17,-0.0923946,0.1250192,0.01060769,1.284496,0.009594962,0.009594962,0,0.0009594962,0.0009594962,1.94289e-16,0.006018528,0,1000,1000,0,0,8259.657,0,37298.28,15.58661,0.1117647,0.01176471,0.5149376,0.5031729,-0.01176471,NaN,0.2214487,333721.5,2048986,2048986,1,0.8371285,-0.01176471,0.09356142,0.09356142,0.5031729,0.5967343,-0.009218736,19.38889,0.006995465,0,0,0.0005031729,0.002830364
0,0,0,29038.63,0,0,0,0,0,0,1,7.252397,0.007259657,7.259657,0.06729935,0.003773797,0,0.003009264,0,7.547593e-07,3.019037e-06,1.230258e-05,0.08645328,0.002049768,0.0001918992,0.0006979408,1.817796e-17,-0.0923946,0.1250192,0.01060769,1.284496,0.009594962,0.009594962,0,0.0009594962,0.0009594962,1.94289e-16,0.006018528,0,1000,1000,0,0,8259.657,0,37298.28,15.58661,0.1117647,0.01176471,0.5149376,0.5031729,-0.01176471,NaN,0.2214487,333721.5,2048986,2048986,1,0.8371285,-0.01176471,0.09356142,0.09356142,0.5031729,0.5967343,-0.009218736,19.38889,0.006995465,0,0,0.0005031729,0.002830364
0.0009962739,2.727649e-06,3.759735e-06,29038.63,2.998051e-06,0,7.51947e-10,3.007788e-09,1.225674e-08,8.613114e-05,1.000002,7.252397,0.007260352,7.259657,0.0672073,0.003773237,4.700475e-07,0.003009441,2.876791e-09,7.547333e-07,3.018905e-06,1.230075e-05,0.08619614,0.002049888,0.0001919111,0.0006979776,-0.0001611128,-0.09197718,0.1250214,0.01060788,1.282436,0.009595537,0.009595537,0,0.0009595537,0.0009595537,-0.001722016,0.006018858,0.002998051,1000.002,1000.005,0,0.003001811,8259.66,0.00300557,37298.29,15.58661,0.1117647,0.01176474,0.5149284,0.5031637,-0.01176474,0.9987491,0.2214488,333721.4,2048986,2048986,1,0.8371285,-0.01176474,0.09356145,0.09356145,0.5031637,0.5967252,-0.009190989,19.38977,0.00699461,4.301911e-06,0,0.0005031637,0.002835409
0.0009962739,2.727649e-06,3.759177e-06,29038.63,2.998228e-06,2.866071e-12,7.519211e-10,3.007656e-09,1.225492e-08,8.587496e-05,1.000002,7.252397,0.007260352,7.259656,0.06720772,0.003773237,4.699777e-07,0.003009441,2.876933e-09,7.547333e-07,3.018905e-06,1.230075e-05,0.08619727,0.002049888,0.0001919111,0.0006979776,-0.0001603811,-0.09197904,0.1250214,0.01060788,1.282445,0.009595537,0.009595537,0,0.0009595537,0.0009595537,-0.001714196,0.006018858,0.002998228,1000.002,1000.005,2.866071e-09,0.00300199,8259.66,0.003005749,37298.29,15.58661,0.1117647,0.01176474,0.5149284,0.5031637,-0.01176474,0.9987493,0.2214488,333721.4,2048986,2048986,1,0.8371285,-0.01176474,0.09356145,0.09356145,0.5031637,0.5967252,-0.009190989,19.38977,0.00699461,4.301911e-06,0,0.0005031637,0.002835409
0.001992548,5.455298e-06,7.518354e-06,29038.63,5.996455e-06,5.732426e-12,1.503842e-09,6.015311e-09,2.450983e-08,0.0001717522,1.000004,7.252397,0.007261047,7.259656,0.06711608,0.003772677,9.399726e-07,0.003009619,5.75421e-09,7.547073e-07,3.018772e-06,1.229893e-05,0.08594162,0.002050009,0.000191923,0.0006980143,-0.0003207687,-0.09156384,0.1250237,0.01060807,1.280394,0.009596112,0.009596112,0,0.0009596112,0.0009596112,-0.00342846,0.006019188,0.005996455,1000.004,1000.01,5.732426e-09,0.00600398,8259.663,0.006011499,37298.29,15.58661,0.1117648,0.01176477,0.5149193,0.5031545,-0.01176477,0.9987493,0.2214488,333721.3,2048986,2048986,1,0.8371286,-0.01176477,0.09356148,0.09356148,0.5031545,0.596716,-0.009163242,19.39066,0.006993755,8.603821e-06,0,0.0005031545,0.002840453
0.001992548,5.455298e-06,7.517796e-06,29038.63,5.996632e-06,8.598982e-12,1.503816e-09,6.015179e-09,2.450802e-08,0.0001714975,1.000004,7.252397,0.007261047,7.259656,0.0671165,0.003772677,9.399028e-07,0.003009619,5.754353e-09,7.547073e-07,3.018772e-06,1.229893e-05,0.08594274,0.002050009,0.000191923,0.0006980143,-0.000320041,-0.09156569,0.1250237,0.01060807,1.280403,0.009596112,0.009596112,0,0.0009596112,0.0009596112,-0.003420681,0.006019188,0.005996632,1000.004,1000.01,8.598982e-09,0.00600416,8259.663,0.006011677,37298.29,15.58661,0.1117648,0.01176477,0.5149193,0.5031545,-0.01176477,0.9987495,0.2214488,333721.3,2048986,2048986,1,0.8371286,-0.01176477,0.09356148,0.09356148,0.5031545,0.596716,-0.009163242,19.39066,0.006993755,8.603821e-06,0,0.0005031545,0.002840453
0.01479815,4.051512e-05,5.578309e-05,29038.63,4.455121e-05,3.19094e-10,1.116616e-08,4.466143e-08,1.818529e-07,0.0012511,1.00003,7.2524,0.007269989,7.259639,0.06597796,0.003765476,6.975846e-06,0.0030119,4.278171e-08,7.543717e-07,3.017058e-06,1.227545e-05,0.08279462,0.002051564,0.000192076,0.0006984868,-0.002312379,-0.08643597,0.1250531,0.01061056,1.254878,0.009603505,0.009603505,0,0.0009603505,0.0009603505,-0.02471521,0.006023435,0.04455121,1000.03,1000.075,3.19094e-07,0.04460735,8259.7,0.04466314,37298.33,15.58661,0.1117652,0.01176522,0.5148017,0.5030365,-0.01176522,0.998751,0.2214496,333720.3,2048984,2048984,1,0.8371289,-0.01176522,0.09356189,0.09356189,0.5030365,0.5965984,-0.008806599,19.40204,0.006982762,6.38984e-05,0,0.0005030365,0.002905292
0.01479815,4.051512e-05,5.578308e-05,29038.63,4.455121e-05,3.193658e-10,1.116615e-08,4.466139e-08,1.818528e-07,0.00125189,1.00003,7.2524,0.007269989,7.259639,0.06597678,0.003765476,6.975844e-06,0.0030119,4.278171e-08,7.543717e-07,3.017058e-06,1.227545e-05,0.08279148,0.002051564,0.000192076,0.0006984868,-0.002314442,-0.08643077,0.1250531,0.01061056,1.254853,0.009603505,0.009603505,0,0.0009603505,0.0009603505,-0.02473726,0.006023435,0.04455121,1000.03,1000.075,3.193658e-07,0.04460736,8259.7,0.04466314,37298.33,15.58661,0.1117652,0.01176522,0.5148017,0.5030365,-0.01176522,0.998751,0.2214496,333720.3,2048984,2048984,1,0.8371289,-0.01176522,0.09356189,0.09356189,0.5030365,0.5965984,-0.008806599,19.40204,0.006982762,6.38984e-05,0,0.0005030365,0.002905292
0.02760375,7.557494e-05,0.0001039561,29038.63,8.313501e-05,1.10429e-09,2.082418e-08,8.328566e-08,3.38897e-07,0.002291888,1.000057,7.252402,0.007278937,7.259597,0.0649029,0.003758271,1.300309e-05,0.003014184,7.988965e-08,7.540336e-07,3.015334e-06,1.225196e-05,0.07986996,0.002053119,0.0001922292,0.0006989596,-0.004193028,-0.08164145,0.1250824,0.01061305,1.230699,0.009610904,0.009610904,0,0.0009610904,0.0009610904,-0.04481581,0.006027685,0.08313501,1000.057,1000.14,1.10429e-06,0.08324023,8259.738,0.08334418,37298.36,15.58661,0.1117657,0.01176566,0.5146841,0.5029184,-0.01176566,0.9987527,0.2214504,333719.4,2048983,2048983,1,0.8371293,-0.01176566,0.0935623,0.0935623,0.5029184,0.5964807,-0.008449955,19.41343,0.006971769,0.000119193,0,0.0005029184,0.00297013
0.02760375,7.557494e-05,0.0001039561,29038.63,8.313503e-05,1.104806e-09,2.082417e-08,8.328559e-08,3.38897e-07,0.002293359,1.000057,7.252402,0.007278937,7.259598,0.06490069,0.003758271,1.300308e-05,0.003014184,7.988965e-08,7.540336e-07,3.015334e-06,1.225196e-05,0.07986415,0.002053119,0.0001922292,0.0006989596,-0.004196918,-0.08163176,0.1250824,0.01061305,1.230652,0.009610904,0.009610904,0,0.0009610904,0.0009610904,-0.04485739,0.006027685,0.08313503,1000.057,1000.14,1.104806e-06,0.08324024,8259.738,0.0833442,37298.36,15.58661,0.1117657,0.01176566,0.5146841,0.5029184,-0.01176566,0.9987527,0.2214504,333719.4,2048983,2048983,1,0.8371293,-0.01176566,0.0935623,0.0935623,0.5029184,0.5964807,-0.008449955,19.41343,0.006971769,0.000119193,0,0.0005029184,0.00297013
0.04040935,0.0001106348,0.0001520369,29038.63,0.0001217481,2.365436e-09,3.047785e-08,1.218877e-07,4.956403e-07,0.003297287,1.000083,7.252405,0.00728789,7.259532,0.06388613,0.003751063,1.902161e-05,0.003016469,1.170783e-07,7.53693e-07,3.0136e-06,1.222847e-05,0.07714647,0.002054675,0.0001923824,0.0006994326,-0.005971103,-0.07715074,0.1251118,0.01061555,1.207756,0.009618308,0.009618308,0,0.0009618308,0.0009618308,-0.06381992,0.006031937,0.1217481,1000.083,1000.205,2.365436e-06,0.1219028,8259.776,0.1220548,37298.4,15.58661,0.1117661,0.01176611,0.5145665,0.5028004,-0.01176611,0.9987544,0.2214512,333718.4,2048981,2048981,1,0.8371296,-0.01176611,0.09356272,0.09356272,0.5028004,0.5963631,-0.008093312,19.42481,0.006960777,0.0001744876,0,0.0005028004,0.003034968
0.04040935,0.0001106348,0.0001520369,29038.63,0.0001217481,2.365953e-09,3.047784e-08,1.218877e-07,4.956403e-07,0.003298629,1.000083,7.252405,0.00728789,7.259533,0.06388409,0.003751063,1.902161e-05,0.003016469,1.170783e-07,7.53693e-07,3.0136e-06,1.222847e-05,0.07714122,0.002054675,0.0001923824,0.0006994326,-0.005974683,-0.07714192,0.1251118,0.01061555,1.207712,0.009618308,0.009618308,0,0.0009618308,0.0009618308,-0.06385818,0.006031937,0.1217481,1000.083,1000.205,2.365953e-06,0.1219028,8259.776,0.1220549,37298.4,15.58661,0.1117661,0.01176611,0.5145665,0.5028004,-0.01176611,0.9987544,0.2214512,333718.4,2048981,2048981,1,0.8371296,-0.01176611,0.09356272,0.09356272,0.5028004,0.5963631,-0.008093312,19.42481,0.006960777,0.0001744876,0,0.0005028004,0.003034968
0.06729243,0.0001842366,0.0002526736,29038.63,0.0002029046,6.564366e-09,5.072977e-08,2.028534e-07,8.237158e-07,0.005299589,1.000138,7.25241,0.007306706,7.259324,0.06193093,0.003735922,3.162803e-05,0.003021272,1.954124e-07,7.529699e-07,3.009927e-06,1.21791e-05,0.07202377,0.002057947,0.0001927046,0.0007004266,-0.009388304,-0.0686338,0.1251735,0.01062078,1.163387,0.009633872,0.009633872,0,0.0009633872,0.0009633872,-0.1003425,0.006040873,0.2029046,1000.138,1000.341,6.564366e-06,0.2031647,8259.855,0.2034174,37298.48,15.58661,0.111767,0.01176704,0.5143196,0.5025525,-0.01176704,0.9987579,0.2214528,333716.3,2048978,2048978,1,0.8371303,-0.01176704,0.09356358,0.09356358,0.5025525,0.5961161,-0.007344602,19.4487,0.0069377,0.0002905687,0,0.0005025525,0.003171085
0.06729243,0.0001842366,0.0002526735,29038.63,0.0002029046,6.565321e-09,5.072974e-08,2.028533e-07,8.237157e-07,0.005301252,1.000138,7.25241,0.007306706,7.259325,0.06192828,0.003735922,3.162803e-05,0.003021272,1.954124e-07,7.529699e-07,3.009927e-06,1.21791e-05,0.07201718,0.002057947,0.0001927046,0.0007004266,-0.009392959,-0.06862257,0.1251735,0.01062078,1.163331,0.009633872,0.009633872,0,0.0009633872,0.0009633872,-0.1003923,0.006040873,0.2029046,1000.138,1000.341,6.565321e-06,0.2031647,8259.855,0.2034174,37298.48,15.58661,0.111767,0.01176704,0.5143196,0.5025525,-0.01176704,0.9987579,0.2214528,333716.3,2048978,2048978,1,0.8371303,-0.01176704,0.09356358,0.09356358,0.5025525,0.5961161,-0.007344602,19.4487,0.0069377,0.0002905687,0,0.0005025525,0.003171085
0.0941755,0.0002578385,0.0003529029,29038.63,0.0002841903,1.287648e-08,7.096201e-08,2.837193e-07,1.150463e-06,0.007180026,1.000194,7.252415,0.007325549,7.259032,0.06018035,0.003720766,4.419588e-05,0.003026082,2.741041e-07,7.522358e-07,3.006208e-06,1.21297e-05,0.06756364,0.002061223,0.0001930273,0.0007014217,-0.01244538,-0.06113987,0.1252352,0.01062602,1.123346,0.00964946,0.00964946,0,0.000964946,0.000964946,-0.1330155,0.006049822,0.2841903,1000.194,1000.478,1.287648e-05,0.2845579,8259.934,0.2849108,37298.56,15.58661,0.111768,0.01176797,0.5140727,0.5023047,-0.01176797,0.9987614,0.2214545,333714.2,2048974,2048974,1,0.8371311,-0.01176797,0.09356444,0.09356444,0.5023047,0.5958692,-0.006595892,19.4726,0.006914622,0.0004066498,0,0.0005023047,0.003307202
0.0941755,0.0002578385,0.0003529029,29038.63,0.0002841903,1.287554e-08,7.096204e-08,2.837195e-07,1.150464e-06,0.007175857,1.000194,7.252415,0.007325549,7.25903,0.06018652,0.003720766,4.419588e-05,0.003026082,2.741041e-07,7.522358e-07,3.006208e-06,1.21297e-05,0.06757858,0.002061223,0.0001930273,0.0007014217,-0.01243453,-0.06116564,0.1252352,0.01062602,1.123479,0.00964946,0.00964946,0,0.000964946,0.000964946,-0.1328996,0.006049822,0.2841903,1000.194,1000.478,1.287554e-05,0.2845579,8259.934,0.2849108,37298.56,15.58661,0.111768,0.01176797,0.5140727,0.5023047,-0.01176797,0.9987614,0.2214545,333714.2,2048974,2048974,1,0.8371311,-0.01176797,0.09356444,0.09356444,0.5023047,0.5958692,-0.006595892,19.4726,0.006914622,0.0004066498,0,0.0005023047,0.003307202
0.1210586,0.0003314403,0.0004527247,29038.63,0.0003656054,2.130605e-08,9.117447e-08,3.644851e-07,1.475882e-06,0.008940761,1.000249,7.25242,0.007344419,7.25866,0.05863025,0.003705597,5.672507e-05,0.0030309,3.531544e-07,7.514907e-07,3.002444e-06,1.208024e-05,0.06370932,0.002064505,0.0001933506,0.0007024181,-0.01514965,-0.05460479,0.1252971,0.01063127,1.087546,0.009665074,0.009665074,0,0.0009665074,0.0009665074,-0.1619172,0.006058782,0.3656054,1000.249,1000.615,2.130605e-05,0.3660824,8260.014,0.3665351,37298.64,15.58661,0.1117689,0.01176891,0.5138258,0.5020569,-0.01176891,0.9987649,0.2214562,333712.1,2048971,2048971,1,0.8371318,-0.01176891,0.09356531,0.09356531,0.5020569,0.5956222,-0.005847183,19.4965,0.006891545,0.000522731,0,0.0005020569,0.003443319
0.1210586,0.0003314403,0.0004527247,29038.63,0.0003656054,2.130606e-08,9.117447e-08,3.644851e-07,1.475883e-06,0.00893946,1.000249,7.25242,0.007344419,7.258659,0.05863211,0.003705597,5.672507e-05,0.0030309,3.531544e-07,7.514907e-07,3.002444e-06,1.208024e-05,0.06371371,0.002064505,0.0001933506,0.0007024181,-0.01514638,-0.05461245,0.1252971,0.01063127,1.087586,0.009665074,0.009665074,0,0.0009665074,0.0009665074,-0.1618822,0.006058782,0.3656054,1000.249,1000.615,2.130606e-05,0.3660824,8260.014,0.3665351,37298.64,15.58661,0.1117689,0.01176891,0.5138258,0.5020569,-0.01176891,0.9987649,0.2214562,333712.1,2048971,2048971,1,0.8371318,-0.01176891,0.09356531,0.09356531,0.5020569,0.5956222,-0.005847183,19.4965,0.006891545,0.000522731,0,0.0005020569,0.003443319
0.1479417,0.0004050422,0.0005521385,29038.63,0.0004471502,3.186652e-08,1.113667e-07,4.451489e-07,1.799971e-06,0.01060681,1.000305,7.252426,0.007363316,7.258219,0.05724184,0.003690414,6.921549e-05,0.003035725,4.325648e-07,7.507346e-07,2.998635e-06,1.203075e-05,0.06033115,0.002067792,0.0001936745,0.0007034157,-0.01756931,-0.04883078,0.1253589,0.01063652,1.05516,0.009680712,0.009680712,0,0.0009680712,0.0009680712,-0.1877766,0.006067754,0.4471502,1000.305,1000.752,3.186652e-05,0.4477386,8260.093,0.4482907,37298.72,15.58661,0.1117698,0.01176984,0.5135789,0.5018091,-0.01176984,0.9987683,0.2214578,333710,2048967,2048967,1,0.8371326,-0.01176984,0.09356618,0.09356618,0.5018091,0.5953752,-0.005098473,19.52039,0.006868468,0.0006388121,0,0.0005018091,0.003579436
0.1479417,0.0004050422,0.0005521385,29038.63,0.0004471502,3.186653e-08,1.113667e-07,4.451489e-07,1.799971e-06,0.01060578,1.000305,7.252426,0.007363316,7.258219,0.05724332,0.003690414,6.921549e-05,0.003035725,4.325648e-07,7.507346e-07,2.998635e-06,1.203075e-05,0.06033455,0.002067792,0.0001936745,0.0007034157,-0.01756671,-0.04883677,0.1253589,0.01063652,1.055192,0.009680712,0.009680712,0,0.0009680712,0.0009680712,-0.1877487,0.006067754,0.4471502,1000.305,1000.752,3.186653e-05,0.4477386,8260.093,0.4482907,37298.72,15.58661,0.1117698,0.01176984,0.5135789,0.5018091,-0.01176984,0.9987683,0.2214578,333710,2048967,2048967,1,0.8371326,-0.01176984,0.09356618,0.09356618,0.5018091,0.5953752,-0.005098473,19.52039,0.006868468,0.0006388121,0,0.0005018091,0.003579436
