site,plot,site.plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,sim_IM_deposition,sim_litterP_t365,sim_shootM_t49,sim_shootM_t92,sim_shootM_t458,sim_init_TP,sim_delta_TP,sim_delta_TP_yr,parsheet,sim_delta_TP_b,sim_delta_TP_b_yr,IO_Hx,scenario,obs_IM_a_minus_ash,Csource,Cx
LC,0,LC.0,3.5,0.07175,0.657894737,0.404897959,0.001,0.898632399,0.002148532,150.7250817,93.7112975,1646.416928,353.2679194,1553.744318,9.96E-04,0.001658642,0.001327356,0.001047241,37.3,51.45,11.25,0.1125,0.627,3.363863592,0.121477974,0.239729493,313.1481481,52.94000455,260.2081436,0.960115663,0.2915142,0.668601463,2,10,83.52687857,0.355,-3.5,0,0.082485441,0.291137111,TRUE,TRUE,FALSE,183.5901976,0.28928446,88.87832993,0.140046255,60,309.3333333,227.9254426,Prindle Rd,PrRd,Pr,Pr0,20.945306,0.159032934,225.0801186,290.6014146,415.4498282,24.99349025,0.581007276,0.290503638,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,26.91919019,stream,NA
LC,2,LC.2,3.5,0.07175,0.657894737,0.404897959,0.001,0.898632399,0.002148532,386.9032076,137.4791522,974.783356,374.4772829,755.1727749,0.001343714,0.001026814,0.001185264,0.00121508,16.73,52.02,31.25,0.3125,0.8327,4.14955365,0.085800625,0.188337597,461.6666667,35.86250912,425.8041575,0.367765561,0.095796323,0.271969238,2,10,83.91616429,0.355,-3.5,0.38928572,0.131826667,0.217345,TRUE,TRUE,FALSE,456.2152429,0.172538324,134.2054241,0.05075582,616,565.3333333,468.7305969,Prindle Rd,PrRd,Pr,Pr2,5.142085759,0.232318716,405.8322493,428.0778006,261.0430047,26.80984713,0.157535964,0.078767982,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,0,stream,NA
LC,4,LC.4,3.5,0.07175,0.657894737,0.404897959,0.001,0.898632399,0.002148532,281.625443,70.67210999,1223.052575,304.2292522,952.8972973,0.001335141,0.001157442,0.001246291,0.001282739,15.485,49.515,35,0.35,0.84515,3.858700772,0.069779359,0.152942887,446.037037,37.29926442,408.7377726,0.330085904,0.086596032,0.243489872,2,10,83.99556818,0.355,-3.5,0.46868961,0.191737778,0.265600111,TRUE,TRUE,FALSE,348.6223241,0.176736434,19.23333074,0.009750466,473.3333333,434.6666667,530.7807397,Prindle Rd,PrRd,Pr,Pr4,2.838506844,0.185862959,299.1722651,318.6650981,212.0007776,25.49468444,0.087394401,0.043697201,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,0,stream,NA
OCD,0,OCD.0,23.85416667,0.0595,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,354.0122067,108.4294913,1583.696284,619.9615315,1147.873853,0.00138204,0.001494126,0.001438083,0.001370888,6.45,78.55,15,0.15,0.9355,5.103527419,0.126295222,0.302884956,547.9259259,213.6969339,334.228992,1.252862509,0.700275821,0.552586688,2,10,77.29694,2.9,-3.6,0,0.026090917,0.054714833,TRUE,TRUE,FALSE,342.862534,0.358455798,75.67341571,0.079115015,636,450.6666667,904.8248561,Union St,UnSt,Un,Un0,295.5574951,0.265052581,383.4511701,415.1031994,312.1087238,33.17004239,1.310988067,0.655494033,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,180.2740347,stream,NA
OCD,2,OCD.2,23.85416667,0.0595,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,333.2117674,122.4673759,2007.931757,1432.086419,1140.977366,0.002065388,0.002592825,0.002329107,0.002037138,6.255,83.745,10,0.1,0.93745,5.196789836,0.120631309,0.186592155,506,48.60192102,457.398079,0.7154125,0.316935833,0.398476667,2,10,77.66302273,2.9,-3.6,0.36608273,0.018806667,0.06557,TRUE,TRUE,FALSE,338.027632,0.244286584,55.63756039,0.04020828,369.3333333,453.3333333,624.040743,Union St,UnSt,Un,Un2,103.9676736,0.352429674,354.7359194,378.891151,261.2538294,48.338224,0.520692458,0.260346229,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,2.862113127,stream,NA
OCD,4,OCD.4,23.85416667,0.0595,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,369.4242291,153.5606539,1387.694268,444.6400265,540.7189189,0.001258202,0.001557041,0.001407622,0.001214193,15.99,75.26,8.75,0.0875,0.8401,5.001352209,0.092330546,0.176546443,243.0740741,23.40005821,219.6740159,0.224107975,0.078156381,0.145951594,2,10,77.82101905,2.9,-3.6,0.52407905,0.022963917,0.060130667,TRUE,TRUE,FALSE,405.506307,0.183777432,96.56614676,0.043764248,809.3333333,488,802.6340366,Union St,UnSt,Un,Un4,49.49160922,0.218929434,385.9007991,406.0103589,244.9008727,32.70074521,0.29417291,0.147086455,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,1.432656625,stream,NA
OCSP,0,OCSP.0,12.25,0.056,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,302.2356116,73.01311349,1064.508723,164.5863743,1421.035176,0.001486656,0.002742946,0.002114801,0.001618305,1.455,87.295,11.25,0.1125,0.98545,3.446903927,0.166431828,0.299142644,544.8518519,78.88075708,465.9710948,1.681420674,1.031133929,0.650286745,2,10,75.09847021,0.55,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.5199636,0.474308185,61.11634656,0.087439631,446.6666667,438.6666667,712.3534304,Swamp Rd,SwRd,Sw,Sw0,85.98069331,0.337477608,381.1322253,449.7457297,452.2391538,33.00877685,0.63875728,0.31937864,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,32.2836476,stream,NA
OCSP,2,OCSP.2,12.25,0.056,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,222.6413311,87.60674812,845.857586,435.4389314,1675.106061,0.001224977,0.003371581,0.002298279,0.001495516,2.965,82.035,15,0.15,0.97035,4.136546835,0.18547916,0.203979121,584.8148148,149.5114798,435.303335,1.37967072,0.763014012,0.616656708,2,10,75.18614762,0.55,-2.3,0.08767741,0.157933333,0.408546,TRUE,TRUE,FALSE,234.8744671,0.324222942,65.31431301,0.090160497,194.6666667,294.6666667,606.0630899,Swamp Rd,SwRd,Sw,Sw2,71.86592891,0.271826965,305.6711184,377.1006719,450.2878803,44.58459211,0.482259909,0.241129955,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,105.9811463,stream,NA
OCSP,4,OCSP.4,12.25,0.056,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,184.2188945,47.053772,505.2496394,277.9309908,1086.762397,0.001128456,0.004259469,0.002693963,0.001541173,24.085,68.415,7.5,0.075,0.75915,3.775993713,0.13297581,0.17311022,278.8148148,46.01266099,232.8021538,0.398397048,0.126733908,0.27166314,2,10,76.17881,0.55,-2.3,1.08033979,0.022903,0.145474909,TRUE,TRUE,FALSE,222.7451398,0.142453723,36.46432458,0.023320279,29.33333333,305.3333333,337.7733333,Swamp Rd,SwRd,Sw,Sw4,4.217311124,0.229657794,239.0533551,288.4548764,339.837237,36.26090855,0.048860775,0.024430388,pars_lcbp_stream_10d,NA,NA,NA,stream_10d,22.73244561,stream,NA
LC,0,LC.0,3.5,0.07175,0.657894737,0.404897959,0.001,0.898632399,0.002148532,150.7250817,93.7112975,1646.416928,353.2679194,1553.744318,9.96E-04,0.001658642,0.001327356,0.001047241,37.3,51.45,11.25,0.1125,0.627,3.363863592,0.121477974,0.239729493,313.1481481,52.94000455,260.2081436,0.960115663,0.2915142,0.668601463,2,100,83.52687857,0.71,-3.5,0,0.082485441,0.291137111,TRUE,TRUE,FALSE,183.5901976,0.28928446,88.87832993,0.140046255,60,309.3333333,227.9254426,Prindle Rd,PrRd,Pr,Pr0,4.891435326,0.158815857,224.7368217,290.290142,407.3493098,24.99349025,0.127193766,0.063596883,pars_lcbp_stream_100d,1.149644045,0.063596883,NA,stream_100d,26.91919019,stream,NA
