"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,34576.5238957775,0.470118485180778,0.235059242590389,0,0,0,0,1.18444010222388,9.73897859719117,0.00974872732451568,15.1669319145415,0.00457006534852747,0,0.000317316895267245,9.86641654266669e-05,2.46660413566667e-05,0.000323792750272699,0,0,0,0,0
"2",1,0,34576.5238957775,0.470637796152866,0.233208843090793,2.19789640983888e-05,8.74854895081989e-05,0.000239754138994898,0.000452717947428365,1.18425327692484,9.73967636714692,0.0124300923129492,15.1658755069858,0.0036455268847803,0,0.000297908290564835,9.26293976168828e-05,2.31573494042207e-05,0.00030398805159677,0,3.69213887132891e-05,1.34724921890642e-05,3.38469183637038e-06,6.97171501795877e-05
"3",2,0,34576.5238957775,0.471026630641653,0.231204424343001,4.29078433820002e-05,0.000169960656053589,0.000410218446349646,0.000844283087231521,1.18386985167881,9.74043665873412,0.0153209429617403,15.1642901536807,0.00357702853902601,0,0.000369354224309008,0.000114844267140489,2.87110667851224e-05,0.000376892065621437,0,4.10218446349646e-05,1.69960656053589e-05,4.29078433820002e-06,8.44283087231521e-05
"4",3,0,34576.5238957775,0.471396223141551,0.229161633102371,6.37136247843225e-05,0.000251170101898637,0.000539923908088245,0.00122568107413506,1.18344442230759,9.74121625858066,0.0182519100640334,15.1627395769436,0.00358779312399004,0,0.000347938760427958,0.000108185501400111,2.70463753500278e-05,0.0003550395514571,0,5.39923908088245e-05,2.51170101898637e-05,6.37136247843225e-06,0.000122568107413506
"5",4,0,34576.5238957775,0.47172831087802,0.226982512982073,8.09479603133994e-05,0.000317318206394053,0.000606491835179547,0.00154980642363609,1.18291931226133,9.74205310552488,0.0213603410688883,15.161261915854,0.00361785030620972,0,0.000342727066113445,0.000106565015766759,2.66412539416899e-05,0.000349721496034128,0,6.06491835179547e-05,3.17318206394053e-05,8.09479603133994e-06,0.000154980642363609
"6",5,0,34576.5238957775,0.471988092829899,0.224525125381602,9.70177756198383e-05,0.000377911819738089,0.000655269620619668,0.00185081004091262,1.18220102585794,9.74300291057311,0.0248412539333152,15.1598728341967,0.00365444138371161,0,0.00037557296698391,0.000116777876933014,2.91944692332536e-05,0.000383237721412153,0,6.55269620619668e-05,3.77911819738089e-05,9.70177756198383e-06,0.000185081004091262
"7",6,0,34576.5238957775,0.47225520329962,0.222101601248233,0.000118349187573675,0.000459144652586453,0.00076999270979959,0.0022129908153743,1.18149140148803,9.74394636324584,0.0282492972743688,15.1585611666054,0.00367747703581217,0,0.000538204721298299,0.000167345390200122,4.18363475500306e-05,0.000549188491120714,0,7.6999270979959e-05,4.59144652586453e-05,1.18349187573675e-05,0.00022129908153743
"8",7,0,34576.5238957775,0.472643847601147,0.220151453843076,0.000142599361430247,0.000552614403315927,0.000906096078010734,0.00260381514188234,1.18108508868008,9.74471142757793,0.0309770086949691,15.1573007622979,0.00366331786752131,0,0.000528665195993652,0.00016437924084978,4.1094810212445e-05,0.000539454281626175,0,9.06096078010734e-05,5.52614403315927e-05,1.42599361430247e-05,0.000260381514188234
"9",8,0,34576.5238957775,0.473091870630207,0.218450234845336,0.000158317949676267,0.000612212553954148,0.000931524691833239,0.00287353672144208,1.18083279507658,9.7453834854495,0.033346506400511,15.1560465304341,0.00367042496247086,0,0.000385613439857982,0.000119899787210673,2.99749468026681e-05,0.0003934831018959,0,9.31524691833239e-05,6.12212553954148e-05,1.58317949676267e-05,0.000287353672144208
"10",9,0,34576.5238957775,0.473536016631997,0.216740990531228,0.000164821144667246,0.000634938350312238,0.000866630609199545,0.00301573652786441,1.18056681529602,9.74606247513307,0.0357151028751331,15.1548099665318,0.00368037508589676,0,0.000328416682599185,0.000102115451096776,2.5528862774194e-05,0.000335119063876719,0,8.66630609199545e-05,6.34938350312238e-05,1.64821144667246e-05,0.000301573652786441
