"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,19907.9194532772,0.485311086696307,0.242655543348153,0,0,0,0,2.17107023401048,11.8458597728847,0.0118577174903751,18.4068211917237,0.00646684508947782,0.414983444535392,0.00349029570409944,0.000138513766130474,3.46284415326185e-05,0.00301103798592186,0,0,0,0,0
"2",1,0.365756977545503,19907.9436112771,0.486223285238204,0.240745717166488,3.22907997975403e-05,0.000128531074388519,0.0030762673168823,0.00303842481942274,2.17031614661173,11.8467673428657,0.0153534040930845,18.4054555059845,0.00515637705674943,0.407380446146783,0.00342634926728737,0.000135976026481922,3.39940066204804e-05,0.00295587212989444,0.0420549338977181,0.000353710869800428,1.47785720274862e-05,3.71281351924739e-06,0.000349359719099582
"3",2,0.723527574041837,19908.0107540955,0.486967927533519,0.23867706905197,6.6820620107022e-05,0.000264709892140369,0.00608536368553935,0.00620677702767081,2.16923826108491,11.847756852581,0.019124710921142,18.4036038221374,0.0050638691373861,0.557154462766226,0.00468605158475651,0.000185967811416075,4.64919528540187e-05,0.0040426028399596,0.0723527574041836,0.000608536368553935,2.64709892140369e-05,6.6820620107022e-06,0.00062067770276708
"4",3,1.0350946252238,19908.1202777403,0.487692822062286,0.236570317310244,0.000100089544569281,0.000394528907888747,0.00870585651386607,0.00924674450587029,2.16808790379455,11.8487715438005,0.0229487459855236,18.4020867728643,0.00508572300687268,0.4636000579921,0.00389919480436544,0.000154741088726288,3.86852721815721e-05,0.00336379053977113,0.10350946252238,0.000870585651386607,3.94528907888747e-05,1.00089544569281e-05,0.000924674450587029
"5",4,1.23546687561309,19908.2607823737,0.48838185878409,0.234323976263961,0.000125550924761772,0.000491877047098387,0.0103911247190531,0.0115923414179042,2.16675567769072,11.8498612132525,0.0270066504179472,18.4008861925266,0.00513135533112548,0.446279964353091,0.00375352092455437,0.000148959963162695,3.72399907906737e-05,0.00323811935805648,0.123546687561309,0.00103911247190531,4.91877047098387e-05,1.25550924761772e-05,0.00115923414179042
"6",5,1.3779860224001,19908.4238990718,0.488998653163339,0.231787754664085,0.000146898285004359,0.000571380819105328,0.0115898085998993,0.01356786616839,2.16506293278718,11.8511009813238,0.031562243407498,18.3999680835261,0.00518503478243153,0.427218239783609,0.00359319873278097,0.000142597513542526,3.56493783856314e-05,0.00309981124598191,0.13779860224001,0.00115898085998993,5.71380819105328e-05,1.46898285004359e-05,0.001356786616839
"7",6,1.47112193990936,19908.6038841315,0.489626195816971,0.229287479621899,0.000164295079408864,0.000634818577754864,0.0123731456150515,0.0151857866381151,2.16338450699345,11.8523333614467,0.0360261893729873,18.3992712380883,0.00522062749497644,0.408723260156826,0.00343764325511356,0.000136424232857846,3.41060582144615e-05,0.00296561532337724,0.151265206562888,0.001272244248773,6.52739658685022e-05,1.68933168963404e-05,0.00156144850424565
"8",7,1.53160681667144,19908.7957936014,0.490381354536048,0.22727725052104,0.000178757476144613,0.000688081344235555,0.0128818649586919,0.0165328663584042,2.16226400798256,11.8533321491325,0.0395970530804683,18.3986970769463,0.00520654849238464,0.403962140073148,0.00339759896613388,0.000134835059404125,3.37087648510311e-05,0.00293106957554978,0.156284089312186,0.00131445649875532,7.02113395461773e-05,1.8240287953092e-05,0.00168700213032386
"9",8,1.60263938200727,19908.9961872006,0.491197588287112,0.225522872019775,0.000193777164079992,0.000744298401923185,0.0134792976054819,0.01791702739612,2.16142690558117,11.8542099536936,0.0427007908934782,18.3981746392671,0.00521877826677327,0.454829721074209,0.00382543024900519,0.000151813713158113,3.79534282895282e-05,0.00330015470572318,0.160263938200727,0.00134792976054819,7.44298401923185e-05,1.93777164079992e-05,0.001791702739612
"10",9,1.66396264579262,19909.2063645566,0.492011379082814,0.223760871869655,0.000207790526743308,0.00079625520878002,0.0139950683596405,0.0192054929381844,2.16056446295786,11.8550972347372,0.045805173304827,18.3977726995811,0.00523595758520521,0.415749282626531,0.00349673692828497,0.000138769388661075,3.46923471652688e-05,0.00301659475599028,0.166396264579262,0.00139950683596405,7.9625520878002e-05,2.07790526743308e-05,0.00192054929381844
