"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,42549.0925337708,0.361252058524421,0.180626029262211,0,0,0,0,1.56885775595201,9.84488894534095,0.00985474368902998,13.5252620473337,0.00394286085614658,1.55655392598816e-07,2.40477212457301e-09,2.89409811248446e-10,7.23524528121116e-11,2.24736746346382e-09,0,0,0,0,0
"2",1,2.02500045632829e-07,42549.0925338142,0.361747055498091,0.179204312576133,1.11718029300806e-10,4.45574665563921e-10,3.12849080801003e-09,0.000114447928557521,1.56815909691838,9.84555502765752,0.0124089551113955,13.5243293179206,0.00316170127025922,1.38120177930772e-07,2.13386473917455e-09,2.5680661592993e-10,6.42016539824824e-11,1.99419235496382e-09,2.1307874473506e-08,3.29192466205488e-10,4.68851698909011e-11,1.1755423251041e-11,1.20426743008155e-05
"3",2,0.00218929104545381,42549.0930835533,0.362134575108097,0.177664204056588,1.24665936135226e-06,4.96843364766172e-06,3.3823088238606e-05,0.000240613118102026,1.56724105688238,9.84628094990783,0.0151633319562115,13.5228931492084,0.00310282616618096,0.00551804743810036,8.52501570274294e-05,1.025969637709e-05,2.5649240942725e-06,7.96700973039785e-05,2.18929104545381e-09,3.3823088238606e-11,4.96843364766172e-12,1.24665936135226e-12,2.40613118102026e-10
"4",3,0.0043796160561525,42549.095613924,0.362507151188243,0.176095502764133,3.29902892309083e-06,1.30781698742367e-05,6.76621505514613e-05,0.000395402218280343,1.56627026797148,9.84702514897318,0.0179553875949658,13.5214681318765,0.00311176996227417,0.00392511498334897,6.06404117461538e-05,7.29795972689039e-06,1.8244899317226e-06,5.66711859875512e-05,4.3796160561525e-09,6.76621505514613e-11,1.30781698742367e-11,3.29902892309083e-12,3.95402218280343e-10
"5",4,0.00500136635208695,42549.0991198519,0.362851187379494,0.17442165518607,4.95715516610713e-06,1.95259284769426e-05,7.72677784397401e-05,0.000535222843957282,1.56516546492136,9.84782466538094,0.0209192936330804,13.5200869431466,0.00313957706058222,0.00432793690075904,6.6863742027113e-05,8.04692584452988e-06,2.01173146113247e-06,6.24871674042105e-05,5.00136635208695e-09,7.72677784397401e-11,1.95259284769426e-11,4.95715516610713e-12,5.35222843957282e-10
"6",5,0.00661543947119224,42549.1035114738,0.363140845328039,0.172533400636096,7.34999965833457e-06,2.87994992695079e-05,0.000102204132902262,0.000696068291684952,1.56380124536927,9.84873336160549,0.024243136585487,13.518778533881,0.00317426729950257,0.00766913038087133,0.000118482955532217,1.42592012965992e-05,3.5648003241498e-06,0.000110727638813352,6.61543947119224e-09,1.02204132902262e-10,2.87994992695079e-11,7.34999965833457e-12,6.96068291684952e-10
"7",6,0.013887125041113,42549.1106898117,0.36343742617697,0.170671242105174,1.34340300904071e-05,5.26559412080775e-05,0.000214546830866317,0.000971106033539015,1.56244612514181,9.84963680644635,0.0275006311287158,13.5175640768264,0.00319661894711741,0.021230832291189,0.000328002215810954,3.94744509872326e-05,9.86861274680815e-06,0.000306532789624907,1.3887125041113e-08,2.14546830866317e-10,5.26559412080775e-11,1.34340300904071e-11,9.71106033539015e-10
"8",7,0.0214415954975129,42549.1233672789,0.363828106893954,0.169173728164331,2.17903540780675e-05,8.53970703350651e-05,0.000331258366947071,0.00131722373462168,1.56149319744853,9.85036915434416,0.0301069464475982,13.5164459188815,0.00318364909714981,0.0192334574993455,0.000297144105844088,3.57607353757875e-05,8.94018384394688e-06,0.000277694501117284,2.14415954975129e-08,3.31258366947071e-10,8.53970703350651e-11,2.17903540780675e-11,1.31722373462168e-09
"9",8,0.0197110267516736,42549.1378612468,0.364263829010943,0.167866622557215,2.63205432950534e-05,0.000102688037281272,0.000304522232655999,0.00154335331949592,1.56074456032032,9.85101292478265,0.0323727967920779,13.5153383178425,0.00319156305848323,0.00629311973039466,9.72245076227997e-05,1.17007869944574e-05,2.92519674861435e-06,9.08606652788639e-05,1.97110267516736e-08,3.04522232655999e-10,1.02688037281272e-10,2.63205432950534e-11,1.54335331949592e-09
"10",9,0.012650048370857,42549.1489721202,0.364697389270609,0.166553469503759,2.66471543429079e-05,0.000103131426629373,0.000195434820399332,0.00163609406465743,1.55997717675852,9.85166370641524,0.0346392425139433,13.5142038611368,0.00320174676196733,0.00180173481248833,2.78356026129587e-05,3.34996252488311e-06,8.37490631220779e-07,2.6013619751759e-05,1.2650048370857e-08,1.95434820399332e-10,1.03131426629373e-10,2.66471543429079e-11,1.63609406465743e-09
