"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,19907.9194532772,0.485311086696307,0.242655543348153,0,0,0,0,2.17107023401048,11.8458597728847,0.0118577174903751,18.4068211917237,0.00646684508947782,4.14983444535392e-06,3.49029570409944e-08,1.38513766130474e-09,3.46284415326185e-10,3.01103798592186e-08,0,0,0,0,0
"2",1,4.03138546397955e-06,19907.9194535268,0.486222321020917,0.240745717784834,3.55313995904501e-10,1.4145003958694e-09,3.39067197783036e-08,0.000245307064748966,2.17031518297264,11.8467671648837,0.0153526964504925,18.4052456258202,0.00514690815511735,4.07380446146783e-06,3.42634926728737e-08,1.35976026481922e-09,3.39940066204805e-10,2.95587212989444e-08,6.03963527828865e-08,5.07974796193116e-10,2.11913908217867e-11,5.32314997836045e-12,3.67507700642642e-06
"3",2,0.064443547903114,19907.9221409641,0.486963004984039,0.238677069620522,5.5820685713882e-06,2.22456746949315e-05,0.000542014486035676,0.000930168878795809,2.16923334210051,11.847756175676,0.019122041771625,18.402824461367,0.00504218278595485,0.134411933738299,0.00113049665253928,4.48642069946085e-05,1.12160517486521e-05,0.0009752664680403,6.4443547903114e-08,5.42014486035676e-10,2.22456746949315e-11,5.5820685713882e-12,9.30168878795809e-10
"4",3,0.138396305080065,19907.9356338616,0.487680959844726,0.236570307312238,1.27766051218323e-05,5.05923769002429e-05,0.00116400795126898,0.00175295618493952,2.16807604364675,11.848770089712,0.0229430533014297,18.4004520218944,0.00505193103860172,0.0404802994548234,0.000340467112961608,1.35115721010378e-05,3.37789302525944e-06,0.000293717064969733,1.38396305080065e-07,1.16400795126898e-09,5.05923769002429e-11,1.27766051218323e-11,1.75295618493952e-09
"5",4,0.153963539220312,19907.9538008737,0.48835990134174,0.234323047438227,1.54430784544228e-05,6.05905903322385e-05,0.00129493907914866,0.00218151656456075,2.16673290480148,11.8498591590525,0.0269985832962028,18.39815506059,0.0050861651605499,0.0269909351356955,0.000227012296982633,9.0090728347349e-06,2.25226820868372e-06,0.00019584089929207,1.53963539220312e-07,1.29493907914866e-09,6.05905903322385e-11,1.54430784544228e-11,2.18151656456075e-09
"6",5,0.154325928369732,19907.9731300503,0.488964158066445,0.231787259171596,1.69143787071974e-05,6.56177844069681e-05,0.00129798702071859,0.00250791007989135,2.16502804050416,11.851097423234,0.0315484989244367,18.3959413678791,0.00512884591796939,0.0123906896933778,0.000104214208005441,4.1357820823559e-06,1.03394552058897e-06,8.99043993918875e-05,1.54325928369732e-07,1.29798702071859e-09,6.56177844069681e-11,1.69143787071974e-11,2.50791007989135e-09
"7",6,0.141559648259962,19907.9918886547,0.489576533668558,0.229287234645425,1.72239826984796e-05,6.59758041261205e-05,0.00119061383942374,0.00273152634399042,2.16333472336358,11.8523281594117,0.0360063263852625,18.3937851043535,0.00515469972237785,4.08723260156826e-06,3.43764325511356e-08,1.36424232857846e-09,3.41060582144615e-10,2.96561532337724e-08,0.000399767846875654,3.36232208046115e-06,1.8631725555685e-07,4.86409408516608e-08,7.71389600527871e-06
"8",7,0.124293080137723,19908.0088354627,0.490314293794138,0.227277027558281,1.6997347840391e-05,6.43818450584133e-05,0.00104539014596035,0.00290247094561193,2.16219690029832,11.853325218536,0.039570773997223,18.3916219381257,0.00513302752020278,4.03962140073148e-06,3.39759896613388e-08,1.34835059404124e-09,3.37087648510311e-10,2.93106957554978e-08,0.000253595322656516,2.13291078693203e-06,1.3135835681857e-07,3.46797094827226e-08,5.92191500233187e-06
"9",8,0.13273459781222,19908.0247875987,0.491111438772288,0.225522595144532,1.88346902414863e-05,7.11199164668348e-05,0.00111638910571009,0.00324957079425016,2.16134072909898,11.8542011657888,0.0426676555904798,18.3894202664061,0.00513882841122078,0.0490339976956222,0.000412409588299264,1.63666377025177e-05,4.09165942562942e-06,0.000355781011525465,1.3273459781222e-07,1.11638910571009e-09,7.11199164668348e-11,1.88346902414863e-11,3.24957079425016e-09
"10",9,0.145467233570876,19908.0430428513,0.491904535102026,0.223760476439291,2.11997542130548e-05,7.98624697174854e-05,0.00122347931491121,0.00364265569096952,2.16045756888623,11.8550864693597,0.0457648004763218,18.3872662351378,0.00514970693073903,0.012939881779618,0.000108833290536494,4.31909220037604e-06,1.07977305009401e-06,9.388922879897e-05,1.45467233570876e-07,1.22347931491121e-09,7.98624697174854e-11,2.11997542130549e-11,3.64265569096952e-09
