"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,42549.0925337708,0.361252058524421,0.180626029262211,0,0,0,0,1.56885775595201,9.84488894534095,0.00985474368902998,13.5252620473337,0.00394286085614658,0.000564707270363624,1.41614335408376e-05,1.11441889024936e-06,2.7860472256234e-07,1.37013409075152e-05,0,0,0,0,0
"2",1,0.000362582650836305,42549.0926868593,0.361747071458591,0.179204312549916,2.44430958502663e-07,9.72865228129784e-07,9.0926580590555e-06,0.000125943499295548,1.56815911285297,9.84555503552987,0.012408986390017,13.5243332672223,0.00316185892269345,0.000501090693738147,1.2566090308587e-05,9.88875058170171e-07,2.47218764542543e-07,1.21578289864565e-05,4.17778780950377e-05,1.04768377382343e-06,1.12096496646931e-07,2.81640800060999e-08,1.45115938346629e-05
"3",2,0.00132120031866418,42549.0932110377,0.36213466099259,0.177664214385274,9.37384999283949e-07,3.72382399943487e-06,3.3132370502063e-05,0.000246185890134083,1.56724115150664,9.84628095880354,0.0151633672883101,13.5229022170985,0.00310289264680747,0.0025369438963359,6.36201520155045e-05,5.00651992626028e-06,1.25162998156507e-06,6.1553188724763e-05,1.32120031866418e-05,3.3132370502063e-07,3.72382399943487e-08,9.37384999283949e-09,2.46185890134083e-06
"4",3,0.00221082029942667,42549.094544716,0.36250723653095,0.1760954915036,1.9399394755525e-06,7.67306648463059e-06,5.54417950399426e-05,0.000384175766067654,1.56627034316323,9.84702511522455,0.0179552497422847,13.5214715843296,0.00311163193464418,0.00194663581127227,4.88167146348155e-05,3.84157922939581e-06,9.60394807348952e-07,4.72307021226139e-05,2.21082029942668e-05,5.54417950399426e-07,7.67306648463059e-08,1.9399394755525e-08,3.84175766067653e-06
"5",4,0.00244970136173057,42549.0962875442,0.362851135118447,0.174421369789966,2.75723483592226e-06,1.08397252399384e-05,6.14323293672285e-05,0.000509378859123974,1.56516511345043,9.84782466797185,0.0209191461916668,13.5200795989187,0.0031391496679381,0.0020610829952101,5.16867612489275e-05,4.06743448292217e-06,1.01685862073054e-06,5.0007503423627e-05,2.44970136173057e-05,6.14323293672285e-07,1.08397252399384e-07,2.75723483592226e-08,5.09378859123974e-06
"6",5,0.00300570695200496,42549.0983668016,0.363140664847159,0.172533247201768,3.82340061826142e-06,1.49487465506271e-05,7.53755467264364e-05,0.000644107599697836,1.56380086819819,9.84873312101698,0.0242420321154461,13.5187543832118,0.00317334702846838,0.00325969112699866,8.17448290136676e-05,6.43282202824554e-06,1.60820550706138e-06,7.90890107638463e-05,3.00570695200496e-05,7.53755467264364e-07,1.49487465506271e-07,3.82340061826142e-08,6.44107599697836e-06
"7",6,0.00563817761970153,42549.1014256467,0.363437106758515,0.170671856828921,6.29114919276825e-06,2.45920046449061e-05,0.000141391269146274,0.000846073144703795,1.5624462958335,9.84963587019935,0.0274969528218234,13.5175033268815,0.00319450023928425,0.00822083847401813,0.000206157887120533,1.62233747818322e-05,4.05584369545805e-06,0.000199459997045214,5.63817761970153e-05,1.41391269146274e-06,2.45920046449061e-07,6.29114919276825e-08,8.46073144703794e-06
"8",7,0.00841406536275421,42549.1064555955,0.363827088188778,0.169174475439234,9.62451647614463e-06,3.76288799603718e-05,0.00021100352996373,0.00108925002338452,1.56149278881048,9.85036757809842,0.0301008188431565,13.5163103581857,0.00317987438735011,0.00753739587854396,0.000189018871204282,1.48746382261526e-05,3.71865955653815e-06,0.000182877812818545,8.41406536275421e-05,2.1100352996373e-06,3.76288799603718e-07,9.62451647614463e-08,1.08925002338452e-05
"9",8,0.00782171374660687,42549.1121542914,0.364261696262954,0.167867459208118,1.14647927662467e-05,4.46435797097992e-05,0.000196148845979448,0.00125626547662698,1.56074312590199,9.85101051237959,0.0323634870256858,13.5151138663018,0.00318627195784603,0.00284330719530079,7.13029705753743e-05,5.61111112875312e-06,1.40277778218828e-06,6.89863992055952e-05,7.82171374660687e-05,1.96148845979448e-06,4.46435797097992e-07,1.14647927662467e-07,1.25626547662698e-05
"10",9,0.00527401724767791,42549.1166530663,0.364693884195449,0.166554456349165,1.16645926979274e-05,4.50852001477121e-05,0.000132259045820553,0.00133915745199084,1.55997451483605,9.85166033969914,0.0346263572178139,13.5139108105093,0.00319565284345665,0.0011893329142837,2.98254687118053e-05,2.3470834112329e-06,5.86770852808225e-07,2.88564652277923e-05,5.27401724767791e-05,1.32259045820553e-06,4.50852001477121e-07,1.16645926979274e-07,1.33915745199084e-05
"11",10,0.00301480087231048,42549.1196523752,0.365138377731748,0.165293508409046,1.1068715218522e-05,4.24267765974117e-05,7.56035993030384e-05,0.00136414878763501,1.55925509976865,9.85228822898791,0.0367898917930219,13.5126829292557,0.00320677157143727,0.000489217298254652,1.22683355073511e-05,9.65443562043535e-07,2.41360890510884e-07,1.18697479792041e-05,0.000130909329315018,3.28287568491285e-06,1.84226458217413e-06,4.80628123384206e-07,5.9234360887767e-05
"12",11,0.00153652422287672,42549.1214633178,0.365559102066779,0.16394740232482,9.94447469508237e-06,3.77582454409758e-05,3.85321507409397e-05,0.00132979560515703,1.55842149964344,9.85296264671559,0.0390886301737024,13.5114579702114,0.00323383256494623,0.000421554679977922,1.05715277589614e-05,8.31915088215377e-07,2.07978772053844e-07,1.02280680357042e-05,0.000114529439855987,2.87210938500144e-06,2.81442403309693e-06,7.41241237549433e-07,9.91203025074649e-05
