"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,26533.7277043725,0.157845504949161,0.0789227524745803,0,0,0,0,1.72419552518706,8.75313791700094,0.00876189981681775,14.2615274780665,0.00909917428149262,1.62599807527076e-09,4.077592920957e-11,2.6197108651646e-12,6.54927716291149e-13,3.94511548078756e-11,0,0,0,0,0
"2",1,8.79183715728158e-08,26533.7277043726,0.159612494142245,0.0783023506534661,3.54718285506033e-11,1.41859165534134e-10,2.20477093423179e-09,0.000739683839515985,1.72441425699025,8.75363445727591,0.0106520455665896,14.2590722586648,0.00705775115004314,1.59530974997202e-09,4.00063434400829e-11,2.57026767058674e-12,6.42566917646686e-13,3.87065722093054e-11,1.449984641151e-09,3.63619563772804e-11,2.33959760117524e-12,5.85015460043162e-13,1.21991591452247e-05
"3",2,0.0012980126990727,26533.7277454179,0.161174155275358,0.0776318377026821,5.37907246751922e-07,2.14366408269253e-06,3.25508835068564e-05,0.00135885922880802,1.7242824935295,8.75417672366196,0.0126946877588505,14.255300381173,0.00689199046903521,0.00268178455916395,6.7252390395098e-05,4.32073091261351e-06,1.08018272815338e-06,6.50674188450866e-05,5.2179581255938e-12,1.3085322448016e-13,8.61744220747614e-15,2.16236519951627e-15,5.46255869419643e-12
"4",3,0.00301136579153979,26533.7279608768,0.162715481079283,0.0769503877386759,1.30704218665324e-06,5.1775403924866e-06,7.55174561442824e-05,0.00198185640410157,1.72408136886785,8.7547337579503,0.0147696474163648,14.2514426391471,0.00688827276165044,0.00117587118826343,2.94878825881872e-05,1.8944933421368e-06,4.73623335534199e-07,2.85298469831069e-05,1.21055676977011e-11,3.03577094579845e-13,2.08135012707241e-14,5.25425629750268e-15,7.96698193702549e-12
"5",4,0.00374491807044239,26533.7282833298,0.164242486989527,0.0762248023448283,1.72015172804095e-06,6.75798893565245e-06,9.39130964903329e-05,0.00257748002798668,1.7237286754944,8.75533361391576,0.0169777636512479,14.2476054900832,0.00690693988854215,0.000936157588193938,2.34764703142969e-05,1.50828112443464e-06,3.7707028110866e-07,2.27137402547395e-05,1.50544179493066e-11,3.77526818714091e-13,2.71668399736401e-14,6.91493980990921e-15,1.03613646193115e-11
"6",5,0.00506093019322492,26533.7286918855,0.165745157470577,0.0754082632897662,2.39853444482206e-06,9.36457181255347e-06,0.000126915360129901,0.00318732220593332,1.72308601396052,8.75601686212998,0.0194598964807719,14.243814958578,0.00693105472309113,0.00251114878554666,6.2973275719959e-05,4.04581275807845e-06,1.01145318951961e-06,6.09273288762738e-05,2.03447330243122e-11,5.10194572923352e-13,3.76451968589587e-14,9.64201067124915e-15,1.28129053091829e-11
"7",6,0.00991218278894949,26533.7293589825,0.167250876115181,0.0746049196879568,4.594678075898e-06,1.79748610590051e-05,0.000248572535147201,0.00388260849490369,1.72244935767611,8.75669770855201,0.0218985628231334,14.2400700462578,0.0069463756747493,0.00852350117733902,0.000213747904078539,1.373255539666e-05,3.433138849165e-06,0.000206803420967345,3.9846570655988e-11,9.99251456089296e-13,7.22582085570198e-14,1.84704185234453e-14,1.56079278415038e-11
"8",7,0.0168099916196526,26533.7306225492,0.168798467266038,0.0739603450985565,7.83230868236664e-06,3.06599513571915e-05,0.000421552176918956,0.00462614145844516,1.72225407364029,8.75725058793655,0.0238535300437727,14.2363508297159,0.00693669811124463,0.00780162702090497,0.000195645121579198,1.25695149234559e-05,3.14237873086398e-06,0.0001892887820939,6.75754809067685e-11,1.69462256300531e-12,1.23251754338659e-13,3.14855615515245e-14,1.85969000384089e-11
"9",8,0.0200917190529976,26533.7323882423,0.170364819149853,0.0733991338052152,9.79413404488225e-06,3.81651461944543e-05,0.000503849620896494,0.00527918954823489,1.7222841123093,8.75773728817001,0.0255558655239204,14.2326354285449,0.0069422776480361,0.00229462052787842,5.75432933350897e-05,3.6969553775836e-06,9.24238844395899e-07,5.56737618865794e-05,8.07678913809033e-11,2.02545493223019e-12,1.53422331570482e-13,3.93720195181125e-14,2.1222126732228e-11
"10",9,0.0194561538160012,26533.7342546399,0.171929696028587,0.0728367510482723,1.02099030580241e-05,3.94453601806197e-05,0.000487911248332606,0.00583217511595217,1.72229135829127,8.7582301109989,0.0272619356620307,14.2289441746339,0.00694933323788465,0.000162953960040754,4.08647417244601e-06,2.62541675868389e-07,6.56354189670972e-08,3.95370818815615e-06,7.8212945042474e-11,1.96138332438853e-12,1.58568739595907e-13,4.10433939985344e-14,2.34451061672272e-11
"11",10,0.0177210148058484,26533.7360135791,0.173499541098524,0.0722979359173299,1.01287864424666e-05,3.87574286827303e-05,0.000444398339847168,0.00632840829239674,1.72235120087219,8.75870727830304,0.0288969535366633,14.2252638655094,0.00695736353950528,1.58958208208534e-09,3.98627079808317e-11,2.56103959459884e-12,6.4025989864971e-13,3.85676033409395e-11,0.000114965530332698,2.88304543386754e-06,2.51439795726105e-07,6.5710757411055e-08,4.10557083478721e-05
"12",11,0.0159591387187573,26533.7376332382,0.175057879851136,0.0717244950471087,9.96148928346341e-06,3.77189420440898e-05,0.000400214932931821,0.00678144216953194,1.72228310199939,8.75922058606009,0.0306373687228939,14.2216069184485,0.00697628947891387,1.55694196609064e-09,3.90441762252081e-11,2.50845179156758e-12,6.27112947891896e-13,3.77756649686636e-11,0.000167867751107459,4.20969965452613e-06,3.96750356436964e-07,1.04780892826669e-07,7.13312583044741e-05
"13",12,0.0142672487876761,26533.7391180172,0.176602566498388,0.0711057883926935,9.74361666284308e-06,3.64723968873475e-05,0.000357786602228746,0.00719016069379335,1.72205047453065,8.75978071443997,0.0325148928213092,14.2179874711688,0.006997522014931,1.52359382298631e-09,3.82078889360818e-11,2.45472325759689e-12,6.13680814399221e-13,3.69665479246935e-11,0.000243659860757046,6.11037453521497e-06,6.2288527236752e-07,1.66404070936866e-07,0.000122795472311648
