"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,19907.9194532772,0.485311086696307,0.242655543348153,0,0,0,0,2.17107023401048,11.8458597728847,0.0118577174903751,18.4068211917237,0.00646684508947782,1.54913618591908e-09,3.29142098350905e-12,5.1642207066257e-13,1.29105517665643e-13,1.3036162671574e-12,0,0,0,0,0
"2",1,2.71439492060615e-07,19907.9194532774,0.486222305921188,0.240745717780774,2.26332485777345e-11,9.05281760011787e-11,5.76722465101604e-10,0.000245393978212598,2.1703151678742,11.8467671648805,0.0153526964399899,18.4052455180163,0.00514676563457284,1.52075412879934e-09,3.23111815202904e-12,5.0696059087747e-13,1.26740147719368e-13,1.279732433255e-12,4.23291164494978e-09,8.99358903120692e-12,1.41172446014555e-12,3.52949899590667e-13,3.82674982218395e-06
"3",2,0.0883943378093389,19907.9225195925,0.486962864240051,0.238677068922445,7.59998701622448e-06,3.02874839939954e-05,0.000187809813581002,0.00052242306433256,2.16923320077903,11.8477561785975,0.0191220532956267,18.4028073903302,0.00504084895456485,0.183150457894206,0.000389136388221823,6.10552768492779e-05,1.52638192123195e-05,0.000154123258121791,2.47940405461489e-11,5.26794390714929e-14,8.49544354082622e-15,2.13174724649124e-15,1.46536293616947e-13
"4",3,0.187478218927412,19907.9378758665,0.487680090655378,0.236570300435016,1.70223552234819e-05,6.73942847040771e-05,0.000398331501992828,0.000816739685227065,2.1680751687781,11.8487701080036,0.022943124863584,18.4003490479171,0.00504753599607051,0.0457271198276089,9.71555652008291e-05,1.52436526378081e-05,3.81091315945201e-06,3.84799075764669e-05,5.25864289139449e-11,1.11729412267571e-13,1.8903661353692e-14,4.7746606407336e-15,2.29090203886671e-13
"5",4,0.200904106318648,19907.9580305774,0.488357494901579,0.234322315960224,1.96597338139896e-05,7.70728798613103e-05,0.000426857236452724,0.00104284393942883,2.16672983764424,11.8498595415416,0.027000001930576,18.3979328090333,0.00508002930823747,0.0214328068404455,4.55378880251808e-05,7.14486859790643e-06,1.78621714947661e-06,1.80359582985731e-05,5.63523035683185e-11,1.19730696448611e-13,2.1618444751649e-14,5.5144282924766e-15,2.92510986091378e-13
"6",5,0.192981090044482,19907.9785933716,0.488960117524765,0.231786810305636,2.05352669661217e-05,7.95086181616723e-05,0.000410023350410613,0.00125367747132528,2.16502359183317,11.8510976736045,0.0315494108144302,18.3955884936707,0.00512137956864417,0.00384122251705721,8.16137439037913e-06,1.28051497613006e-06,3.20128744032514e-07,3.23243379408648e-06,5.41299487024087e-11,1.15008900195353e-13,2.23016536050175e-14,5.76000968390332e-15,3.51648429369741e-13
"7",6,0.17511389537751,19907.9979422731,0.489570507557689,0.229286674766696,2.04627856070975e-05,7.81677407633314e-05,0.00037206125257967,0.0014525256802448,2.16332818944655,11.8523284603378,0.0360074096614101,18.3933021778534,0.00514656574599601,1.52576686482613e-09,3.24176861949171e-12,5.0863164313367e-13,1.27157910783417e-13,1.28395070940586e-12,0.00084814374225321,1.80203531210389e-06,3.78596341721294e-07,9.91091170938441e-08,7.0351388363892e-06
"8",7,0.156779376446658,19908.0155786356,0.490306188664486,0.227276400093685,2.01935313784696e-05,7.62792675464385e-05,0.000333106239534289,0.00164225761042396,2.16218822840778,11.8533255467405,0.0395719439883865,18.3910199208435,0.00512468255144315,1.50799356339135e-09,3.20400601487347e-12,5.02706712057315e-13,1.25676678014329e-13,1.26899426782114e-12,0.000574402281373407,1.22042189645595e-06,2.79469062151004e-07,7.39842877020554e-08,6.01684060372131e-06
"9",8,0.168850043168263,19908.0324497958,0.491101211373107,0.225521958813283,2.24025555423487e-05,8.4388340500078e-05,0.000358752561719232,0.00185517067329554,2.16132993000115,11.8542014919436,0.0426688034828545,18.3887055725585,0.00513002755053711,0.0584532315192819,0.000124194499182996,1.94860459219065e-05,4.87151148047661e-06,4.91890798040102e-05,4.73613459898627e-11,1.0062777528225e-13,2.36703841878897e-14,6.28377206300722e-15,5.20363385638218e-13
"10",9,0.182674687586378,19908.0517125268,0.491891951378289,0.22375984936071,2.49420532520103e-05,9.36899916143832e-05,0.000388125527854123,0.00207344562090363,2.16044442736532,11.8550867820552,0.0457658848273606,18.3864229832181,0.00513955953657501,0.00772254822255483,1.64079552830259e-05,2.57439880375478e-06,6.43599700938695e-07,6.49861489153531e-06,5.12390694134848e-11,1.08866702473265e-13,2.62794372176399e-14,6.99608476018486e-15,5.81588097936835e-13
"11",10,0.166130073695168,19908.0707410625,0.492698411848807,0.222068031494325,2.48340483960045e-05,9.24608449252258e-05,0.000352973492919714,0.00224734874080454,2.15962636599863,11.8559420965331,0.0487268276263403,18.3841529133157,0.00515101734149071,1.46708850278732e-09,3.11709578966049e-12,4.89070547406511e-13,1.22267636851628e-13,1.23457217962956e-12,0.00268278347868536,5.70006040541724e-06,1.49312175497999e-06,4.01037411612317e-07,3.62917438039403e-05
"12",11,0.147082633175115,19908.0880814667,0.493471567901423,0.220262337694423,2.43366979340099e-05,8.96620884582198e-05,0.000312503748568188,0.00241057623291679,2.15864897488659,11.856860817985,0.0518730911375508,18.3819167720862,0.00518273638194359,1.44192666047905e-09,3.06363488899212e-12,4.80682562654342e-13,1.20170640663585e-13,1.21339819425445e-12,0.000798143046744904,1.69579975974769e-06,4.86550797430669e-07,1.32062948680249e-07,1.30809777974289e-05
"13",12,0.130010392582681,19908.103734081,0.494204110433752,0.218309090395134,2.3855892987842e-05,8.68863260363186e-05,0.000276230674946765,0.00257410630674628,2.15746813974289,11.857861488981,0.0552595749439039,18.3797411110422,0.0052186077866692,1.41254853697805e-09,3.0012157337066e-12,4.70889032874024e-13,1.17722258218506e-13,1.18867615881136e-12,0.00198496417023725,4.21741663568228e-06,1.32655736698867e-06,3.64225442975769e-07,3.93007719442405e-05
