"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,34576.5238957775,0.470118485180778,0.235059242590389,0,0,0,0,1.18444010222388,9.73897859719117,0.00974872732451568,15.1669319145415,0.00457006534852747,0.0055695493652982,0.000139670245680204,1.04114615335364e-05,2.60286538338409e-06,0.000135132481127873,0,0,0,0,0
"2",1,0.00429953633390853,34576.5247834908,0.470637676516087,0.233208914701844,2.37283935724737e-06,9.44453895243486e-06,0.000107821523193522,0.000290958385738109,1.1842531848432,9.73967601271755,0.0124286883867513,15.1658469626945,0.00364408892650402,0.0052288893386375,0.000131127351723005,9.77464721859554e-06,2.44366180464888e-06,0.000126867138349772,0.000462397150310898,1.15957538662181e-05,1.01572066345028e-06,2.55188948697478e-07,3.1291357480414e-05
"3",2,0.00787773736359307,34576.5270581527,0.471025935101103,0.231204550097052,4.93564913792839e-06,1.95525106269547e-05,0.000197553776941566,0.000548582801886447,1.18386920552745,9.74043536683382,0.0153158566547978,15.1641917343743,0.00357409434954728,0.00741279283557831,0.000185894141269765,1.38571367989958e-05,3.46428419974895e-06,0.000179854602636238,0.000421844488128734,1.05787954161755e-05,1.0470162251382e-06,2.64298781245835e-07,2.93760277319609e-05
"4",3,0.0108797400263391,34576.5306385959,0.471394246769214,0.229160487074325,7.70714204465123e-06,3.03846009781002e-05,0.000272836429439594,0.000811886873607031,1.18344199259758,9.74121394860042,0.0182427578591667,15.1625436324833,0.00358296252627282,0.00676846590397593,0.00016973604751159,1.2652661423448e-05,3.16316535586199e-06,0.000164221471261654,0.000582598549628644,1.46101016837304e-05,1.62706318515249e-06,4.12709289571752e-07,4.34756817608584e-05
"5",4,0.0124953464164011,34576.535150319,0.471724942047865,0.226981348434988,1.00968440004551e-05,3.95721174840572e-05,0.000313351761403152,0.001047499694761,1.18291551635217,9.74204871277845,0.0213433147560441,15.1609481875985,0.00361147483629828,0.00674487574319386,0.000169144465798965,1.26085630529258e-05,3.15214076323145e-06,0.000163649109523279,0.000669112559829461,1.67796547780643e-05,2.11904495843948e-06,5.40675297043031e-07,5.60924986651136e-05
"6",5,0.013930850113129,34576.5403234853,0.471982728210567,0.224523061003016,1.25344690457168e-05,4.88072165664087e-05,0.000349350572230837,0.0012797036017928,1.18219487271344,9.7429962770597,0.0248156875563746,15.1594293293686,0.00364672133614707,0.00788445026976946,0.000197722119691291,1.47388316922459e-05,3.68470792306147e-06,0.000191298300347542,0.000745982261649132,1.87073529515309e-05,2.61357472827124e-06,6.71207535172787e-07,6.85267718304026e-05
"7",6,0.0175869311447268,34576.546294636,0.472247600207877,0.222098871257288,1.61948509131874e-05,6.28317063055224e-05,0.00044103585992963,0.00156932046019789,1.18148272408298,9.74393695139932,0.028213240901653,15.1579813941919,0.0036688788215453,0.0130243983740469,0.000326619049662121,2.43472162243025e-05,6.08680405607563e-06,0.000316007481403939,0.000941761526702986,2.36170029529359e-05,3.36457129266606e-06,8.67217105430223e-07,8.40354477037532e-05
"8",7,0.0219034476663619,34576.5536838996,0.472634129790294,0.220149366368597,2.05955585997232e-05,7.98306248390049e-05,0.000549283203389015,0.00188965346258046,1.18107451545017,9.74469824610713,0.030926735839413,15.1565781395998,0.00365422447069348,0.0125203583934705,0.00031397899868091,2.34049868759405e-05,5.85124671898512e-06,0.000303778094662651,0.00117290641241391,2.94135334902388e-05,4.274845367128e-06,1.1028703388079e-06,0.000101188940538551
"9",8,0.022618807648404,34576.5619324545,0.473079749732592,0.218447990331035,2.34750325796214e-05,9.07359218605047e-05,0.000567222626830367,0.00212303968875569,1.18081975592516,9.74536637020698,0.0332815690332296,15.1551760140652,0.00366049677560049,0.0078287897826725,0.00019632629511059,1.46347825165695e-05,3.65869562914239e-06,0.000189947824890935,0.00121121318141676,3.03741706059055e-05,4.85881246676588e-06,1.25706311917957e-06,0.00011368652564112
"10",9,0.0204564422626846,34576.5698907931,0.473520815391411,0.21673676137319,2.46747672818742e-05,9.48958026409429e-05,0.000512995958770729,0.00226319619265883,1.18054985528396,9.74604183991645,0.0356369582213473,15.1537901351683,0.00367036900473118,0.00606797877588103,0.000152169597721877,1.13432027382735e-05,2.83580068456839e-06,0.000147225740115543,0.00109542080637495,2.74703899929261e-05,5.08156967451571e-06,1.32130764117913e-06,0.000121191757907453
"11",10,0.0176290158851802,34576.5771573766,0.473978096070025,0.215095576808022,2.49535163311042e-05,9.54665705849307e-05,0.000442091239037164,0.00234049239291517,1.18031898668976,9.74669304228425,0.0378836377073809,15.1523994989024,0.00368102683311073,0.00516530856399486,0.000129532906314153,9.65579221865806e-06,2.41394805466452e-06,0.000125324495082612,0.00124284202943282,3.11673423121315e-05,6.73037378271972e-06,1.75921781910161e-06,0.000165004237016321
"12",11,0.0148174362609171,34576.5837078604,0.474403147652041,0.213343320932966,2.4522213629679e-05,9.32607862838875e-05,0.000371583915892313,0.00235944947833235,1.18000239026679,9.74739194006373,0.0402684980668586,15.151022804943,0.00370764153880775,0.00480298241303292,0.000120446680624778,8.97847623922917e-06,2.24461905980729e-06,0.00011653347294677,0.00124290901824723,3.11690222225792e-05,7.82285614595901e-06,2.05696045732994e-06,0.000197914199398519
"13",12,0.0122121934664772,34576.5896001423,0.474788510553769,0.211448019635206,2.34111220099082e-05,8.84552807892446e-05,0.000306250999835734,0.00231523986830096,1.1795773878392,9.74815211676923,0.0428314824665345,15.1496818371305,0.00373758437775134,0.0044327967085862,0.000111163357164262,8.28646796902224e-06,2.07161699225556e-06,0.000107551756574592,0.00140488052314876,3.52308588989433e-05,1.01758215255586e-05,2.69319589695845e-06,0.000266343258180612
"14",13,0.0102380531955449,34576.5947841734,0.475138225695307,0.209428636525769,2.22497686588971e-05,8.34927660917818e-05,0.000256744542748512,0.00226582705664332,1.17905416521941,9.74896694158705,0.0455428797423493,15.1483759260565,0.00377079246948426,0.00423114464865697,0.000106106432284896,7.90950880636669e-06,1.97737720159167e-06,0.000102659126777185,0.000870628384989753,2.18331632331563e-05,7.1000971290564e-06,1.89208629647682e-06,0.00019268246739037
"15",14,0.0100051463082535,34576.5995641862,0.475468333790397,0.207343757397303,2.22580083403365e-05,8.30824539315481e-05,0.000250903825657235,0.0023089053635626,1.17847249603337,9.74981359882453,0.0483209170911948,15.147113822383,0.0037958713259756,0.00624361816348885,0.000156574190411396,1.1671534997836e-05,2.91788374945899e-06,0.000151487231427408,0.000535764982793642,1.34356339922003e-05,4.44897736921348e-06,1.1918927607929e-06,0.000123639435573352
