"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,19907.9194532772,0.485311086696307,0.242655543348153,0,0,0,0,2.17107023401048,11.8458597728847,0.0118577174903751,18.4068211917237,0.00646684508947782,1.29094724920151e-09,2.74285172810952e-12,4.30351868098198e-13,1.07587967024549e-13,1.08634724913016e-12,0,0,0,0,0
"2",1,2.13796701093286e-07,19907.9194532774,0.486222321011046,0.240745717784831,1.78289384703674e-11,7.13118449175565e-11,4.54249893960073e-10,0.000245276501192714,2.17031518296277,11.8467671648819,0.0153526964432003,18.4052456236526,0.00514690805658464,1.26729553493506e-09,2.69259936854284e-12,4.22467301610615e-13,1.05616825402654e-13,1.0664440542115e-12,3.20278957278008e-09,6.80490772950225e-12,1.06828979188975e-12,2.67087087567899e-13,3.67437390965747e-06
"3",2,0.0714651466343894,19907.9224330358,0.486962934341519,0.238677067373619,6.18242663693434e-06,2.46382450458737e-05,0.000151840674409414,0.000507398903006673,2.16923326948248,11.8477561788416,0.0191220541607035,18.4028077000581,0.00504115606474394,0.149066151224266,0.000316718092657164,4.96928876755041e-05,1.2423221918876e-05,0.000125440914352671,2.00455118189971e-11,4.25903279685395e-14,6.91086852158992e-15,1.73413072045828e-15,1.42322113452043e-13
"4",3,0.153479489619409,19907.9373966332,0.48768025746374,0.236570306671244,1.415118495077e-05,5.60354180883422e-05,0.000326095031065247,0.000785911615226192,2.16807534096117,11.848770102906,0.0229431052411921,18.4003491871159,0.00504799313915838,0.0448903712189203,9.53777409181139e-05,1.49647130242023e-05,3.74117825605057e-06,3.77757738097118e-05,4.30500050448234e-11,9.14675489686764e-14,1.57175726696374e-14,3.96931593290782e-15,2.20443129464214e-13
"5",4,0.170739349867719,19907.9575432218,0.488358085068371,0.234323419204109,1.71041864683223e-05,6.71080534863692e-05,0.00036276673669713,0.00101366016048323,2.16673142714192,11.8498590058871,0.0269980236626965,18.3979338710537,0.0050805576761641,0.0299299054034549,6.35915160815425e-05,9.97747251899417e-06,2.49436812974854e-06,2.5186366384746e-05,4.789128431025e-11,1.01753725423717e-13,1.88233753467677e-14,4.79761377611306e-15,2.84325124684419e-13
"6",5,0.171140672386677,19907.9789783734,0.488960831346818,0.231787682837501,1.87336848134458e-05,7.26757838454198e-05,0.000363619419225664,0.0012301627338878,2.16502511013017,11.8510972583543,0.0315479145727342,18.3955926721798,0.00512223599686348,0.0137374132655776,2.91876277195295e-05,4.57952210311848e-06,1.14488052577962e-06,1.15601943615087e-05,4.80038526834482e-11,1.01992897362887e-13,2.03850877334828e-14,5.25467753200678e-15,3.45052697472136e-13
"7",6,0.156981914471007,19907.9997797761,0.489571508942015,0.229287706565076,1.90763836860005e-05,7.30715611616393e-05,0.00033353656832614,0.00143206501128333,2.16333015343739,11.8523279836765,0.0360057238117002,18.3933111326584,0.00514764866721883,1.27147281495738e-09,2.70147475809507e-12,4.23859845157448e-13,1.05964961289362e-13,1.06995928433721e-12,0.000443163759208444,9.41581837315378e-07,2.06282792796507e-07,5.38530947012496e-08,4.04275432599857e-06
"8",7,0.137832904497509,19908.0185727155,0.490307497593459,0.227277472248184,1.88252613522571e-05,7.13057107512888e-05,0.000292851021236682,0.00162173463996996,2.16219054430631,11.8533250701201,0.0395702807145465,18.3910333936,0.00512595462387781,1.2566617304284e-09,2.67000592091321e-12,4.18922402593819e-13,1.04730600648455e-13,1.05749558301662e-12,0.000281082848531063,5.97211526119474e-07,1.45413842707395e-07,3.83903836643721e-08,3.30720587965619e-06
"9",8,0.147193705727299,19908.0362625202,0.491102856679964,0.225523015074259,2.08601681698077e-05,7.87682939131676e-05,0.000312739742364132,0.00183106558498778,2.16133257479242,11.8542010437146,0.0426672647964665,18.3887231515897,0.00513146259123941,0.0543771240019726,0.000115534068979727,1.81272293740358e-05,4.53180734350894e-06,4.57589875277172e-05,4.1286883282189e-11,8.77214767906689e-14,2.20939974373304e-14,5.85114237200671e-15,5.1360206413638e-13
"10",9,0.161311353015126,19908.0565072211,0.491893958855762,0.223760891784293,2.3479479664027e-05,8.84505968588883e-05,0.000342735246273536,0.00204671313089829,2.16044742739748,11.855086365868,0.0457644813981161,18.386445194442,0.0051413481502227,0.0143466332446606,3.04820261339187e-05,4.78261247435034e-06,1.19565311858759e-06,1.20728601182244e-05,4.52467921173638e-11,9.61350218045596e-14,2.48098208459983e-14,6.58584231999145e-15,5.7408980723725e-13
