"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,26533.7277043725,0.157845504949161,0.0789227524745803,0,0,0,0,1.72419552518706,8.75313791700094,0.00876189981681775,14.2615274780665,0.00909917428149262,0.00674135592362213,0.000169056197604882,1.08612695350908e-05,2.7153173837727e-06,0.000163563709085891,0,0,0,0,0
"2",1,0.00624644761298803,26533.7280671904,0.159612642215521,0.0783023506728014,2.64827638510592e-06,1.05404618839597e-05,0.000156645145865917,0.000893743882664294,1.72441440500482,8.75363447013246,0.0106520966491693,14.2590823889605,0.0070591690974701,0.00661412277037117,0.000165865511140381,1.06562790870393e-05,2.66406977175982e-06,0.000160476685243774,0.000162055009825428,4.06393076916617e-06,2.73456972666828e-07,6.87056839661053e-08,2.31868867971335e-05
"3",2,0.0136376497680738,26533.7291620285,0.161174885685978,0.0776318383497083,6.02102664783237e-06,2.38527876739054e-05,0.000341997847343877,0.0016692434485138,1.72428322436211,8.7541767753684,0.0126948917598623,14.2553409809698,0.00689526538565581,0.0106858291755667,0.000267973634554216,1.72163689614844e-05,4.30409224037109e-06,0.000259267404720387,0.000136376497680738,3.41997847343877e-06,2.38527876739054e-07,6.02102664783237e-08,1.6692434485138e-05
"4",3,0.0215480797217034,26533.7311693743,0.162717289579924,0.0769504052367176,9.9302529731992e-06,3.91447281880991e-05,0.00054037147195764,0.0024584243072574,1.724083207455,8.75473386901564,0.0147700727073136,14.2515356143733,0.00689355698447476,0.00950521300543942,0.000238366759792838,1.53142307883157e-05,3.82855769707891e-06,0.000230622431516088,0.000215480797217034,5.4037147195764e-06,3.91447281880991e-07,9.9302529731992e-08,2.4584243072574e-05
"5",4,0.028092558836201,26533.73399721,0.164245913125275,0.0762249204144256,1.35745710560763e-05,5.3178963097333e-05,0.000704490495925014,0.00321764266701276,1.7237324088821,8.75533373961466,0.016978288620571,14.2477722300191,0.00691437530212535,0.00973410737331508,0.000244106853021062,1.56830117060907e-05,3.92075292652268e-06,0.000236176034118115,0.00028092558836201,7.04490495925014e-06,5.3178963097333e-07,1.35745710560763e-07,3.21764266701276e-05
"6",5,0.0351081833356471,26533.737600565,0.165750730072014,0.0754084093979518,1.76719612512497e-05,6.87614044442671e-05,0.000880424657410846,0.00399441221720045,1.72309195140956,8.75601710563556,0.0194608715129779,14.2440765185965,0.00694071652382707,0.0121313236368922,0.000304222988550542,1.95452631978685e-05,4.88631579946712e-06,0.000294339048798553,0.000351081833356471,8.80424657410846e-06,6.87614044442671e-07,1.76719612512497e-07,3.99441221720045e-05
"7",6,0.0471870163358806,26533.7422088591,0.167259145528748,0.0746050753889315,2.41512192444345e-05,9.36277344878714e-05,0.0011833313132319,0.00490085397349512,1.72245799221267,8.75669812640659,0.0219001905617147,14.2404488991256,0.00695845856259201,0.0220536183309311,0.000553049104764273,3.55314710616204e-05,8.88286776540509e-06,0.000535081021361288,0.000471870163358806,1.1833313132319e-05,9.36277344878715e-07,2.41512192444345e-07,4.90085397349512e-05
"8",7,0.0618429680721268,26533.7483730635,0.168810019448725,0.0739603203613267,3.22058436519498e-05,0.000124699927217938,0.00155086560468335,0.00588000448432801,1.72226552967799,8.75725137712216,0.0238565789112312,14.2368752722374,0.00695123220923152,0.0206867331399828,0.00051877107293177,3.33292273808807e-05,8.33230684522016e-06,0.000501916652907952,0.000618429680721268,1.55086560468335e-05,1.24699927217938e-06,3.22058436519498e-07,5.88000448432801e-05
"9",8,0.06971285119739,26533.755829244,0.170380315647025,0.0733991520976811,3.79571837968282e-05,0.00014644082626334,0.00174822241714445,0.00669959579464236,1.72229959289325,8.75773831952395,0.0255598221371633,14.2333292865358,0.00695914202589042,0.0112985557734965,0.000283339271673956,1.82035574153851e-05,4.55088935384626e-06,0.000274133825682051,0.0006971285119739,1.74822241714445e-05,1.4644082626334e-06,3.79571837968282e-07,6.69959579464236e-05
"10",9,0.070739548677664,26533.7637478186,0.171949575682948,0.0728366198606261,4.10701250081335e-05,0.000157481482740394,0.001773969399513,0.00734669127495651,1.72231075074817,8.75823159226411,0.0272675087721334,14.229819778524,0.00696838176391403,0.00799060721146228,0.000200384267946818,1.28739885055796e-05,3.2184971263949e-06,0.000193873957726446,0.00070739548677664,1.773969399513e-05,1.57481482740394e-06,4.10701250081335e-07,7.34669127495651e-05
