"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,19907.9194532772,0.485311086696307,0.242655543348153,0,0,0,0,2.17107023401048,11.8458597728847,0.0118577174903751,18.4068211917237,0.00646684508947782,0.0920482702507149,0.000195573256213861,3.06853320940146e-05,7.67133302350365e-06,7.74596988652362e-05,0,0,0,0,0
"2",1,0.0847531343010232,19907.9249703501,0.486222346985218,0.240745718523194,7.4794774456378e-06,2.97692804694366e-05,0.000180073415876634,0.000319570210134851,2.17031520968615,11.8467672050231,0.0153528562445739,18.4052575234417,0.00514715400718995,0.0903618346600759,0.000191990117726219,3.01231397137235e-05,7.53078492843088e-06,7.60405435388981e-05,0.00211717885547948,4.49833073044673e-06,7.43652629162629e-07,1.86841367325678e-07,7.98303564014e-06
"3",2,0.301958078874917,19907.9462023525,0.486963093718083,0.238677069317137,2.71734303785766e-05,0.000107890442496382,0.000641564741681722,0.000715167417645694,2.16923343067978,11.847756357947,0.0191227618132968,18.4028592941519,0.00504174860574898,0.391902565119106,0.000832668126952802,0.000130645153096536,3.26612882741339e-05,0.000329790604385679,0.00301958078874917,6.41564741681722e-06,1.07890442496382e-06,2.71734303785766e-07,7.15167417645694e-06
"4",3,0.531786007932909,19907.9997774626,0.487680687801936,0.23657030206424,5.03351225465269e-05,0.000198797516207555,0.00112987588899968,0.00114275989676284,2.16807576700923,11.8487705907693,0.0229450196794635,18.4004846724679,0.00504952345720032,0.18363467994061,0.000390165205842054,6.12166977457344e-05,1.53041744364336e-05,0.000154530736652307,0.00531786007932909,1.12987588899968e-05,1.98797516207555e-06,5.03351225465269e-07,1.14275989676284e-05
"5",4,0.622673689231289,19908.0713315486,0.488358695239302,0.234322325355914,6.31913667455996e-05,0.000247588571405971,0.00132298326334617,0.00146484584968006,2.16673104541693,11.8498604557319,0.0270035614437685,18.3981817365337,0.00508286161749309,0.152864038451125,0.000324787393358487,5.09589563424583e-05,1.27397390856146e-05,0.000128636880991863,0.00622673689231289,1.32298326334617e-05,2.47588571405971e-06,6.31913667455996e-07,1.46484584968006e-05
"6",5,0.671427792462172,19908.1522513438,0.48896213743744,0.23178688908705,7.31341924575209e-05,0.000283826941517085,0.00142657020416189,0.0017583445386984,2.1650256796622,11.8510990999703,0.0315549105061969,18.3959710892234,0.00512497095091257,0.119489435102467,0.000253876991305687,3.98331547986577e-05,9.95828869966441e-06,0.000100551760890286,0.00671427792462172,1.42657020416189e-05,2.83826941517085e-06,7.31341924575209e-07,1.7583445386984e-05
"7",6,0.683064191451033,19908.237934529,0.489573534307001,0.229286852000132,8.01906914119507e-05,0.000308202901918843,0.0014512938457323,0.00201953706881284,2.16333137390206,11.8523304791039,0.0360151226207714,18.3938323095846,0.00515083298650277,0.0906596867997708,0.000192622958654916,3.02224320936516e-05,7.55560802341289e-06,7.62911896073608e-05,0.00875894853382512,1.86099758431528e-05,3.95209321417959e-06,1.02828716211437e-06,2.58965723416228e-05
"8",7,0.677848311909028,19908.3248228759,0.490310479155576,0.227277106250165,8.57717150201255e-05,0.000327303642368798,0.00144021176300255,0.00225754428656373,2.16219315893146,11.8533280243332,0.0395813649161962,18.3917046930396,0.00512944058571231,0.0896036136625663,0.000190379139605622,2.9870378167571e-05,7.46759454189275e-06,7.54024916778427e-05,0.00816082000643599,1.73391432309019e-05,3.94050713986455e-06,1.03263151301689e-06,2.71792556764191e-05
"9",8,0.725607913298869,19908.4136258466,0.491106751124139,0.22552266011951,9.5819311563398e-05,0.000364474070201384,0.0015416857041624,0.0025354721332838,2.16133610566449,11.8542047633892,0.0426811459938854,18.3895514743814,0.0051352859632849,0.198765469868238,0.000422313315167456,6.62607177203568e-05,1.65651794300892e-05,0.000167263473815048,0.00725607913298869,1.5416857041624e-05,3.64474070201384e-06,9.5819311563398e-07,2.5354721332838e-05
"10",9,0.778927005028292,19908.5111117217,0.491898886109869,0.223760550341618,0.000106891247595724,0.000405305779052545,0.00165497179155423,0.00282274388431986,2.16045199774199,11.855090948009,0.0457814932830422,18.387444294793,0.00514552517436932,0.118042079844922,0.000250801822376979,3.93506625517658e-05,9.83766563794143e-06,9.93337944679391e-05,0.00778927005028292,1.65497179155423e-05,4.05305779052545e-06,1.06891247595724e-06,2.82274388431986e-05
"11",10,0.766999719729802,19908.6123589537,0.492706909219989,0.222068758026095,0.000112335256999986,0.000423709479099177,0.00162963010922534,0.0030360472867441,2.15963552253572,11.8559472393717,0.0487459762789461,18.3853591402533,0.00515763282975051,0.0871730727842626,0.000185215014384844,2.90601298726744e-05,7.26503246816859e-06,7.33571630258185e-05,0.0187045506797342,3.97412126538509e-05,1.03328530916364e-05,2.73948015054999e-06,7.40390105500686e-05
"12",11,0.739135214943502,19908.7125233771,0.493481786701197,0.220263102134139,0.000116112714189176,0.000435128908340256,0.00157042691160956,0.00322715779267809,2.15865988609816,11.8568670048693,0.0518959622819796,18.3833101875711,0.00518986767912892,0.0856779793801555,0.000182038417099651,2.85617235746349e-05,7.14043089365872e-06,7.20990243933152e-05,0.00962484193104416,2.044972351866e-05,5.66614453990383e-06,1.51199198422815e-06,4.20232766794074e-05
"13",12,0.711957490707555,19908.811061537,0.494216295936328,0.218310277848523,0.000119629512213184,0.000445078397738831,0.0015126829039185,0.00341412539525079,2.15748153699677,11.8578685551473,0.05528577213758,18.3813223964643,0.00522638664668386,0.083932358446153,0.00017832952860834,2.79798010906574e-05,6.99495027266434e-06,7.06300639064707e-05,0.0172020923970606,3.65489673474741e-05,1.07538439046833e-05,2.89045055268865e-06,8.24910212629243e-05
