"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,26533.7277043725,0.157845504949161,0.0789227524745803,0,0,0,0,1.72419552518706,8.75313791700094,0.00876189981681775,14.2615274780665,0.00909917428149262,0.134827118472443,0.00338112395209764,0.000217225390701816,5.4306347675454e-05,0.00327127418171782,0,0,0,0,0
"2",1,0.119571141836354,26533.7347517853,0.159614120822025,0.0783023510541233,5.06548321091973e-05,0.000201627330426366,0.00299854255006714,0.00373893370005805,1.72441588351084,8.75363470648779,0.0106530358352399,14.2592602843675,0.00707360082427626,0.132282455407424,0.00331731022280762,0.000213125581740786,5.32813954351964e-05,0.00320953370487548,0.013863502353018,0.000347661660330833,2.33773879455318e-05,5.87310092847234e-06,0.000433505236735754
"3",2,0.219040943299367,26533.7540163907,0.161182333704751,0.0776318418513211,9.71895914920795e-05,0.000384832660541635,0.00549299420079889,0.00700413109770168,1.72429066897615,8.7541776839973,0.0126984757647927,14.2560157365654,0.00692851740253564,0.141649735102806,0.00355221796320059,0.000228217582628267,5.70543956570668e-05,0.00343680949751729,0.0219040943299367,0.000549299420079889,3.84832660541635e-05,9.71895914920795e-06,0.000700413109770168
"4",3,0.303303708503592,26533.7837108962,0.162735283256669,0.0769501544639174,0.000140597072416059,0.000553882826528094,0.00760609175068248,0.0100104247623251,1.72410050588231,8.75473606847068,0.0147786350337234,14.2529775369078,0.00694492325076205,0.138841952637558,0.00348180586322331,0.000223693851423971,5.59234628559926e-05,0.00336868502530049,0.0303303708503592,0.000760609175068248,5.53882826528094e-05,1.40597072416059e-05,0.00100104247623251
"5",4,0.369630577436278,26533.822111889,0.164278875266238,0.0762246770185898,0.000178830162013707,0.000700466011100131,0.00926940227572187,0.0126473881321595,1.72376463457736,8.75533739030649,0.0169924419024573,14.2502083244604,0.00698289402151989,0.138158647153642,0.003464670285719,0.000222592950489544,5.56482376223861e-05,0.00335210616777476,0.0369630577436278,0.000926940227572187,7.00466011100131e-05,1.78830162013707e-05,0.00126473881321595
"6",5,0.424631317354819,26533.8676451115,0.165802723008379,0.0754081463491952,0.000213788489788846,0.000831812928317155,0.0106486820617812,0.0150405431672626,1.72314300524242,8.75602258977599,0.0194819342883927,14.2476932864938,0.00702467970450622,0.14246507474408,0.00357266462423909,0.000229531209101464,5.73828022753661e-05,0.00345659186435897,0.0424631317354819,0.00106486820617812,8.31812928317155e-05,2.13788489788846e-05,0.00150405431672626
"7",6,0.481022458824785,26533.9191622826,0.167333754044158,0.0746050794524417,0.000250065200686593,0.000967635511483577,0.0120628296106603,0.0174691430295055,1.72253213896049,8.75670551584493,0.0219283528404633,14.2453940695467,0.00705536327182832,0.163787731614498,0.0041073830598457,0.000263884998768965,6.59712496922412e-05,0.0039739377640274,0.0481022458824785,0.00120628296106603,9.67635511483577e-05,2.50065200686593e-05,0.00174691430295055
"8",7,0.535881736758,26533.9765169825,0.168910179904241,0.0739607068188769,0.000286360259783609,0.0011052478796462,0.0134385618870472,0.0198525661789012,1.72236593589656,8.75726085413121,0.023892446246934,14.2432745664786,0.00705854366117866,0.162537004008225,0.00407601796716232,0.000261869901242499,6.54674753106248e-05,0.00394359169586901,0.0535881736758,0.00134385618870472,0.00011052478796462,2.86360259783609e-05,0.00198525661789012
"9",8,0.571280681008416,26534.0387007369,0.170508395889499,0.0733996591919674,0.000315028902825886,0.00121316159578019,0.0143262780945882,0.0217377034862892,1.72242795178357,8.75775033657304,0.0256050860517143,14.2412862716853,0.00707617657604738,0.143781481609474,0.0036056767870274,0.000231652125122645,5.79130312806613e-05,0.00348853149075008,0.0571280681008416,0.00143262780945882,0.000121316159578019,3.15028902825886e-05,0.00217377034862892
"10",9,0.588049931327531,26534.1039008328,0.17210791988712,0.0728373843866029,0.000335743533310041,0.00128898347889203,0.0147468085824831,0.0231162876101845,1.7224697090034,8.75824626010258,0.0273225093956184,14.2394124431422,0.00709362571855203,0.136282412105665,0.00341761904460108,0.000219570072777976,5.48925181944941e-05,0.00330658358047318,0.0588049931327531,0.00147468085824831,0.000128898347889203,3.35743533310041e-05,0.00231162876101845
"11",10,0.594255372804181,26534.1710849633,0.173714779213824,0.0722988714013788,0.000351179442347434,0.00134429764359416,0.0149024253979113,0.0241449888932786,1.72256689322627,8.75872659371612,0.0289690633838366,14.2376155953096,0.00711059186368991,0.131807519588084,0.00330540003075818,0.000212360393549543,5.30900983873858e-05,0.00319801046458538,0.0623742328980874,0.00156418838609641,0.000141100170302579,3.68604968982203e-05,0.00253430634281764
