"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,34912.462374445,0.678798286020874,0.339399143010437,0,0,0,0,4.0904336767169,16.2986412478882,0.0163149562040923,26.9071263811438,0.00751031046159808,0.501573614924955,0.00106568417673301,0.000248466767520721,6.21166918801803e-05,0.000422080078908742,0,0,0,0,0
"2",1,0.359044186640588,34912.5591965206,0.679753054846067,0.336727730791138,5.4752942847605e-05,0.000217940950740487,0.000762854538327531,0.000535163886097749,4.08801622434386,16.3001198600378,0.0220396798801753,26.905574304842,0.00603773573157428,0.467844903112175,0.000994021406980168,0.000231758424523027,5.79396061307568e-05,0.00039369697238198,0.0566816861385978,0.000120430529499619,3.44059617903961e-05,8.64375259961861e-06,8.44853991602711e-05
"3",2,0.835473836308579,34912.8137188368,0.680505869725212,0.333833831357835,0.000139155484547754,0.000552013757843048,0.00177511579743223,0.00122721667082049,4.08508060570839,16.3017344091582,0.0282255675050171,26.9033953476606,0.00593246801288028,1.13227811556269,0.00240573035644382,0.000560901680106135,0.000140225420026534,0.000952825312461555,0.0835473836308579,0.000177511579743223,5.52013757843048e-05,1.39155484547754e-05,0.000122721667082049
"4",3,1.19657794634142,34913.2707632522,0.681232706043988,0.330886311593323,0.000227930548461859,0.000899892135759227,0.00254234701686715,0.00194414190346712,4.08201230285673,16.3033935655875,0.034511954418774,26.9016244021677,0.00595932305113828,0.717248492227483,0.00152392459692442,0.000355306597217116,8.88266493042789e-05,0.000603573017376218,0.119657794634142,0.000254234701686715,8.99892135759227e-05,2.27930548461859e-05,0.000194414190346712
"5",4,1.22330865115731,34913.8009681498,0.68190815743504,0.327740897461382,0.000277225753087778,0.0010872505025139,0.00259914125066964,0.0023839993103461,4.07859417306188,16.3051791192582,0.0411975072903564,26.9000789026925,0.0060206640364481,0.64041243136553,0.00136067244045816,0.000317243973699228,7.93109934248069e-05,0.000538914571105071,0.122330865115731,0.000259914125066964,0.00010872505025139,2.77225753087778e-05,0.00023839993103461
"6",5,1.16164340847212,34914.3409242293,0.682483747239754,0.324192702807495,0.000310495657948193,0.00120826704381332,0.00246812225080891,0.00270759341183195,4.07449695428822,16.3072102690822,0.0487020864287546,26.8986809868868,0.0060953907810594,0.555850080856306,0.00118100437937302,0.000275353943482776,6.8838485870694e-05,0.000467754361489615,0.116164340847212,0.000246812225080891,0.000120826704381332,3.10495657948193e-05,0.000270759341183195
"7",6,1.03879099090594,34914.8624063726,0.683074466172086,0.320693790964892,0.000327644117930584,0.0012655295026653,0.00220709999290312,0.00290779573734588,4.07042128559103,16.3092321501271,0.0560667181411038,26.8973534869384,0.00614399495691307,0.473801945906074,0.00100667822555411,0.000234709391485682,5.86773478714204e-05,0.000398709893751234,0.115101612107404,0.000244554264995923,0.000140225018508508,3.63040943765109e-05,0.000322193761764972
"8",7,0.912456153841633,34915.3454926685,0.683842366966775,0.317880127658286,0.000334753952202138,0.00128708464867413,0.00193867870274073,0.00302186578561759,4.06739330229224,16.3108745439273,0.0619724184464495,26.8959675270898,0.00611503913380089,0.452680483161983,0.000961801844568234,0.000224246357910603,5.60615894776506e-05,0.000380935935160873,0.098612046510295,0.000209519190153183,0.000139099342695396,3.61779271969179e-05,0.00032658267265181
"9",8,0.929677112811878,34915.7999806299,0.684693466137593,0.315424261515959,0.000354561914429776,0.00136126275004485,0.00197526775554707,0.00321465825039456,4.0648984266372,16.3123203543208,0.0671146923608066,26.8944775198952,0.0061266649865651,0.678341188650028,0.00144125896909221,0.000336032912028783,8.40082280071957e-05,0.000570832065150181,0.0929677112811878,0.000197526775554707,0.000136126275004485,3.54561914429776e-05,0.000321465825039456
"10",9,0.943274732260261,34916.2827756317,0.68554062176884,0.312957329609549,0.000375345441750921,0.00143882686985127,0.00200415836593045,0.00341082610902582,4.06235311505671,16.3137831921642,0.0722636444570136,26.8930955548996,0.00614712181809205,0.504971055112494,0.00107290265502118,0.000250149772679135,6.25374431697837e-05,0.000424939064668308,0.0943274732260261,0.000200415836593045,0.000143882686985127,3.75345441750921e-05,0.000341082610902582
"11",10,0.806084982807983,34916.7603098744,0.686411738549681,0.31058867140132,0.000365974470134889,0.00139872774071939,0.00171267384431514,0.00336758945270875,4.05993660583522,16.3151988698155,0.077195438857078,26.8917310237694,0.00617169506974818,0.404069665595909,0.000858519340152664,0.000200165799548319,5.00414498870798e-05,0.00034002936212039,0.13064610062157,0.000277581352051597,0.000226698585203314,5.93152564182654e-05,0.00054580154682714
"12",11,0.663228124350601,34917.1907867718,0.687239189261135,0.308060257820125,0.000347037666033381,0.00132116433268783,0.00140914852108099,0.00324831811289362,4.05722131602392,16.3167195979294,0.0824363377044435,26.8903343413863,0.00622723144592014,0.374167797513767,0.000794987394448813,0.000185353177264923,4.63382943162308e-05,0.000314866589470322,0.0755009764400499,0.000160415527304185,0.000150399528447873,3.95062900456032e-05,0.000369784061180316
"13",12,0.544946029451203,34917.5809764438,0.688013766845773,0.305325562529828,0.00032517007686801,0.0012322870434772,0.00115783674315986,0.00310216708971864,4.05412471313384,16.3183754149483,0.088075863930742,26.888961703486,0.00629068405392596,0.339255378833718,0.000720809624622597,0.000168058456096108,4.20146140240269e-05,0.000285487379733432,0.092680332572785,0.000196916187331639,0.000209578135892864,5.53024872888698e-05,0.000527593306553703
"14",13,0.429644336060232,34917.929046312,0.688741827285771,0.302412752140617,0.000290162002713443,0.00109423827275424,0.000912857369163755,0.00283027055311377,4.05068356750159,16.3201518270699,0.0940487003460556,26.8876123807351,0.00636205967849626,0.302720195533939,0.000643183996842236,0.000149959858751366,3.74899646878416e-05,0.000254742594538893,0.0837364886494769,0.000177913367676412,0.000213264002375824,5.65517690039267e-05,0.000551611875578257
"15",14,0.344724990656532,34918.2368444253,0.689446674199945,0.29940583871239,0.000261481796296025,0.000981388792460257,0.000732430807633424,0.00261721555924916,4.04703381730862,16.3220000664144,0.10017839611723,26.8862935712946,0.00641630154330581,0.270871278496762,0.000575515192258726,0.000134182718108817,3.35456795272043e-05,0.000227941357360138,0.0460368608621227,9.78136662443134e-05,0.000131061166189587,3.49200127647604e-05,0.000349520318552667
"16",15,0.276739058304662,34918.5196667885,0.690136836780212,0.29634813036297,0.000242750195562868,0.000906647273990253,0.000587982355418351,0.00250134751803203,4.04324169347626,16.3238961461778,0.106377939262727,26.8850159686105,0.00648266457907009,0.234291251260218,0.000497794285395871,0.000116061906222322,2.90154765555806e-05,0.000197158835466926,0.0296736266949579,6.30470054526895e-05,9.72161751116818e-05,2.60291363546178e-05,0.00026820952900233
"17",16,0.47306074820537,34918.8228896334,0.690887954406277,0.293503451400556,0.000264381488082832,0.000993140926180689,0.00100510341651717,0.00267205128920006,4.0397725339204,16.3256759606069,0.11211628167234,26.8838439590811,0.00646111266080812,0.834368763928443,0.00177276787059833,0.000413324990638868,0.000103331247659717,0.000702131099480977,0.047306074820537,0.000100510341651717,9.93140926180689e-05,2.64381488082832e-05,0.000267205128920006
"18",17,0.546482396378866,34919.2957262917,0.691758655641124,0.291122141622412,0.00029023167378368,0.00109630846117737,0.00116110103353668,0.00287240097172088,4.03707191481277,16.3271819531725,0.116913676666136,26.8829442701052,0.00640725403540079,0.369157417577421,0.000784341932927907,0.000182871162920885,4.57177907302213e-05,0.000310650295997204,0.0546482396378866,0.000116110103353668,0.000109630846117737,2.9023167378368e-05,0.000287240097172088
"19",18,0.355193002598752,34919.7204164122,0.692683674928499,0.288971172927304,0.000264653953695434,0.000997742550339766,0.000754671998869819,0.00267490508606586,4.03473995546823,16.3285556581658,0.121243492211921,26.8818781158922,0.0063955911196012,0.224574302338934,0.000477148863859724,0.00011124837772562,2.7812094431405e-05,0.000188981908999091,0.0677732946580402,0.000143996664842395,0.000190376216204432,5.04978145824513e-05,0.00051039048982906
"20",19,0.222675982217127,34920.0003393237,0.693591266524197,0.286777006747463,0.000218543655835735,0.000821018187607015,0.000473115538230171,0.00228776838499237,4.03229403514011,16.3299668188371,0.125643286703617,26.8805328602452,0.00644217989413243,0.181113211200232,0.000384807887875579,8.97188624025853e-05,2.24297156006463e-05,0.000152408891138038,0.0462902098517438,9.83519521536925e-05,0.000170674465283683,4.54311757814056e-05,0.000475584648057012
"21",20,0.158953839454816,34920.1878757743,0.694526410831471,0.284667655835347,0.000175863124916403,0.00065868361460716,0.000337726280843742,0.00192635080573399,4.02997512506699,16.3313341057762,0.129860702951496,26.8790497819209,0.00643611605283145,0.140437474630059,0.000298384903193103,6.95691406441404e-05,1.73922851610351e-05,0.000118179781810231,0.0290379004081015,6.16962895767408e-05,0.000120329205428523,3.21269113366188e-05,0.000351908346723957
"22",21,0.103873750522495,34920.3203262996,0.695515355120828,0.28276108311328,0.000121189463438921,0.000452828123954409,0.000220698635286661,0.00141398957062115,4.02799669562549,16.332582020448,0.133672895814256,26.8774185430083,0.00643168585589202,0.0898495533744269,0.000190901683159671,4.45091755742864e-05,1.11272938935716e-05,7.56094528295063e-05,0.0461510106195086,9.80561981211991e-05,0.00020119111375406,5.38443657421513e-05,0.000628234249378324
