"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,42549.0925337708,0.361252058524421,0.180626029262211,0,0,0,0,1.56885775595201,9.84488894534095,0.00985474368902998,13.5252620473337,0.00394286085614658,0.0230366200472802,0.000577700307621361,4.54615088126193e-05,1.13653772031548e-05,0.000558931328122343,0,0,0,0,0
"2",1,0.0142003664397626,42549.0986106396,0.361747712921439,0.179204328001433,9.5261601624513e-06,3.79181712846717e-05,0.000356109361692384,0.000580000986364377,1.56815976834063,9.84555533110042,0.0124101647483517,13.5244862467059,0.0031680717974127,0.0204414508661111,0.000512620012369112,4.03400844735533e-05,1.00850211183883e-05,0.000495965434942008,0.00294242716854961,7.37886494171375e-05,7.85694213195251e-06,1.973895011291e-06,0.000120180747961927
"3",2,0.0232663337520006,42549.1119442859,0.36213781378038,0.17766416869744,1.90185949073002e-05,7.53687791953578e-05,0.000583460947750403,0.00112969157514297,1.56724426029815,9.84628211129667,0.0151679024562859,13.5233939368403,0.00311721562162577,0.0298357207154253,0.000748204597724446,5.88791618497565e-05,1.47197904624391e-05,0.000723896082443258,0.00237281206860027,5.95041398931218e-05,7.6864688169891e-06,1.93960733155825e-06,0.000115211353532001
"4",3,0.0296020320825787,42549.1312720692,0.362514944693454,0.17609484385396,2.90952795188741e-05,0.00011478874635283,0.00074234427642705,0.001709929471455,1.56627748307885,9.84702793984392,0.0179662503571785,13.5224471061182,0.00313532411521184,0.0270180904009058,0.000677545538534322,5.33187226398667e-05,1.33296806599667e-05,0.000655532674503209,0.00301895690697703,7.57078221664802e-05,1.1706705731498e-05,2.96727585521489e-06,0.000174386791213928
"5",4,0.030608215683112,42549.1538350374,0.362865950976286,0.174420730684059,3.67868255557067e-05,0.000144337745799359,0.000767576822449804,0.00216815701544156,1.56517940488248,9.84782942222621,0.0209376891458429,13.5216261467808,0.00317245401100839,0.0263096201633581,0.000659778892501533,5.19205954023792e-05,1.29801488505948e-05,0.000638343251315477,0.00312157232614972,7.82811579727351e-05,1.47202541164367e-05,3.75169653175666e-06,0.000221119029224693
"6",5,0.0317977255993962,42549.1779427823,0.363164891072334,0.172532359652999,4.4047839817454e-05,0.000171808348227918,0.000797406729925192,0.00260030850141389,1.56382433124631,9.84874046152867,0.0242703576861571,13.5209186810845,0.00321599524606274,0.0306052856941933,0.000767503345720309,6.03978562151773e-05,1.50994640537943e-05,0.000742567830936589,0.00324288424040162,8.13233547028815e-05,1.75218376262838e-05,4.49220951735204e-06,0.000265191906039266
"7",6,0.0423370864507361,42549.2050283732,0.363472675117686,0.17067020024331,5.62109026386114e-05,0.00021868787580299,0.00106170730845865,0.00326917628147999,1.56248036715816,9.84964647172096,0.0275373824366734,13.5203497334134,0.00324473457301964,0.0519605386494953,0.00130303920889337,0.00010254127909712,2.56353197742801e-05,0.00126070460066227,0.00431773870135605,0.000108277992643133,2.23028362136029e-05,5.73265687621897e-06,0.000333406243448667
"8",7,0.0544376205322749,42549.2392743626,0.363876110806677,0.169172771151402,7.12364348072581e-05,0.000277152296070592,0.00136515817264535,0.0040770439362234,1.56154021746157,9.85038155289965,0.0301538332537329,13.5199819775529,0.00323748179825367,0.0507425168491325,0.00127249429530296,0.000100137579739423,2.50343949348559e-05,0.00123115206469295,0.0055518090800944,0.000139225364087396,2.82653176029518e-05,7.26503255890859e-06,0.000415796453330451
"9",8,0.05304921115106,42549.2763993035,0.364325953183777,0.167865755992953,7.95163221444254e-05,0.000308695001824278,0.00133034036842814,0.00455014927965953,1.56080572586886,9.85102826803583,0.0324305856717059,13.5196779960976,0.00325103825941723,0.0319874538695508,0.00080216463624165,6.31254894597929e-05,1.57813723649482e-05,0.000776103006337993,0.00541021244647689,0.000135674477775468,3.14821936989641e-05,8.10945509705737e-06,0.000464046000534166
"10",9,0.0432261913027504,42549.3095376521,0.364774764313309,0.166552266819677,8.05531292800694e-05,0.000311345544649683,0.00108400381486723,0.0046604906298666,1.56005321017129,9.85168240197253,0.0347092697549922,13.5193078174213,0.00326541685485273,0.0244689076082864,0.000613618465879704,4.82880499216557e-05,1.20720124804139e-05,0.000593682536723399,0.00440841386941639,0.000110551897077662,3.17525087417852e-05,8.21519365090475e-06,0.0004752991395215
