"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,34912.462374445,0.678798286020874,0.339399143010437,0,0,0,0,4.0904336767169,16.2986412478882,0.0163149562040923,26.9071263811438,0.00751031046159808,0.0240533879619363,5.110578823348e-05,1.19154344985199e-05,2.97885862462998e-06,2.02412080438395e-05,0,0,0,0,0
"2",1,0.0179872311012461,34912.4671551463,0.679752657940047,0.336727729995015,2.75241738036269e-06,1.09549803896577e-05,3.82171370212642e-05,0.000189081026668279,4.08801582628072,16.3001187512128,0.0220352732204529,26.9053760042876,0.00603382790721372,0.022435898990132,4.7669139350843e-05,1.11141717439295e-05,2.77854293598237e-06,1.88800721057872e-05,0.00112714931486399,2.39483328852082e-06,6.86481347298404e-07,1.72477094836494e-07,1.18485468087507e-05
"3",2,0.287489949326116,34912.5174966205,0.680503927650634,0.333833839435497,4.1702619607521e-05,0.000166056181419719,0.000610824574598996,0.000588262125401125,4.0850786761677,16.3017304070927,0.0282097835073613,26.902752594984,0.00592417472896882,0.621969582250918,0.00132148726027627,0.000308107856951807,7.70269642379518e-05,0.000523394697295995,0.00137868242677261,2.92926103613178e-06,7.96336497039184e-07,1.99988448076328e-07,2.82106089805054e-06
"4",3,0.509884622422746,34912.7066448907,0.681228191929461,0.330886318052791,9.00363609509399e-05,0.000356374408588647,0.00108334242054719,0.00105448171083066,4.08200780382845,16.3033852516464,0.034479401650621,26.9003949034739,0.00594702357711629,0.205346716177523,0.000436296367398058,0.000101723522273511,2.54308805683777e-05,0.000172801669762529,0.00244519493729643,5.19526042870965e-06,1.70902369152151e-06,4.31777002655516e-07,5.05685644831437e-06
"5",4,0.468116369202104,34912.9210668583,0.681900089238651,0.327740922450389,0.000107560468890459,0.000421980302322136,0.000994598185957266,0.00130949753427241,4.0785861543932,16.3051650852583,0.0411429934121902,26.8981543030996,0.00600438464415606,0.144689881806634,0.000307419914019538,7.16756746281966e-05,1.79189186570492e-05,0.00012175823231726,0.00224489173766365,4.76967992757107e-06,2.02364231730335e-06,5.15815348057548e-07,6.27980645109611e-06
"6",5,0.384568519302204,34913.1143855863,0.682471174863252,0.324192805770414,0.000116555507740506,0.000452374168701997,0.000817085615540839,0.00150522678701923,4.07448455356111,16.3071892034889,0.0486210277495494,26.8959892963235,0.00607542050973008,0.0789707528502639,0.000167787697025911,3.91200954466447e-05,9.78002386166117e-06,6.64548146128246e-05,0.00184423093988054,3.91840334577047e-06,2.16939868046599e-06,5.58951819505563e-07,7.21844267750998e-06
"7",6,0.275805988656836,34913.2707468632,0.683056510102822,0.320693884938966,0.000116958199966188,0.000448585179687258,0.000585999879606445,0.00163395958988665,4.07040351854236,16.3092029333526,0.0559552969283729,26.8938497946937,0.00612090712437324,0.0227215740279805,4.82761078166152e-05,1.12556878665952e-05,2.81392196664879e-06,1.91204710002454e-05,0.00430230362288603,9.14102488245265e-06,6.9974899861321e-06,1.82443350810211e-06,2.54881712230163e-05
"8",7,0.182756025241343,34913.3827731341,0.68381840735843,0.317880227033899,0.000113217102977612,0.000429893369366594,0.000388298344464268,0.00172131739476643,4.06736957055071,16.3108361795087,0.0618270047956102,26.8916352652037,0.0060899298117984,0.0217086763742967,4.61240229180857e-05,1.07539242204397e-05,2.68848105510992e-06,1.82681057464285e-05,0.00235184597507314,4.99692361633427e-06,5.53220058884677e-06,1.45696530440355e-06,2.21512444328922e-05
"9",8,0.219072493693449,34913.4755193268,0.684663171160359,0.315424334067234,0.000123422988284194,0.000467621173902193,0.000465459272855652,0.00190014635090818,4.06486836042182,16.3122723096863,0.0669334529132668,26.8893346303123,0.00610092614762131,0.239608113692283,0.00050909092460319,0.000118695744172601,2.96739360431502e-05,0.000201633037554308,0.00105058071752554,2.23214940685285e-06,2.24251698661789e-06,5.91885404710815e-07,9.11231292931752e-06
"10",9,0.250501793163118,34913.6021221587,0.68550384396124,0.312957428416922,0.000136839309207225,0.00051760955338812,0.000532236523759572,0.00210111350308203,4.06231664932877,16.3137249925984,0.0720451792707425,26.887153061168,0.0061205592034695,0.078850823449253,0.000167532885247183,3.90606854822582e-05,9.76517137056456e-06,6.63538926154629e-05,0.00120130258785936,2.55238537525877e-06,2.48224049869765e-06,6.56224509197361e-07,1.0076067946528e-05
"11",10,0.175689191700478,34913.7189117063,0.686368191452889,0.310588716285948,0.0001319980916646,0.000495787933142975,0.000373283574029756,0.00213393579861154,4.05989335092799,16.315129754026,0.0769371435907358,26.8849777877707,0.00614375951862044,0.0193775034033289,4.11710228509673e-05,9.59912062752197e-06,2.39978015688049e-06,1.63063963537141e-05,0.0117484121882627,2.49616339420924e-05,3.31535533868281e-05,8.82676944398269e-06,0.000142697209217735
"12",11,0.106851664939054,34913.8001625158,0.687188603619392,0.308060253573467,0.000122419037403183,0.000455582478712336,0.000227025754933628,0.0021168329966973,4.05717102310462,16.3166390006222,0.0821366963554262,26.8827932819395,0.00619848962240088,0.0179435339672093,3.8124294529303e-05,8.88876876706883e-06,2.22219219176721e-06,1.50996942570724e-05,0.00199109613131569,4.23044509989807e-06,8.4894185914346e-06,2.28118178515886e-06,3.94455059990824e-05
"13",12,0.0656692559715422,34913.8547542468,0.687955935679709,0.30532548159014,0.000112704868628017,0.000415234722629388,0.000139526252785791,0.00208663100495775,4.05406715334475,16.318282780515,0.0877335687979337,26.8806606873371,0.00626111566892628,0.0162692793289815,3.45670366858095e-05,8.05938575012272e-06,2.01484643753068e-06,1.36907893450342e-05,0.00491653130078927,1.04460630618451e-05,3.10878276413947e-05,8.43799744892978e-06,0.000156222063084099
"14",13,0.0397739811894978,34913.8916166182,0.688676666344733,0.30241258929586,9.89931450265883e-05,0.000360818257713364,8.45070417144371e-05,0.00196947687879593,4.05061866755787,16.3200468807857,0.0936636211604913,26.8786029272751,0.00633253341804623,0.0145172036375568,3.08444338908654e-05,7.19145216959523e-06,1.79786304239881e-06,1.2216397104124e-05,0.00396517992392448,8.42474439860229e-06,3.59709857772099e-05,9.86890473436482e-06,0.000196342683002452
"15",14,0.0256807244346414,34913.9171512017,0.689374216595735,0.299405304658606,8.77947198073665e-05,0.000316480743325805,5.45633599190276e-05,0.00188651293499324,4.04696120502728,16.3218829159462,0.0997517149422843,26.876638271743,0.00638750056244394,0.0129898618179968,2.75993189941993e-05,6.43484601346388e-06,1.60871150336597e-06,1.09311210518402e-05,0.000984655858297614,2.09208007855881e-06,1.21345727122004e-05,3.36624402500537e-06,7.2333084602925e-05
"16",15,0.0177475759111425,34913.9366275451,0.690057283048973,0.296347604670522,8.06083672750575e-05,0.000287312787969924,3.77079460742811e-05,0.00187492935788529,4.04316213411304,16.3237659246505,0.105907294408831,26.8747558662891,0.00645355069134546,0.0112356355975637,2.38721470100719e-05,5.56584711575205e-06,1.39146177893801e-06,9.45491911555015e-06,0.000213354272588814,4.53309874304889e-07,3.45395963875278e-06,9.69041611690997e-07,2.25396522494027e-05
"17",16,0.228647179651487,34914.016952771,0.690801611669339,0.293502828557411,0.000109213485410242,0.000400728782653863,0.000485802430906729,0.00212718271528216,4.03968618567877,16.3255335598488,0.111605319480983,26.8730676525034,0.00643596244827815,0.572464817572315,0.00121630540297548,0.000283584460005565,7.08961150013912e-05,0.000481735857277009,0.00109649693582519,2.32970674607747e-06,1.92172885292819e-06,5.23742528928855e-07,1.02010850639068e-05
"18",17,0.306342682956403,34914.2821974539,0.69166661450696,0.291121430372913,0.000141810479237979,0.000528833402267375,0.000650880628825385,0.00241159429082508,4.03697986769509,16.327028544726,0.116366299161597,26.8716922502729,0.00638568641398063,0.116401168764674,0.000247315408974018,5.76621681802776e-05,1.44155420450694e-05,9.79529485509608e-05,0.00146909230932199,3.12135324031916e-06,2.53606541760996e-06,6.80064176559522e-07,1.15650048882027e-05
"19",18,0.148375938886017,34914.4941006216,0.692586594117225,0.288970379437893,0.000132028178107735,0.000489615853225129,0.000315251611276223,0.00233050670419465,4.0346428721196,16.3283909206341,0.120658264838148,26.8701442375179,0.00637598315747643,0.0107696510735473,2.28820783161256e-05,5.33501027555195e-06,1.33375256888799e-06,9.06278767399398e-06,0.0141851163476732,3.01388541721714e-05,4.68085182530784e-05,1.26222289253264e-05,0.000222802355936088
