"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,26533.7277043725,0.157845504949161,0.0789227524745803,0,0,0,0,1.72419552518706,8.75313791700094,0.00876189981681775,14.2615274780665,0.00909917428149262,3.25199615054152e-09,8.15518584191401e-11,5.23942173032919e-12,1.3098554325823e-12,7.89023096157511e-11,0,0,0,0,0
"2",1,1.7583674347074e-07,26533.7277043728,0.159612494142261,0.0783023506534661,7.09436572322764e-11,2.83718331592491e-10,4.40954187661649e-09,0.000739685975954046,1.72441425699027,8.75363445727592,0.010652045566612,14.259072258669,0.0070577511505591,3.19061949994403e-09,8.00126868801658e-11,5.14053534117349e-12,1.28513383529337e-12,7.74131444186108e-11,2.89996928766383e-09,7.27239128890216e-11,4.67919521099616e-12,1.17003092224798e-12,1.21991943802083e-05
"3",2,0.00259602591604674,26533.7277864633,0.161174162127285,0.0776318376969458,1.07581470234267e-06,4.28732899350025e-06,6.51017800013718e-05,0.00139119533491352,1.7242825003623,8.75417672510167,0.0126946934838023,14.255301458067,0.00689208962614052,0.00536356911832789,0.000134504780790196,8.64146182522701e-06,2.16036545630675e-06,0.000130134837690173,1.04359183331299e-11,2.6170650117018e-13,1.72348877439415e-14,4.32473123855609e-15,5.59254852228038e-12
"4",3,0.00602225040146473,26533.7282179104,0.162715556403047,0.0769503975467219,2.61408659401788e-06,1.03549782496098e-05,0.000151022845467723,0.0020601889192567,1.72408146248152,8.75473376095599,0.014769652830466,14.2514495959519,0.00688862706324774,0.00235174237652685,5.89757651763743e-05,3.7889866842736e-06,9.47246671068399e-07,5.70596939662137e-05,2.420920106493e-11,6.07105681031912e-13,4.16265903534681e-14,1.05085215221746e-14,8.28187545404879e-12
"5",4,0.00749085309611593,26533.7288627911,0.164242690752085,0.0762248370265609,3.44089822370745e-06,1.35182484021151e-05,0.000187851695652007,0.00268021972578178,1.72372896268313,8.75533360845665,0.0169777416713542,14.2476213673171,0.00690753168958252,0.00187231517638788,4.69529406285937e-05,3.01656224886928e-06,7.5414056221732e-07,4.54274805094791e-05,3.01129240171775e-11,7.55156157127138e-13,5.43428073885594e-14,1.38322705614223e-14,1.07743740153782e-11
"6",5,0.0101222854997376,26533.7296802147,0.165745541378694,0.0754083081906349,4.79753979666146e-06,1.87308640640416e-05,0.000253841381028466,0.00333024764554839,1.72308650709658,8.75601686483547,0.0194599075654514,14.2438423022664,0.00693183440088516,0.00502229757109331,0.000125946551439918,8.09162551615691e-06,2.02290637903923e-06,0.000121854657752548,4.06911749867078e-11,1.02043200170205e-12,7.52973098122864e-14,1.92859143695075e-14,1.33874597488476e-11
"7",6,0.0198249246330779,26533.7310132352,0.167251517755529,0.0746049599168228,9.18944591647529e-06,3.59502015068124e-05,0.000497159089987751,0.00415667893008524,1.72245008894153,8.75669774386316,0.0218986905412866,14.240115860943,0.00694777026045477,0.017047002354678,0.000427495808157077,2.746511079332e-05,6.86627769833e-06,0.000413606841934689,7.96953886910007e-11,1.99855927077422e-12,1.44518344237478e-13,3.69411978972414e-14,1.67096798160894e-11
"8",7,0.0336224922460541,26533.7335395556,0.168799529315443,0.0739601047349894,1.56651838382431e-05,6.1322850027717e-05,0.000843167273396756,0.00509316183683377,1.72225453809168,8.75725089464355,0.0238547140439592,14.2364316540184,0.00693915700899278,0.0156032540418099,0.000391290243158396,2.51390298469119e-05,6.28475746172797e-06,0.000378577564187799,1.35161047918366e-10,3.38949806007173e-12,2.46515356756748e-13,6.29734003034614e-14,2.0474302917419e-11
"9",8,0.0401867163324,26533.737071221,0.170366645603386,0.0733989255073256,1.95892492712801e-05,7.6334868461677e-05,0.00100778145144,0.00586143953276012,1.7222854196489,8.75773764114863,0.0255572281155124,14.2327656805462,0.00694568896999603,0.00458924105575684,0.000115086586670179,7.3939107551672e-06,1.8484776887918e-06,0.000111347523773159,1.61548961098288e-10,4.05124034388939e-12,3.06863058766911e-13,7.87479833459115e-14,2.3562747929579e-11
"10",9,0.0389114928900564,26533.7408046248,0.171932435965109,0.0728366004146962,2.04193908548975e-05,7.88896557119038e-05,0.000975802064992862,0.0064361239046691,1.72229372358028,8.75823049819664,0.0272634310106087,14.2291273077101,0.00695337901608177,0.000325907920081507,8.17294834489201e-06,5.25083351736777e-07,1.31270837934194e-07,7.9074163763123e-06,1.56422614855545e-10,3.92268451428728e-12,3.17133199344894e-13,8.20851186641746e-14,2.587295567269e-11
