"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b","in_IM","in_PIP","in_LOP","in_ROP","in_DIP","out_IM","out_PIP","out_LOP","out_ROP","out_DIP"
"1",0,0,26533.7277043725,0.157845504949161,0.0789227524745803,0,0,0,0,1.72419552518706,8.75313791700094,0.00876189981681775,14.2615274780665,0.00909917428149262,2.70999759434664e-09,6.79599021338219e-11,4.36618606777724e-12,1.09154651694431e-12,6.57519441440523e-11,0,0,0,0,0
"2",1,1.32945825118678e-07,26533.7277043728,0.159612563078221,0.078302350659652,5.36613591110181e-11,2.14600940212304e-10,3.33394586143306e-09,0.000738865433614243,1.72441432589093,8.7536344572913,0.0106520456256997,14.2590727411547,0.00705839089739545,2.6588503855154e-09,6.66772591846767e-11,4.28378074348082e-12,1.07094518587021e-12,6.45109731464353e-11,2.1196286008972e-09,5.31549373244934e-11,3.4215011283534e-12,8.55552639078319e-13,1.17801390446448e-05
"3",2,0.00192601467610368,26533.7277775669,0.161174480216731,0.0776318380076083,8.02663904034804e-07,3.19877325000137e-06,4.82995885934977e-05,0.00137122883671677,1.7242828186927,8.7541767247685,0.012694692177008,14.2553034607262,0.00689342687060065,0.00400371648665687,0.000100403107800681,6.4505485834521e-06,1.61263714586302e-06,9.7141098334721e-05,7.74250046734348e-12,1.94162376796719e-13,1.28589380394359e-14,3.22667616670573e-15,5.51228401363589e-12
"4",3,0.00495137629029651,26533.728179523,0.162716236537213,0.0769502052345965,2.16853129057029e-06,8.5954065526641e-06,0.000124168024657381,0.00202533396015727,1.72408165335294,8.75473391656211,0.0147702377345127,14.2514537462867,0.00689071654579274,0.00284790864683418,7.14183633700155e-05,4.58838010854678e-06,1.14709502713669e-06,6.90980429889092e-05,1.99043308014494e-11,4.99150396342637e-13,3.45531838758566e-14,8.7174073692186e-15,8.141759939632e-12
"5",4,0.00725232637253943,26533.7288732265,0.164243973197352,0.0762245812531106,3.34819890914327e-06,1.31835398270029e-05,0.00018187004724598,0.00266036368128845,1.72372960266684,8.75533381586518,0.0169785333014348,14.2476310594296,0.0069104348246948,0.0031401971125405,7.87482206236472e-05,5.0592978058175e-06,1.26482445145437e-06,7.6189759568719e-05,2.91540563139983e-11,7.31110174428379e-13,5.29972925638894e-14,1.3459623096561e-14,1.06945535261179e-11
"6",5,0.0106019789155456,26533.7298765051,0.165747671090736,0.0754080539103276,5.06139881936951e-06,1.98158574495236e-05,0.000265870881593544,0.00332371203306821,1.72308797480594,8.75601708545864,0.0194607281403655,14.243862597149,0.00693573627612405,0.00556452475059213,0.000139544241020865,8.96522952290463e-06,2.24130738072616e-06,0.000135010570250097,4.26195229594184e-11,1.06879010348736e-12,7.96589389828142e-14,2.03466168823059e-14,1.33611868531579e-11
"7",6,0.0194585993233048,26533.7315045511,0.167254728708734,0.0746047009238722,9.21861605582353e-06,3.60846245699188e-05,0.000487972575485577,0.0041261244769221,1.72245260884296,8.75669798670675,0.0218995854808715,14.2401511260776,0.00695260091786729,0.0154047046175109,0.000386311124552446,2.4819138887618e-05,6.20478472190449e-06,0.000373760212805798,7.82227758821223e-11,1.96162985704294e-12,1.45058719470251e-13,3.70584606680491e-14,1.65868521601893e-11
"8",7,0.0312579387752957,26533.7343841768,0.168804126660088,0.0739601988408957,1.50148777700834e-05,5.87529636026732e-05,0.000783870238300431,0.00501038983450526,1.72225929303666,8.75725088127014,0.0238546019778685,14.2364848387016,0.00694459506988299,0.0139554281943711,0.000349966928495998,2.24841513805178e-05,5.62103784512944e-06,0.000338596808003384,1.25655639377325e-10,3.15112639673936e-12,2.36184518111649e-13,6.0359196424793e-14,2.01415628429727e-11
"9",8,0.0366280426335749,26533.7382750936,0.1703727035583,0.0733990384733297,1.85825821048595e-05,7.23763285874767e-05,0.000918538893880954,0.00574455235513899,1.72229167397306,8.75773763678803,0.0255571560523101,14.232838006821,0.0069518893223326,0.00456609347644878,0.000114506103784257,7.35661675959744e-06,1.83915418989936e-06,0.000110785900270279,1.47243237929026e-10,3.69248890124428e-12,2.90949889876632e-13,7.47012223823666e-14,2.30928662414555e-11
"10",9,0.0354878519424368,26533.7423522718,0.171940157363454,0.0728366772680986,1.95827275692404e-05,7.5651849884708e-05,0.00088994578813603,0.00631536373146819,1.72230154471482,8.75823054973005,0.0272635835422066,14.2292198823509,0.00696003781195852,0.0013072100268984,3.27815292831594e-05,2.10609862496153e-06,5.26524656240382e-07,3.17164859675424e-05,1.42659717840354e-10,3.57754578199415e-12,3.04117351936636e-13,7.87217663696253e-14,2.53875047002519e-11
"11",10,0.0322075905176391,26533.7462043179,0.173512852046477,0.0722980565270987,1.96085312283064e-05,7.50559461648258e-05,0.000807685107954006,0.00680351201439822,1.72236475573887,8.75870766314939,0.0288984533148335,14.2256111997179,0.00696902133244418,2.64930427237094e-09,6.64378667525913e-11,4.26840061683432e-12,1.06710015420858e-12,6.42793583658256e-11,0.000159814218434485,4.00773737477038e-06,3.72427964414884e-07,9.72976258867843e-08,3.37590592067172e-05
"12",11,0.0285040345628201,26533.7497065128,0.175074178942887,0.0717245683408527,1.9288083711355e-05,7.30577244631293e-05,0.000714809268963709,0.00723824367606947,1.7222994826789,8.75922113461117,0.0306394664094584,14.222022019684,0.00698885958548075,2.59490407904644e-09,6.50736471598854e-11,4.18075427844889e-12,1.04518856961222e-12,6.2959461078699e-11,0.000240273726589146,6.025458833761e-06,6.15837441334563e-07,1.62588202799041e-07,6.10145128113913e-05
"13",12,0.0250247395990676,26533.7528609848,0.176622075357242,0.0711058495862312,1.88638458696621e-05,7.06343566920935e-05,0.000627557329801628,0.00762345012308746,1.72206997339099,8.75978140492835,0.0325174873335308,14.218466436041,0.00701087227071323,2.53932384053923e-09,6.36798350113416e-11,4.09120672183106e-12,1.02280168045776e-12,6.16109326720822e-11,0.000403307439370947,1.01139330037302e-05,1.13836795049662e-06,3.04016325295353e-07,0.000122862183486181
"14",13,0.0219311039345941,26533.7556715676,0.178157883110616,0.0704484980515902,1.84500207840298e-05,6.82338590526277e-05,0.000549976752817387,0.00800164249201247,1.7216914377568,8.76038388843532,0.0345118961372379,14.2149452813168,0.00703569199998896,2.50904749693193e-09,6.29205807032145e-11,4.04242728751821e-12,1.01060682187955e-12,6.08763458746969e-11,0.000174854432428779,4.38490799413043e-06,5.44021529087398e-07,1.4710011507455e-07,6.37962712963056e-05
"15",14,0.0213706295972883,26533.7582463291,0.179687545552386,0.0697717253930129,1.90310388822698e-05,6.97560854252824e-05,0.000535921470557622,0.00848646123764693,1.72122185574026,8.76101204171903,0.0365638125713904,14.2114626216161,0.00705488826310745,0.00419899651414864,0.000105300238183643,6.76517208611807e-06,1.69129302152952e-06,0.000101879125219643,8.59090596231373e-11,2.15438246018247e-12,2.80416619201413e-13,7.65040003423491e-14,3.41152281515826e-11
"16",15,0.0208386160463986,26533.7608739428,0.181212881488501,0.0690853488591509,1.9670549291734e-05,7.14352202810377e-05,0.000522579913012423,0.00899312860193039,1.72068932895496,8.76165751740759,0.0386432850845675,14.2080184703174,0.00707811313449991,2.44919448540065e-09,6.14196181877621e-11,3.94599569451328e-12,9.86498923628319e-13,5.94241483232054e-11,7.57325826852522e-06,1.89918209461443e-07,2.59612908771255e-08,7.14875449206246e-09,3.26832095724756e-06
"17",16,0.0183212018295999,26533.7633124253,0.182753664549653,0.0684484272768111,1.93830351673e-05,6.95102661131506e-05,0.000459449516084827,0.00939975649341214,1.72029243520046,8.76226430932518,0.0405715382036309,14.2045976899344,0.00707460603583323,2.40996465712186e-09,6.04358330744044e-11,3.88279094111073e-12,9.70697735277683e-13,5.84723255307612e-11,0.000146992852386161,3.68620986357121e-06,5.57687884295101e-07,1.55512048480332e-07,7.54151955506382e-05
"18",17,0.0160704271835386,26533.7654821344,0.184324316261916,0.0679165240088304,1.90874222117773e-05,6.77232656692902e-05,0.000403005766839178,0.00978392338974416,1.7202227979158,8.76277730693886,0.0421818179727787,14.2011496466309,0.00705791711254183,2.38077222981366e-09,5.97037606522545e-11,3.83575784792144e-12,9.5893946198036e-13,5.77640375035681e-11,1.96625715118749e-05,4.93087683337393e-07,8.28611174446023e-08,2.33539407465695e-08,1.19708761391612e-05
"19",18,0.0140165735975649,26533.7674194333,0.185907618357094,0.0674372405678733,1.87312058511165e-05,6.58147555638501e-05,0.000351500300933542,0.0101175428112102,1.72030957691939,8.76324485658061,0.0436336305678453,14.197679806721,0.00705496648319699,2.31968118005818e-09,5.81717512618048e-11,3.73733160176362e-12,9.34332900440905e-13,5.6281801762989e-11,0.00020601243721468,5.16627214011799e-06,9.67330432364212e-07,2.75307038663772e-07,0.000148705362166642
"20",19,0.012132171341859,26533.7691425472,0.187485673674745,0.0669504465124458,1.82961011312046e-05,6.3644210843027e-05,0.000304244246852285,0.0103941337679925,1.72034902515637,8.76372507035075,0.0451092008363227,14.194219421142,0.00707111481371787,2.26576105206495e-09,5.68195704963653e-11,3.65045871593231e-12,9.12614678983077e-13,5.49735521721233e-11,0.000120199983823161,3.01431232047953e-06,6.3055762222671e-07,1.81269370340159e-07,0.000102980305467481
"21",20,0.0105411050332695,26533.7706679942,0.189070488941415,0.0664835761231346,1.79850893513167e-05,6.19553871611668e-05,0.000264344318215547,0.0107262259401173,1.72044024478615,8.7641907801124,0.0465252689226569,14.1907783472641,0.00706901557589529,2.22432984571046e-09,5.57805803751153e-11,3.58370723381529e-12,8.95926808453823e-13,5.39683179343793e-11,1.51393598748072e-05,3.79656947890635e-07,8.89816484567354e-08,2.58305689214532e-08,1.54052344695744e-05
"22",21,0.00910030727799938,26533.7720230891,0.19066822611915,0.0660629269347659,1.76172704763882e-05,6.01510283279519e-05,0.000228212745756939,0.0110044755358861,1.72067631013596,8.76461501345504,0.0478025101218945,14.1873246349938,0.0070674226816901,2.16213256021518e-09,5.42208293834294e-11,3.48349868678575e-12,8.70874671696436e-13,5.24592418930098e-11,0.000152962631248485,3.83591685522701e-06,1.01104932880556e-06,2.96120116075577e-07,0.000184968867759899
"23",22,0.00780430142637078,26533.7732185613,0.192248540282321,0.0656003911507365,1.72024756517058e-05,5.81556818665259e-05,0.00019571218892055,0.0112413098407295,1.7207413726267,8.76508667709298,0.0492083822097753,14.1838943967669,0.00710108565034587,2.10726543724951e-09,5.28449003734223e-11,3.39510005928458e-12,8.48775014821145e-13,5.11280156173448e-11,5.12274611235115e-05,1.28465547415268e-06,3.81734093696347e-07,1.1291710872394e-07,7.37879960527242e-05
"24",23,0.00669229591602551,26533.7742453197,0.193803673940269,0.0650633090516084,1.6793475411526e-05,5.61148534297647e-05,0.000167825896396532,0.0114745525035225,1.72051381905184,8.76564095056643,0.0508414075064541,14.1805359386485,0.00713864797351595,2.15888719379517e-09,5.41394437819246e-11,3.47826994648079e-12,8.69567486620198e-13,5.23805004387663e-11,0.000115015735188318,2.88430444497578e-06,9.64406117600687e-07,2.88617530524669e-07,0.000197204981475683
"25",24,0.020963920112991,26533.7757758026,0.195356192189496,0.0645182882174392,2.28237781751751e-05,7.96966270371854e-05,0.000525722222850761,0.0121394902450186,1.72023191857883,8.76621062726273,0.052498743584996,14.1772356441555,0.00714894477900675,0.0317556209870069,0.000796350852479644,5.1162757567138e-05,1.27906893917845e-05,0.000770478107343403,8.42741040792808e-11,2.11338190026115e-12,3.20377191169383e-13,9.17506576561121e-14,4.88002558139947e-11
"26",25,0.0522025123398491,26533.7804094977,0.196923670021337,0.06402001557072,3.69504248972304e-05,0.000135153830266732,0.00130910729852921,0.0133790514281015,1.72009889123534,8.76673823834157,0.0540147934841182,14.1740154513318,0.00713895236338666,0.0400100083914803,0.00100335006212946,6.44617329457994e-05,1.61154332364499e-05,0.000970752093082182,2.09851971120716e-10,5.26255796304197e-12,5.43312886961147e-13,1.48539201484229e-13,5.37832412285896e-11
"27",26,0.0682952216182879,26533.7882804592,0.198520514827447,0.0636089334676232,4.61512782039602e-05,0.000170637326826349,0.00171267184408904,0.0143072712786011,1.72027479423416,8.76717889641492,0.0552672995831077,14.170844904765,0.00710883353505984,0.00791840043480631,0.000198573504171538,1.27576532649535e-05,3.18941331623838e-06,0.000192122024088051,2.74544006262003e-10,6.88487098140448e-12,6.85955096340153e-13,1.85526256625173e-13,5.75146471807133e-11
"28",27,0.0638619032633179,26533.796636087,0.200124683360971,0.0632332166722654,4.72194504756099e-05,0.000173577903563695,0.00160149540534963,0.0147231418281611,1.72056477558518,8.76758626469685,0.0564141592535804,14.1676550177875,0.00711078204596013,2.40152022599318e-09,6.02240680476464e-11,3.86918577864813e-12,9.67296444662033e-13,5.82674405651585e-11,7.80562433901917e-05,1.95745364231961e-06,2.12158397971039e-07,5.77147364975639e-08,1.79955980527027e-05
"29",28,0.0558508200051268,26533.8042842775,0.201707716488077,0.0628082416758979,4.64217396719928e-05,0.000168964778740952,0.00140059764981349,0.0149519194851409,1.72064325465671,8.76805225634098,0.0577129556505754,14.1644897368688,0.00714962275004763,2.33491557090579e-09,5.85537913467229e-11,3.76187634128984e-12,9.40469085322459e-13,5.66514296985157e-11,0.000630759802261162,1.58178643852089e-05,1.90822964493558e-06,5.24271037263866e-07,0.000168861796066854
"30",29,0.0487252258020823,26533.8110901173,0.203285355228948,0.062363689465869,4.5635834435149e-05,0.000164369065060841,0.00122190572562343,0.0151771679092624,1.72062679884572,8.76854554189825,0.0590727545323512,14.1613644574191,0.00716453477962747,2.30674606076038e-09,5.78473711061171e-11,3.71649131106340e-12,9.29122827765851e-13,5.59679604358455e-11,3.45254097303642e-05,8.65810165772983e-07,1.16467583778337e-07,3.23363484996564e-08,1.07541408374843e-05
"31",30,0.0441830556906809,26533.8171987414,0.204879345866371,0.0619628031953417,4.57450777398384e-05,0.000163455359106645,0.00110799955947407,0.0155124077841856,1.72076474123265,8.76899580726972,0.0603005563266568,14.1582224104047,0.00715223349394074,0.0031671687817896,7.94246020368185e-05,5.10275294642198e-06,1.27568823660549e-06,7.68441659392776e-05,1.77614082373349e-10,4.45411305193115e-12,6.57083878941776e-13,1.83893347321667e-13,6.23592467953832e-11
"32",31,0.039684893806026,26533.8229149585,0.20648105990051,0.0615904869064855,4.54536446550812e-05,0.000161226575685657,0.000995197008615375,0.0156981850593665,1.72099747097988,8.76941892624545,0.0614428158580318,14.1550572289532,0.00715155219534801,2.20468432867844e-09,5.5287920375103e-11,3.55205555156347e-12,8.88013887890867e-13,5.34916640283888e-11,0.000707008852358237,1.77299981794248e-05,2.87234273077118e-06,8.09782414945213e-07,0.000279672054993496
"33",32,0.0340359314351784,26533.8280229929,0.208072455848672,0.0612000690053968,4.42686264350056e-05,0.000155522941826125,0.000853535285121114,0.0157452435455646,1.72113551715905,8.76986781539071,0.0626424571742532,14.1519001233684,0.00717619477922075,2.1542071307579e-09,5.4022079609109e-11,3.47072970878011e-12,8.67682427195029e-13,5.22669493256365e-11,0.000385461856795253,9.66641081850932e-06,1.76131985824245e-06,5.01348610832375e-07,0.000178317165326461
