site,plot,site.plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simdays,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,sim_IM_deposition,sim_litterP_t365,sim_shootM_t49,sim_shootM_t92,sim_shootM_t458,sim_init_TP,sim_final_TP,sim_in_TP,sim_out_TP,sim_in_DIP,sim_out_DIP,sim_delta_TP,sim_delta_TP_yr,sim_TP_retention,sim_TP_retention_efficiency,sim_TP_retention_eff2,sim_TP_check,parsheet,sim_in_IM,sim_out_IM,IO_Hx,scenario,obs_IM_a_minus_ash,Csource,Cx,Hx,CxHx,assumptions,HRTx,sim_delta_DIP,sim_DIP_efficiency,DIP_change
Prindle Rd,0,LC.0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.00214853237446707,150.725081711143,93.711297504515,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.00165864220183486,0.00132735637724728,0.00104724113038905,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,365,2,100,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,0.7772025677986676,0.158654961117986,224.6054873663054,289.95910718689976,405.2320445363544,24.99349025177655,24.99398210029029,0.2860872636806959,0.2915443342607527,0.13514585637659104,0.25215603568729733,4.918485137395123e-4,2.4592425686975616e-4,-0.00545707058005678,-1.9074846289373668,-1.9074846289373728,0.0059489190937963,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,26.9191901942924,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,-0.05850508965535314,-86.58066362364175,-86.58066362364175
Prindle Rd,2,LC.2,5.842424242424242,0.0235,1,0.7930998839402292,0.001,0.8986323989222718,0.00214853237446707,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.00134371428571426,0.00102681434599156,0.00118526431585291,0.00121508035083845,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,365,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,0,0.231882757027462,405.6582648799921,427.8229177516667,259.06836645533434,26.80984713440076,26.848389234467877,0.11188961440232374,0.07765548047360805,0.04739293204582841,0.05640889088316431,0.03854210006711511,0.01927105003355755,0.03423413392871569,30.59634632899826,30.59634632899826,0.00430796613839942,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,0,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,-0.00450797941866795,-19.02384690741981,-19.02384690741981
Prindle Rd,4,LC.4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.00214853237446707,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.00128273942390656,15.484999999999973,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,2.1403913473986904,0.185662849115804,299.099970170533,318.5643333849466,211.17219066294933,25.494684440958466,25.53351390115774,0.08779786281476062,0.0533672278934055,0.03935339503484975,0.04179328574329679,0.03882946019927402,0.01941473009963701,0.03443063492135512,39.215800723985986,39.215800723985986,0.0043988252779189,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,0,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,-0.001219945354223522,-6.199949728063811,-6.199949728063811
Union St,0,OCD.0,10.757390983000812,0.1297833333333333,0.2333333333333333,0.4610840230162072,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.00143808272341889,0.00137088800208802,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,365,2,100,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,27.074067419798663,0.265431495996724,383.5872030310541,415.8142542370337,306.9277553114696,33.17004239124319,33.749684063198835,1.3812409211885817,0.8144514034768475,0.6231154243663412,0.5397486943914447,0.5796416719556419,0.28982083597782093,0.5667895177117341,41.0348049364192,41.0348049364192,0.01285215424390773,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,180.2740347148414,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,0.041683364987448235,13.379018832614166,13.379018832614166
Union St,2,OCD.2,4.604111288321896,0.13498333333333332,0.4920634920634894,0.39728587189900305,0.001,0.6226967541715571,8.99848780395894e-4,333.211767392559,122.46737593604402,2007.93175659104,1432.08641928521,1140.97736625514,0.00206538818181819,0.002592825,0.00232910659090909,0.00203713779778124,6.255000000000025,83.74499999999998,10,0.1,0.9374499999999998,5.196789836398223,0.1206313090294518,0.18659215532097315,506,48.6019210245445,457.398078975455,0.715412500125398,0.316935833078845,0.398476667046552,365,2,100,77.66302273,5.8,-3.6,0.366082729999988,0.0188066666666666,0.06557,TRUE,TRUE,FALSE,338.027632043759,0.244286583772041,55.6375603928744,0.040208279647465,369.333333333333,453.333333333333,624.040742995328,Union St,UnSt,Un,Un2,4.5292758267969475,0.352541619961329,354.77583014461027,378.9015669019087,259.4233584498158,48.338224001445894,48.56288650336909,0.7168363842025065,0.5319107008626612,0.33769205471628516,0.346031718073795,0.22466250192319848,0.11233125096159924,0.18492568333984527,25.797474488628033,25.797474488628037,0.0397368185833532,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,2.862113126998999,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,-0.004169831678754926,-2.4696060333775076,-2.4696060333775076
Union St,4,OCD.4,16.122527472527473,0.13761666666666666,0.29381778037534895,0.433053131603816,0.001,0.6226967541715571,8.99848780395894e-4,369.424229098895,153.56065391367002,1387.69426822105,444.640026548937,540.718918918918,0.00125820192307689,0.0015570414507772,0.00140762168692705,0.00121419321114496,15.989999999999965,75.26000000000003,8.75,0.0875,0.8401000000000003,5.001352208575525,0.09233054552352692,0.17654644294310856,243.074074074074,23.4000582114528,219.674015862621,0.22410797496054,0.0781563808908914,0.145951594069649,365,2,100,77.82101905,5.8,-3.6,0.5240790499999974,0.0229639166666666,0.0601306666666666,TRUE,TRUE,FALSE,405.506307033635,0.183777432466555,96.5661467624383,0.0437642478239369,809.333333333333,488,802.634036628523,Union St,UnSt,Un,Un4,13.69889993740071,0.219124719627287,385.9007991070067,406.0103588503488,244.68145144545707,32.70074521355189,32.9293855239147,0.6119066228030823,0.40848380438203896,0.2632000364951918,0.23895753618669344,0.2286403103628132,0.1143201551814066,0.20342281842104332,33.24409490604693,33.24409490604694,0.02521749194176986,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,1.4326566251907025,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,0.012121250154249183,9.21067513185593,9.21067513185593
Swamp Rd,0,OCSP.0,7.072297790285597,0.10941041666666666,0.4261835485239737,0.4401020059390625,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.00211480073659261,0.00161830529161459,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.446903926702793,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,365,2,100,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,17.98974442420149,0.337466642342552,381.1322252742323,449.74572969885617,448.364636294543,33.00877684687167,33.37999003162973,1.407115810083791,1.0879830670159711,0.642265729919472,0.7415396020732886,0.3712131847580622,0.1856065923790311,0.3191327430678199,22.67992021558028,22.679920215580275,0.05208044169024228,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,32.283647597743496,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,-0.04963693607690833,-15.456822235597679,-15.456822235597679
Swamp Rd,2,OCSP.2,7.440721649484536,0.28875,0,0.6701377011670392,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.00337158064516128,0.00229827891747115,0.00149551557425682,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,365,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,28.751507247401605,0.272089396549992,305.67111839937513,377.10067193863574,455.60216873248567,44.58459211189371,46.25960830255873,4.4921237917653825,2.996995071997693,2.212881115264571,1.9876405624214055,1.6750161906650192,0.8375080953325096,1.4951287197676892,33.28333743848388,33.28333743848388,0.17988747089732993,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,105.98114630467418,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,0.11262027642158279,10.178610648780195,10.178610648780195
Swamp Rd,4,OCSP.4,7.208077814765488,0.1510359375,0.20122928020148328,0.5443637339770545,0.001,1.4192113250241647,9.383718100787632e-4,184.218894527124,47.05377199815902,505.249639402518,277.930990779603,1086.76239669421,0.00112845598006643,0.0042594693877551,0.00269396268391076,0.00154117320708231,24.085000000000036,68.41499999999996,7.5,0.075,0.7591499999999997,3.775993712508853,0.13297581035271647,0.1731102200487646,278.814814814814,46.0126609910497,232.802153823765,0.398397047695111,0.126733907565323,0.271663140129787,365,2,100,76.17881,1.1,-2.3,1.0803397899999965,0.022903,0.145474909090909,TRUE,TRUE,FALSE,222.745139812483,0.142453723309971,36.4643245796891,0.0233202789911956,29.3333333333333,305.333333333333,337.773333333333,Swamp Rd,SwRd,Sw,Sw4,3.5552666903022327,0.229686187412015,239.0533551084302,288.4548764028659,340.63905267982494,36.26090854605418,36.41938159745743,0.1661122250639321,0.00972258043275893,0.07916795856116435,0.00792538744898444,0.15847305140324863,0.07923652570162432,0.1563896446311732,94.14698079625568,94.14698079625568,0.00208340677207544,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,22.7324456086732,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,100d,0.035621285556089954,89.9891476387365,89.9891476387365
Prindle Rd,0,LC.0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.00214853237446707,150.725081711143,93.711297504515,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.00165864220183486,0.00132735637724728,0.00104724113038905,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,NA,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,2.2146301577995473,0.15846030345768,224.6038796307074,289.46131856279527,405.9571839529116,24.99349025177655,25.0858085595736,0.9611259684321808,0.8728338303615543,0.4540299711997004,0.6247931226129979,0.09231830779705064,0.04615915389852532,0.08829213807062652,9.186323226148126,9.18632322614813,0.00402616972642411,pars_lcbp_siphon_10d,0.9611259684321808,0.8728338303615543,NA,siphon_10d,26.9191901942924,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,-0.08538157570664875,-37.610546053178744,-37.610546053178744
