X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simdays,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
1,0,0,42549.0925337708,0.361252058524421,0.180626029262211,0,0,0,0,1.56885775595201,9.84488894534095,0.00985474368902998,13.5252620473337,0.00394286085614658,0.00155655392598816,2.40477212457301e-5,2.89409811248446e-6,7.23524528121116e-7,2.24736746346382e-5,0,0,0,0,0,2019-07-15,1,LC.4,1,1,100,83.99556818,84.08989191087393,0.11318847704870905,0.11318947704870905,19.38888888888889,-0.0127512786554803,-0.0127512786554803,1.8328639999999998,0,21.11111111111111,19.38888888888889,1,0.6995465321136183,FALSE,0,0,0.006995465321136183,-0.003162419214039116,0.0011318947704870904,0.004294313984526206,0.0011318947704870904,0,0,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.494684440958466,5.0139018520973874e-5,0
2,1,9.9942080365404e-4,42549.0929557426,0.361747081982801,0.179204312533825,6.34777340432029e-7,2.52649176878308e-6,1.54403856443318e-5,1.33694740465328e-4,1.56815912336111,9.84555504809008,0.012409036296648,13.524336020424,0.00316196409834049,0.00138120177930772,2.13386473917455e-5,2.5680661592993e-6,6.42016539824824e-7,1.99419235496382e-5,1.15156310993914e-4,1.77908829256282e-6,2.91110081745166e-7,7.31409798149289e-8,1.54047154661845e-5,2019-07-16,1,LC.4,1,1,100,83.99556818,84.0792658453277,0.10043719839322875,0.10043819839322875,20.27777777777778,0.006814203901785734,0.006814203901785734,3.57632,0.4318,22.22222222222222,20.27777777777778,1,0.6137036886829951,FALSE,0,0.004318,0.006137036886829951,-0.010932241768650347,0.0010043819839322876,0.011936623752582635,0.0010043819839322876,0,-1.734723475976807e-18,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.494724883182023,4.4490653640507825e-5,1.7548054820307418e-5
3,2,0.00364149514637207,42549.0944008538,0.362134708157042,0.177664203945543,2.43432138756499e-6,9.67050870895292e-6,5.62586742004727e-5,2.76012077946898e-4,1.56724118976526,9.84628102614113,0.0151636326133321,13.5229144224177,0.00310340607066619,0.00699280882165833,0.00010803423797936599,1.30017177521674e-5,3.25042943804184e-6,1.00962843378786e-4,3.64149514637207e-5,5.62586742004727e-7,9.67050870895292e-8,2.43432138756499e-8,2.76012077946898e-6,2019-07-17,1,LC.4,1,1,100,83.99556818,84.08494434857919,0.10725140229501448,0.10725240229501448,22.055555555555557,-0.0024862864102203758,-0.0024862864102203758,3.442208,0.8636,24.444444444444443,22.055555555555557,2,0.6301257724731723,FALSE,0,0.008636,0.006301257724731723,0.004479461626517457,0.0010725240229501449,0.0010725240229501449,0.005551985649467602,8.673617379884035e-19,8.673617379884035e-19,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.49484696469292,2.2524922854836124e-4,3.443755822438886e-6
4,3,0.0060940014533836,42549.0980750493,0.362507471952644,0.176095511114806,5.03720164805148e-6,1.99237284210219e-5,9.41482628872039e-5,4.46292330388954e-4,1.56627059565142,9.84702531018909,0.0179560194822724,13.5215083570742,0.00311268028237833,0.00536568904550123,8.28963213565288e-5,9.97641667242936e-6,2.49410416810734e-6,7.74703322422216e-5,6.0940014533836e-5,9.41482628872039e-7,1.99237284210219e-7,5.03720164805148e-8,4.46292330388954e-6,2019-07-18,1,LC.4,1,1,100,83.99556818,84.08287244323733,0.1047651158847941,0.1047661158847941,21.166666666666668,-0.0063533451058390145,-0.0063533451058390145,2.01168,0,23.333333333333332,21.166666666666668,2,0.44503762623713766,FALSE,0,0,0.004450376262371377,0.0019640898521510013,0.001047661158847941,0.001047661158847941,0.0030117510109989422,0,0,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.49504134727016,1.7283717443928708e-4,5.654015233452313e-6
5,4,0.00674950330997734,42549.1028793031,0.362851755058399,0.17442154239295,7.15860385063167e-6,2.81432512102065e-5,1.04275329903798e-4,5.98392608589535e-4,1.56516592117553,9.84782501417529,0.0209206074388744,13.5201491788429,0.00314078071762603,0.00568115021064969,8.77699862111064e-5,1.05629530894306e-5,2.64073827235765e-6,8.2024990752308e-5,6.74950330997734e-5,1.04275329903798e-6,2.81432512102065e-7,7.15860385063167e-8,5.98392608589535e-6,2019-07-19,1,LC.4,1,1,100,83.99556818,84.07757798898247,0.09841177077895509,0.09841277077895509,24.27777777777778,-0.0027170970835527497,-0.0027170970835527497,3.889248,0,27.22222222222222,24.27777777777778,2,0.7917034244952605,FALSE,0,0,0.007917034244952605,0.0015636891391135905,9.84127707789551e-4,9.84127707789551e-4,0.0025478168469031414,0,0,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.495212769595124,1.8299866832520266e-4,7.379697935541711e-6
6,5,0.00828432951867469,42549.1086052703,0.363141745965242,0.172533214333059,9.9264019918802e-6,3.88105092486104e-5,1.27987372391477e-4,7.68271997321359e-4,1.56380196555201,9.84873390604261,0.0242451764191339,13.5188638203494,0.00317584299835586,0.00898498264060136,1.3881199637959e-4,1.67057632033931e-5,4.17644080084827e-6,1.29726039741641e-4,8.28432951867469e-5,1.27987372391477e-6,3.88105092486104e-7,9.9264019918801993e-08,7.68271997321359e-6,2019-07-20,1,LC.4,1,1,100,83.99556818,84.07531374141284,0.09569467369540234,0.09569567369540234,25.166666666666668,0.008229533235009967,0.008229533235009967,2.6375360000000003,0,28.333333333333332,25.166666666666668,2,0.6911540761035173,FALSE,0,0,0.006911540761035173,0.004194443677482423,9.569567369540234e-4,9.569567369540234e-4,0.0051514004144364465,0,0,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.495440667940763,2.894202401254723e-4,9.449962809533266e-6
7,6,0.0155626210045442,42549.1170390128,0.363438735739473,0.170671034546182,1.63465397635644e-5,6.38992631944396e-5,2.40432127356357e-4,0.00105055223320594,1.56244723250395,9.84963753888618,0.0275033642583596,13.5176716135919,0.00319834351229478,0.0226598435564815,3.50079487912496e-4,4.21314092439e-5,1.0532852310975e-5,3.27164991111296e-4,1.55626210045442e-4,2.40432127356357e-6,6.38992631944396e-7,1.63465397635644e-7,1.05055223320594e-5,2019-07-21,1,LC.4,1,1,100,83.99556818,84.08217168577535,0.10392420693041231,0.10392520693041231,24.27777777777778,0.008257234501638774,0.008257234501638774,2.8163519999999997,0.1778,27.22222222222222,24.27777777777778,2,0.778552099787846,FALSE,0,0.001778,0.00778552099787846,0.014237054232888426,0.001039252069304123,0.001039252069304123,0.015276306302192549,0,3.469446951953614e-18,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.49593909320186,7.29908740578667e-4,1.3712301635203011e-5
8,7,0.0232059985261627,42549.1309143646,0.363829843310333,0.169173508906616,2.50038737189188e-5,9.77579629514947e-5,3.5851721836859e-4,0.00140217290350947,1.56149471781716,9.85037007600673,0.0301103720935258,13.5165749126698,0.00318537636075583,0.0207760086724577,3.20975493885931e-4,3.86287981932584e-5,9.6571995483146e-6,2.99966002665036e-4,2.32059985261627e-4,3.5851721836859e-6,9.77579629514947e-7,2.50038737189188e-7,1.40217290350947e-5,2019-07-22,1,LC.4,1,1,100,83.99556818,84.08905271452672,0.11218144143205108,0.11218244143205108,18.944444444444443,1.1598955317708437e-4,1.1598955317708437e-4,1.34112,0.025400000000000002,20.555555555555554,18.944444444444443,2,0.5028051876319839,FALSE,0,2.5400000000000005e-4,0.005028051876319839,0.013031286377958612,0.0011218244143205108,0.0011218244143205108,0.014153110792279123,0,0,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.496622259123466,6.692274942925399e-4,1.8834519585484734e-5
9,8,0.0215657774944299,42549.1466275265,0.364265995163347,0.167866399472846,2.9781450841248e-5,1.15968287379477e-4,3.33176896074613e-4,0.00163156924808585,1.5607465034411,9.85101404098353,0.0323769311889911,13.5154890906252,0.00319332661555442,0.00783726580106897,1.21080535769522e-4,1.45718152022992e-5,3.64295380057479e-6,1.13155194110339e-4,2.15657774944299e-4,3.33176896074613e-6,1.15968287379477e-6,2.9781450841248e-7,1.63156924808585e-5,2019-07-23,1,LC.4,1,1,100,83.99556818,84.0891493724877,0.11229743098522817,0.11229843098522817,20.722222222222225,-0.00491729676631962,-0.00491729676631962,1.430528,0.012700000000000001,22.77777777777778,20.722222222222225,2,0.3843780484314961,FALSE,0,1.2700000000000002e-4,0.0038437804843149607,0.003832770037492045,0.0011229843098522817,0.0011229843098522817,0.004955754347344327,0,-4.336808689942018e-19,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.49706278337295,2.52450498882735e-4,2.1104958823811878e-5
10,9,0.014540175464539,42549.1590307081,0.364700043694368,0.166553391911109,3.02996436852365e-5,1.17112196368354e-4,2.2463602487351e-4,0.00172540253075124,1.55997973520919,9.85166496146307,0.034643883514094,13.5143776549145,0.00320357872742638,0.00327826630573248,5.06470305803743e-5,6.09527506194086e-6,1.52381876548522e-6,4.73319228397164e-5,1.4540175464539e-4,2.2463602487351e-6,1.17112196368354e-6,3.02996436852365e-7,1.72540253075124e-5,2019-07-24,1,LC.4,1,1,100,83.99556818,84.08505162518243,0.10738013421890855,0.10738113421890855,19.38888888888889,-0.009322833997316593,-0.009322833997316593,1.8775680000000001,0,21.11111111111111,19.38888888888889,2,0.5189480908069838,FALSE,0,0,0.005189480908069838,2.7218414175021743e-4,0.0010738113421890855,0.0010738113421890855,0.001345995483939303,0,0,LC,4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,df.hydroclimate.1m.LC.4x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_100d_LC.4_2023-08-23.csv,25.497220699829434,1.0559804724751677e-4,2.0974503956783408e-5
