X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
1,0,0,26533.7277043725,0.157845504949161,0.0789227524745803,0,0,0,0,1.72419552518706,8.75313791700094,0.00876189981681775,14.2615274780665,0.00909917428149262,0.0129942672293999,0.00113241225035389,1.11130768105215e-4,2.77826920263037e-5,0.00113828541117926,0,0,0,0,0,2019-07-15,1,LC.0,1,1,100,83.52687857,84.08989191087393,0.6756160090487242,0.6756170090487242,19.38888888888889,-0.012751278655480314,-0.012751278655480314,1.8328639999999998,0,21.11111111111111,19.38888888888889,1,0.6995465321136183,FALSE,0,0,0.006995465321136183,-0.003162419214039116,0.006756170090487242,0.009918589304526357,0.006756170090487242,-8.673617379884035e-19,0,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,24.99349025177655,0.0024096111216646687,0
2,1,0.011524299632623,26533.728383576,0.159613095374272,0.078302341740218,2.59153772320577e-5,1.03153987490158e-4,0.00100430888870783,0.00175793305718493,1.72441483537281,8.75363459205076,0.0106525797006238,14.2591356427585,0.00706357778362991,0.0127490195948715,0.00111103963881625,1.0903333871424e-4,2.725833467856e-5,0.00111680195239074,0.00133616818088442,1.16443135257614e-4,1.19600392396537e-5,3.00472076889332e-6,2.03820994768837e-4,2019-07-16,1,LC.0,1,1,100,83.52687857,84.0792658453277,0.6628647303932439,0.6628657303932439,20.27777777777778,0.006814203901785776,0.006814203901785776,3.57632,0.4318,22.22222222222222,20.27777777777778,1,0.6137036886829951,FALSE,0,0.004318,0.006137036886829951,-0.010932241768650361,0.00662865730393244,0.0175608990725828,0.00662865730393244,-1.734723475976807e-18,-3.469446951953614e-18,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,24.99570797609143,0.00236413326459979,3.3522889003499804e-4
3,2,0.0211107404884761,26533.7302402971,0.161177118155285,0.0776318362516927,4.9721888885096e-5,1.96879136293346e-4,0.00183973907271233,0.00321471979102534,1.72428544744202,8.75417721647202,0.0126966306999388,14.255540857215,0.00690513967791373,0.0136518122745149,0.00118971537111495,1.16754285356121e-4,2.91885713390302e-5,0.00119588572975315,0.00211107404884761,1.83973907271232e-4,1.96879136293346e-5,4.9721888885096e-6,3.21471979102534e-4,2019-07-17,1,LC.0,1,1,100,83.52687857,84.08494434857919,0.6696789342950297,0.6696799342950297,22.055555555555557,-0.0024862864102204174,-0.0024862864102204174,3.442208,0.8636,24.444444444444443,22.055555555555557,2,0.6301257724731723,FALSE,0,0.008636,0.006301257724731723,0.004479461626517499,0.006696799342950297,0.006696799342950297,0.011176260969467796,0,-8.673617379884035e-19,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,24.997715305802785,0.0025315439575632516,5.301059888916102e-4
4,3,0.0292320193914449,26533.7331022993,0.162722357371145,0.0769496138500879,7.19296494161328e-5,2.83364607347558e-4,0.00254748469283124,0.00454513750769859,1.7240862173848,8.75473547329288,0.0147762062209077,14.2519554693828,0.00690807508980667,0.0133812059151354,0.0011661328211354,1.14439980744626e-4,2.86099951861564e-5,0.00117218087086298,0.00292320193914449,2.54748469283124e-4,2.83364607347558e-5,7.19296494161328e-6,4.54513750769859e-4,2019-07-18,1,LC.0,1,1,100,83.52687857,84.08287244323733,0.6671926478848093,0.6671936478848093,21.166666666666668,-0.00635334510583907,-0.00635334510583907,2.01168,0,23.333333333333332,21.166666666666668,2,0.44503762623713766,FALSE,0,0,0.004450376262371377,0.0019640898521509596,0.006671936478848093,0.006671936478848093,0.008636026330999053,0,0,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,24.99958132904972,0.002481363667929162,7.44791645729352e-4
5,4,0.0356253877482728,26533.7368032404,0.164255265228969,0.0762248109663763,9.14913635895258e-5,3.58366949768344e-4,0.00310464798033978,0.0057177028965226,1.72374145070955,8.75533546458739,0.0169849749112416,14.2484716005965,0.00693271709821618,0.0133153508100355,0.00116039374201328,1.13876768653925e-4,2.84691921634811e-5,0.00116641202649004,0.00356253877482728,3.10464798033978e-4,3.58366949768344e-5,9.14913635895258e-6,5.7177028965226e-4,2019-07-19,1,LC.0,1,1,100,83.52687857,84.07757798898247,0.6608393027789702,0.6608403027789702,24.27777777777778,-0.002717097083552722,-0.002717097083552722,3.889248,0,27.22222222222222,24.27777777777778,2,0.7917034244952605,FALSE,0,0,0.007917034244952605,0.001563689139113535,0.0066084030277897025,0.0066084030277897025,0.008172092166903237,8.673617379884035e-19,8.673617379884035e-19,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,25.001218493288462,0.002469151729320726,9.27220919022025e-4
6,5,0.0409246410775439,26533.7411916804,0.165764949709176,0.0754078233466532,1.09372484608583e-4,4.25547575791488e-4,0.00356646235446763,0.00678178427412446,1.72310457694509,8.75602006819887,0.0194721782722984,14.2451017635912,0.00696226658097459,0.0137303924689258,0.00119656340442189,1.1742632612676e-4,2.93565815316901e-5,0.00120276927980845,0.00409246410775439,3.56646235446763e-4,4.25547575791488e-5,1.09372484608583e-5,6.78178427412446e-4,2019-07-20,1,LC.0,1,1,100,83.52687857,84.07531374141284,0.6581222056954175,0.6581232056954175,25.166666666666668,0.008229533235009967,0.008229533235009967,2.6375360000000003,0,28.333333333333332,25.166666666666668,2,0.6911540761035173,FALSE,0,0,0.006911540761035173,0.004194443677482451,0.006581232056954175,0.006581232056954175,0.010775675734436626,0,0,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,25.002716793333253,0.0025461155918887904,0.0010883166688992162
7,6,0.0463607898844173,26533.7461567057,0.167279000859845,0.0746045577372429,1.27934045250535e-4,4.95043050672191e-4,0.00404020676767486,0.00783491710572216,1.72247635030848,8.75670200769186,0.0219148854837992,14.2418289518154,0.00698172733485245,0.0157854115522837,0.00137565228597423,1.35001449461743e-4,3.37503623654358e-5,0.00138278699077169,0.00463607898844173,4.04020676767486e-4,4.95043050672191e-5,1.27934045250535e-5,7.83491710572216e-4,2019-07-21,1,LC.0,1,1,100,83.52687857,84.08217168577535,0.6663517389304274,0.6663527389304275,24.27777777777778,0.008257234501638844,0.008257234501638844,2.8163519999999997,0.1778,27.22222222222222,24.27777777777778,2,0.778552099787846,FALSE,0,0.001778,0.00778552099787846,0.014237054232888426,0.006663527389304274,0.006663527389304274,0.0209005816221927,0,3.469446951953614e-18,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,25.004285582200797,0.0029271910885730985,0.0012498100969319747
8,7,0.051649025990272,26533.7516843094,0.16883574001588,0.0739598331387305,1.4650430146412e-4,5.65451284548955e-4,0.00450106102311796,0.00884590276135418,1.72228973830496,8.75725630920691,0.0238751278523579,14.2386212886553,0.0069748811293521,0.0156648698620715,0.00136514743146686,1.33970541724855e-4,3.34926354312138e-5,0.00137222765372058,0.0051649025990272,4.50106102311796e-4,5.65451284548955e-5,1.4650430146412e-5,8.84590276135418e-4,2019-07-22,1,LC.0,1,1,100,83.52687857,84.08905271452672,0.6746089734320663,0.6746099734320663,18.944444444444443,1.1598955317704274e-4,1.1598955317704274e-4,1.34112,0.025400000000000002,20.555555555555554,18.944444444444443,2,0.5028051876319839,FALSE,0,2.5400000000000005e-4,0.005028051876319839,0.013031286377958681,0.006746099734320663,0.006746099734320663,0.019777386112279343,0,0,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,25.00587183767398,0.0029048382623435088,0.0014058919370485215
9,8,0.0550626475757557,26533.7576778875,0.17041205991719,0.0733990269029821,1.61176119913375e-4,6.20683443003613e-4,0.00479854812517848,0.00966070923232921,1.72233073384565,8.75774409769112,0.0255815359860274,14.2354493170936,0.00698255744763384,0.0138572641456727,0.00120761989867699,1.18511369757061e-4,2.96278424392651e-5,0.00121388311764042,0.00550626475757557,4.79854812517848e-4,6.20683443003613e-5,1.61176119913375e-5,9.66070923232922e-4,2019-07-23,1,LC.0,1,1,100,83.52687857,84.0891493724877,0.6747249629852433,0.6747259629852433,20.722222222222225,-0.004917296766319579,-0.004917296766319579,1.430528,0.012700000000000001,22.77777777777778,20.722222222222225,2,0.3843780484314961,FALSE,0,1.2700000000000002e-4,0.0038437804843149607,0.0038327700374920035,0.0067472596298524335,0.0067472596298524335,0.010580029667344438,-8.673617379884035e-19,-1.3010426069826053e-18,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,25.00714044580463,0.002569642228513736,0.0015241116920424688
10,9,0.056677397114483,26533.7639619825,0.171987302724441,0.0728366287608695,1.71771219926413e-4,6.59463399843146e-4,0.0049392688081248,0.0102824110244351,1.72234815947432,8.75823849831195,0.0272933668966573,14.2323271838875,0.00699208763484669,0.0131345244312268,0.00114463525383268,1.1233028865502e-4,2.80825721637549e-5,0.0011505718082368201,0.0056677397114483,4.9392688081248e-4,6.59463399843146e-5,1.71771219926413e-5,0.00102824110244351,2019-07-24,1,LC.0,1,1,100,83.52687857,84.08505162518243,0.6698076662189237,0.6698086662189238,19.38888888888889,-0.009322833997316593,-0.009322833997316593,1.8775680000000001,0,21.11111111111111,19.38888888888889,2,0.5189480908069838,FALSE,0,0,0.005189480908069838,2.7218414175025907e-4,0.006698086662189237,0.006698086662189237,0.006970270803939496,0,0,LC,0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,df.hydroclimate.1m.LC.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_LC.0_2023-08-23.csv,25.008076142142915,0.0024356199228882753,0.001605291445232946
