X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
1,0,0,19907.9194532772,0.485311086696307,0.242655543348153,0,0,0,0,2.17107023401048,11.8458597728847,0.0118577174903751,18.4068211917237,0.00646684508947782,0.414983444535392,0.00349029570409944,1.38513766130474e-4,3.46284415326185e-5,0.00301103798592186,0,0,0,0,0,2019-07-15,1,OCD.0,1,1,100,77.29694,77.80011189256956,0.6038062710834652,0.6038072710834652,19.38888888888889,-0.011062482829447662,-0.011062482829447662,1.8328639999999998,0,21.11111111111111,19.38888888888889,1,0.6995465321136183,FALSE,0,0,0.006995465321136183,-0.004191722688808044,0.006038072710834652,0.010229795399642696,0.006038072710834652,0,0,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.17004239124319,0.006674475897684393,0
2,1,0.365756977545503,19907.9436112771,0.486223285238204,0.240745717166488,3.22907997975403e-5,1.28531074388519e-4,0.0030762673168823,0.00303842481942274,2.17031614661173,11.8467673428657,0.0153534040930845,18.4054555059845,0.00515637705674943,0.407380446146783,0.00342634926728737,1.35976026481922e-4,3.39940066204804e-5,0.00295587212989444,0.0420549338977181,3.53710869800428e-4,1.47785720274862e-5,3.71281351924739e-6,3.49359719099582e-4,2019-07-16,1,OCD.0,1,1,100,77.29694,77.79089315687835,0.5927437882540175,0.5927447882540176,20.27777777777778,0.022358224439352647,0.022358224439352647,3.57632,0.4318,22.22222222222222,20.27777777777778,1,0.6137036886829951,FALSE,0,0.004318,0.006137036886829951,-0.009243445942617709,0.005927447882540175,0.015170893825157884,0.005927447882540175,0,-1.734723475976807e-18,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.176293293026944,0.0065521914302842125,7.215619744467436e-4
3,2,0.723527574041837,19908.0107540955,0.486967927533519,0.23867706905197,6.6820620107022e-5,2.64709892140369e-4,0.00608536368553935,0.00620677702767081,2.16923826108491,11.847756852581,0.019124710921142,18.4036038221374,0.0050638691373861,0.557154462766226,0.00468605158475651,1.85967811416075e-4,4.64919528540187e-5,0.0040426028399596,0.0723527574041836,6.08536368553935e-4,2.64709892140369e-5,6.6820620107022e-6,6.2067770276708e-4,2019-07-17,1,OCD.0,1,1,100,77.29694,77.80952501057781,0.6151020126933702,0.6151030126933702,22.055555555555557,5.488803874470483e-4,5.488803874470483e-4,3.442208,0.8636,24.444444444444443,22.055555555555557,2,0.6301257724731723,FALSE,0,0.008636,0.006301257724731723,0.02002348216408437,0.006151030126933702,0.006151030126933702,0.02617451229101807,0,0,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.18305618367278,0.008961114188986204,0.001262367122545754
4,3,1.0350946252238,19908.1202777403,0.487692822062286,0.236570317310244,1.00089544569281e-4,3.94528907888747e-4,0.00870585651386607,0.00924674450587029,2.16808790379455,11.8487715438005,0.0229487459855236,18.4020867728643,0.00508572300687268,0.4636000579921,0.00389919480436544,1.54741088726288e-4,3.86852721815721e-5,0.00336379053977113,0.10350946252238,8.70585651386607e-4,3.94528907888747e-5,1.00089544569281e-5,9.24674450587029e-4,2019-07-18,1,OCD.0,1,1,100,77.29694,77.80998241090069,0.6156508930808172,0.6156518930808172,21.166666666666668,-0.0055738274477278305,-0.0055738274477278305,2.01168,0,23.333333333333332,21.166666666666668,2,0.44503762623713766,FALSE,0,0,0.004450376262371377,0.004999256649818425,0.0061565189308081724,0.0061565189308081724,0.011155775580626599,-8.673617379884035e-19,-8.673617379884035e-19,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.189691048296474,0.00745641170504443,0.0018447219472194389
5,4,1.23546687561309,19908.2607823737,0.48838185878409,0.234323976263961,1.25550924761772e-4,4.91877047098387e-4,0.0103911247190531,0.0115923414179042,2.16675567769072,11.8498612132525,0.0270066504179472,18.4008861925266,0.00513135533112548,0.446279964353091,0.00375352092455437,1.48959963162695e-4,3.72399907906737e-5,0.00323811935805648,0.123546687561309,0.00103911247190531,4.91877047098387e-5,1.25550924761772e-5,0.00115923414179042,2019-07-19,1,OCD.0,1,1,100,77.29694,77.80533755469425,0.6100770656330894,0.6100780656330894,24.27777777777778,-0.006491587564641965,-0.006491587564641965,3.889248,0,27.22222222222222,24.27777777777778,2,0.7917034244952605,FALSE,0,0,0.007917034244952605,0.0023432067972247745,0.006100780656330894,0.006100780656330894,0.008443987453555669,0,0,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.19494781837576,0.007177840236564219,0.002260089410881746
6,5,1.3779860224001,19908.4238990718,0.488998653163339,0.231787754664085,1.46898285004359e-4,5.71380819105328e-4,0.0115898085998993,0.01356786616839,2.16506293278718,11.8511009813238,0.031562243407498,18.3999680835261,0.00518503478243153,0.427218239783609,0.00359319873278097,1.42597513542526e-4,3.56493783856314e-5,0.00309981124598191,0.13779860224001,0.00115898085998993,5.71380819105328e-5,1.46898285004359e-5,0.001356786616839,2019-07-20,1,OCD.0,1,1,100,77.29694,77.79992789839038,0.6035854780684474,0.6035864780684475,25.166666666666668,-0.00888787420511794,-0.00888787420511794,2.6375360000000003,0,28.333333333333332,25.166666666666668,2,0.6911540761035173,FALSE,0,0,0.006911540761035173,4.1995319639320794e-4,0.006035864780684475,0.006035864780684475,0.006455817977077683,0,0,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.199541637526835,0.0068712568706910376,0.002587595387239899
7,6,1.47112193990936,19908.6038841315,0.489626195816971,0.229287479621899,1.64295079408864e-4,6.34818577754864e-4,0.0123731456150515,0.0151857866381151,2.16338450699345,11.8523333614467,0.0360261893729873,18.3992712380883,0.00522062749497644,0.408723260156826,0.00343764325511356,1.36424232857846e-4,3.41060582144615e-5,0.00296561532337724,0.151265206562888,0.001272244248773,6.52739658685022e-5,1.68933168963404e-5,0.00156144850424565,2019-07-21,1,OCD.0,1,1,100,77.29694,77.79252133655278,0.5946976038633295,0.5946986038633295,24.27777777777778,-0.006927504976658838,-0.006927504976658838,2.8163519999999997,0.1778,27.22222222222222,24.27777777777778,2,0.778552099787846,FALSE,0,0.001778,0.00778552099787846,-0.0028803532072394803,0.005946986038633295,0.008827339245872775,0.005946986038633295,0,0,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.20350764474561,0.006573788869563107,0.0029158600357834926
8,7,1.53160681667144,19908.7957936014,0.490381354536048,0.22727725052104,1.78757476144613e-4,6.88081344235555e-4,0.0128818649586919,0.0165328663584042,2.16226400798256,11.8533321491325,0.0395970530804683,18.3986970769463,0.00520654849238464,0.403962140073148,0.00339759896613388,1.34835059404125e-4,3.37087648510311e-5,0.00293106957554978,0.156284089312186,0.00131445649875532,7.02113395461773e-5,1.8240287953092e-5,0.00168700213032386,2019-07-22,1,OCD.0,1,1,100,77.29694,77.7867484157389,0.5877700988866706,0.5877710988866707,18.944444444444443,0.0026737971422392537,0.0026737971422392537,1.34112,0.025400000000000002,20.555555555555554,18.944444444444443,2,0.5028051876319839,FALSE,0,2.5400000000000005e-4,0.005028051876319839,-0.002153453100338999,0.005877710988866707,0.008031164089205706,0.005877710988866707,0,0,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.20703701082878,0.006497212365938816,0.003089910256578449
9,8,1.60263938200727,19908.9961872006,0.491197588287112,0.225522872019775,1.93777164079992e-4,7.44298401923185e-4,0.0134792976054819,0.01791702739612,2.16142690558117,11.8542099536936,0.0427007908934782,18.3981746392671,0.00521877826677327,0.454829721074209,0.00382543024900519,1.51813713158113e-4,3.79534282895282e-5,0.00330015470572318,0.160263938200727,0.00134792976054819,7.44298401923185e-5,1.93777164079992e-5,0.001791702739612,2019-07-23,1,OCD.0,1,1,100,77.29694,77.7889765800241,0.5904438960289099,0.5904448960289099,20.722222222222225,-0.0043451899377032754,-0.0043451899377032754,1.430528,0.012700000000000001,22.77777777777778,20.722222222222225,2,0.3843780484314961,FALSE,0,1.2700000000000002e-4,0.0038437804843149607,0.0063905776265542145,0.0059044489602891,0.0059044489602891,0.012295026586843314,0,-4.336808689942018e-19,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.21078592857661,0.007315352096176011,0.0032334400567605075
10,9,1.66396264579262,19909.2063645566,0.492011379082814,0.223760871869655,2.07790526743308e-4,7.9625520878002e-4,0.0139950683596405,0.0192054929381844,2.16056446295786,11.8550972347372,0.045805173304827,18.3977726995811,0.00523595758520521,0.415749282626531,0.00349673692828497,1.38769388661075e-4,3.46923471652688e-5,0.00301659475599028,0.166396264579262,0.00139950683596405,7.9625520878002e-5,2.07790526743308e-5,0.00192054929381844,2019-07-24,1,OCD.0,1,1,100,77.29694,77.78535558840935,0.5860987060912066,0.5860997060912067,19.38888888888889,-0.014272184819805078,-0.014272184819805078,1.8775680000000001,0,21.11111111111111,19.38888888888889,2,0.5189480908069838,FALSE,0,0,0.005189480908069838,8.442909703665624e-4,0.005860997060912067,0.005860997060912067,0.006705288031278629,0,0,OCD,0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_siphon_10d_OCD.0_2023-08-23.csv,33.21445238615201,0.006686793420101594,0.003420460703334823
