X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
1,0,0,34576.5238957775,0.470118485180778,0.235059242590389,0,0,0,0,1.18444010222388,9.73897859719117,0.00974872732451568,15.1669319145415,0.00457006534852747,0.0104008582233736,2.60827282076847e-4,1.94428899370428e-5,4.8607224842607e-6,2.52353231006593e-4,0,0,0,0,0,2019-07-15,1,LC.2,1,1,100,83.91616429,84.08989191087393,0.20847314504871975,0.20847414504871975,19.38888888888889,-0.012751278655480314,-0.012751278655480314,1.8328639999999998,0,21.11111111111111,19.38888888888889,1,0.6995465321136183,FALSE,0,0,0.006995465321136183,-0.003162419214039116,0.0020847414504871977,0.005247160664526313,0.0020847414504871977,-4.336808689942018e-19,0,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.809847134400762,5.374841255047435e-4,0
2,1,0.00785288113447349,34576.5255299239,0.470637777865203,0.233209006357798,4.3285397154445e-6,1.72293915025842e-5,1.96930445429425e-4,3.88521000883887e-4,1.1842533213421,9.73967601106637,0.012428687134871899,15.1658662240936,0.00364501089370299,0.00976469245711884,2.44873849754341e-4,1.82536706717316e-5,4.56341766793291e-6,2.36918111796007e-4,0.00120931917213459,3.03266736318396e-5,2.6532724883381e-6,6.66581599236695e-7,5.98310208826693e-5,2019-07-16,1,LC.2,1,1,100,83.91616429,84.0792658453277,0.19572186639323944,0.19572286639323944,20.27777777777778,0.006814203901785748,0.006814203901785748,3.57632,0.4318,22.22222222222222,20.27777777777778,1,0.6137036886829951,FALSE,0,0.004318,0.006137036886829951,-0.010932241768650361,0.0019572286639323944,0.012889470432582754,0.0019572286639323944,0,-1.734723475976807e-18,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.810323048131178,5.046090498900125e-4,9.34775486020837e-5
3,2,0.0134438981069937,34576.5295538893,0.471026330865697,0.231204537249997,8.4537199988416e-6,3.34857331481886e-5,3.37139044534334e-4,7.18298305687503e-4,1.18386959316461,9.74043549468436,0.0153163472502299,15.1642570999678,0.00357612296971856,0.0121065123809645,3.03600784852584e-4,2.2631362017373e-5,5.65784050434326e-6,2.93737059956459e-4,0.00134438981069937,3.37139044534334e-5,3.34857331481886e-6,8.4537199988416e-7,7.18298305687503e-5,2019-07-17,1,LC.2,1,1,100,83.91616429,84.08494434857919,0.20253607029502518,0.20253707029502518,22.055555555555557,-0.0024862864102203897,-0.0024862864102203897,3.442208,0.8636,24.444444444444443,22.055555555555557,2,0.6301257724731723,FALSE,0,0.008636,0.006301257724731723,0.004479461626517471,0.0020253707029502517,0.0020253707029502517,0.0065048323294677225,8.673617379884035e-19,8.673617379884035e-19,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.810782902955786,6.256270473307592e-4,1.097376803368867e-4
4,3,0.017692177243558,34576.5354812335,0.471395792451562,0.2291627310992,1.2553339784943e-5,4.94874878152136e-5,4.43675166544313e-4,0.00103743363009115,1.18344441453424,9.74121334828415,0.0182405552762904,15.1626717423717,0.00358553596382197,0.0114045667646525,2.85997759858264e-4,2.13191769008532e-5,5.32979422521329e-6,2.76705941902261e-4,0.0017692177243558,4.43675166544313e-5,4.94874878152136e-6,1.2553339784943e-6,1.03743363009115e-4,2019-07-18,1,LC.2,1,1,100,83.91616429,84.08287244323733,0.2000497838848048,0.2000507838848048,21.166666666666668,-0.0063533451058390145,-0.0063533451058390145,2.01168,0,23.333333333333332,21.166666666666668,2,0.44503762623713766,FALSE,0,0,0.004450376262371377,0.0019640898521509874,0.0020005078388480478,0.0020005078388480478,0.003964597690999035,0,0,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.8112572696052,5.893526728865915e-4,1.5431496242356195e-4
5,4,0.0198717760625495,34576.5427320264,0.471727389586036,0.226984185921296,1.59488813756061e-5,6.25203051710281e-5,4.98334005629138e-4,0.0013089283063349,1.18291908455889,9.74204805569368,0.0213409731594393,15.161150064073,0.00361472230185833,0.0112337403936736,2.81713865482186e-4,2.09998418750354e-5,5.24996046875884e-6,2.72561227520827e-4,0.00198717760625495,4.98334005629138e-5,6.25203051710281e-6,1.59488813756061e-6,1.3089283063349e-4,2019-07-19,1,LC.2,1,1,100,83.91616429,84.07757798898247,0.19369643877896578,0.19369743877896578,24.27777777777778,-0.0027170970835527497,-0.0027170970835527497,3.889248,0,27.22222222222222,24.27777777777778,2,0.7917034244952605,FALSE,0,0,0.007917034244952605,0.0015636891391135905,0.0019369743877896578,0.0019369743877896578,0.0035006635269032482,0,0,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.81167020679271,5.805248953468072e-4,1.8857314985106722e-4
6,5,0.021471360192464,34576.550842014,0.47198602119614,0.224525707660052,1.91146061348154e-5,7.44564748519035e-5,5.38447539733589e-4,0.00155995085971121,1.18219919320618,9.74299591192909,0.0248143748908951,15.1597110795477,0.00365050897161092,0.0123103472912829,3.08712450112209e-4,2.30124017009772e-5,5.7531004252443e-6,2.98682651666879e-4,0.0021471360192464,5.38447539733589e-5,7.44564748519035e-6,1.91146061348154e-6,1.55995085971121e-4,2019-07-20,1,LC.2,1,1,100,83.91616429,84.07531374141284,0.19097934169541303,0.19098034169541303,25.166666666666668,0.008229533235009967,0.008229533235009967,2.6375360000000003,0,28.333333333333332,25.166666666666668,2,0.6911540761035173,FALSE,0,0,0.006911540761035173,0.004194443677482423,0.0019098034169541304,0.0019098034169541304,0.006104247094436554,0,0,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.8120747668821,6.361606039053095e-4,2.191969480431518e-4
7,6,0.0252365633539356,34576.559749275,0.472251865639188,0.222101481398578,2.33172814057765e-5,9.04609551570943e-5,6.32869335126089e-4,0.00185663085010967,1.1814880133957,9.74393682225443,0.0282128579068524,15.1583434059858,0.00367284384578433,0.0176410115088875,4.42392059013861e-4,3.29773022359449e-5,8.24432555898623e-6,4.28019126583987e-4,0.00252365633539356,6.32869335126089e-5,9.04609551570943e-6,2.33172814057765e-6,1.85663085010967e-4,2019-07-21,1,LC.2,1,1,100,83.91616429,84.08217168577535,0.199208874930423,0.199209874930423,24.27777777777778,0.008257234501638788,0.008257234501638788,2.8163519999999997,0.1778,27.22222222222222,24.27777777777778,2,0.778552099787846,FALSE,0,0.001778,0.00778552099787846,0.014237054232888426,0.00199209874930423,0.00199209874930423,0.016229152982192657,0,3.469446951953614e-18,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.812610568848132,9.116328133927791e-4,2.60327842179863e-4
8,7,0.0297019192058185,34576.5700049227,0.472639383013507,0.220151981166842,2.81001000596217e-5,1.08896317720613e-4,7.44849193455009e-4,0.00217405514476183,1.1810808046847,9.74469834292743,0.0309272393138249,15.1570186444245,0.00365800349495867,0.0173283296073191,4.34550785843017e-4,3.23927889518549e-5,8.09819723796373e-6,4.2043260954439e-4,0.00297019192058185,7.44849193455009e-5,1.08896317720613e-5,2.81001000596217e-6,2.17405514476183e-4,2019-07-22,1,LC.2,1,1,100,83.91616429,84.08905271452672,0.20746610943206178,0.20746710943206179,18.944444444444443,1.1598955317707049e-4,1.1598955317707049e-4,1.34112,0.025400000000000002,20.555555555555554,18.944444444444443,2,0.5028051876319839,FALSE,0,2.5400000000000005e-4,0.005028051876319839,0.013031286377958626,0.002074671094320618,0.002074671094320618,0.015105957472279243,0,0,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.813230299781758,8.954743815772256e-4,3.055900755997074e-4
9,8,0.0305281713737447,34576.5811126934,0.473085935421921,0.218450618274398,3.1196228759664e-5,1.2063489045622e-4,7.65569513128821e-4,0.00239488311679501,1.18082699036701,9.74536669581735,0.0332829546767265,15.1556943908902,0.0036641961209572,0.0126394490076315,3.16965490809286e-4,2.36276094378424e-5,5.9069023594606e-6,3.06667558264658e-4,0.00305281713737447,7.65569513128821e-5,1.2063489045622e-5,3.1196228759664e-6,2.39488311679501e-4,2019-07-23,1,LC.2,1,1,100,83.91616429,84.0891493724877,0.20758209898523886,0.20758309898523886,20.722222222222225,-0.0049172967663196065,-0.0049172967663196065,1.430528,0.012700000000000001,22.77777777777778,20.722222222222225,2,0.3843780484314961,FALSE,0,1.2700000000000002e-4,0.0038437804843149607,0.0038327700374920313,0.0020758309898523887,0.0020758309898523887,0.00590860102734442,4.336808689942018e-19,4.336808689942018e-19,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.8136840653177,6.531675608712471e-4,3.3122837491397154e-4
10,9,0.0283971613309239,34576.5919888843,0.473528245979876,0.216740579158555,3.24747518130548e-5,1.25100805367534e-4,7.12129157957137e-4,0.00251484539705916,1.18055884173965,9.74604193502106,0.0356376406215235,15.1543876732744,0.00367358679887721,0.0107646816316793,2.69951055202708e-4,2.0123004821054e-5,5.03075120526351e-6,2.61180580695433e-4,0.00283971613309239,7.12129157957137e-5,1.25100805367534e-5,3.24747518130548e-6,2.51484539705916e-4,2019-07-24,1,LC.2,1,1,100,83.91616429,84.08505162518243,0.20266480221891925,0.20266580221891925,19.38888888888889,-0.009322833997316593,-0.009322833997316593,1.8775680000000001,0,21.11111111111111,19.38888888888889,2,0.5189480908069838,FALSE,0,0,0.005189480908069838,2.721841417502313e-4,0.0020266580221891925,0.0020266580221891925,0.002298842163939424,0,0,LC,2,1.75,0.035875,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_LC.2_2023-08-23.csv,26.81395305270614,5.562853919244585e-4,3.384550112196886e-4
