X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
1,0,0,19907.9194532772,0.485311086696307,0.242655543348153,0,0,0,0,2.17107023401048,11.8458597728847,0.0118577174903751,18.4068211917237,0.00646684508947782,0.460241351253574,9.77866281069304e-4,1.53426660470073e-4,3.83566651175182e-5,3.87298494326181e-4,0,0,0,0,0,2019-07-15,1,OCD.0,1,1,100,77.29694,77.80011189256956,0.6038062710834652,0.6038072710834652,19.38888888888889,-0.011062482829447662,-0.011062482829447662,1.8328639999999998,0,21.11111111111111,19.38888888888889,1,0.6995465321136183,FALSE,0,0,0.006995465321136183,-0.004191722688808044,0.006038072710834652,0.010229795399642696,0.006038072710834652,0,0,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.17004239124319,0.0015569481009830763,0
2,1,0.405642173205126,19907.9462462861,0.486222443619413,0.240745718473757,3.57670257699451e-5,1.42367915479197e-4,8.61860417966705e-4,5.94124914396547e-4,2.17031530624151,11.8467673612398,0.0153534769648117,18.4053033950056,0.00514809984241534,0.451809173300379,9.59950588631094e-4,1.50615698568618e-4,3.76539246421544e-5,3.8020271769449e-4,0.0466409551356979,9.90971741670745e-5,1.63695394543462e-5,4.11251185026508e-6,6.83128020403268e-5,2019-07-16,1,OCD.0,1,1,100,77.29694,77.79089315687835,0.5927437882540175,0.5927447882540176,20.27777777777778,0.022358224439352647,0.022358224439352647,3.57632,0.4318,22.22222222222222,20.27777777777778,1,0.6137036886829951,FALSE,0,0.004318,0.006137036886829951,-0.009243445942617709,0.005927447882540175,0.015170893825157884,0.005927447882540175,0,-1.734723475976807e-18,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.17148992166092,0.0015284229295363565,1.8789202751201258e-4
3,2,0.802430578417704,19908.0207109008,0.486963564345747,0.238677070013604,7.40143565741499e-5,2.932079144073e-4,0.00170490939894119,0.0011501866727818,2.16923390148716,11.8477569248346,0.0191249968458217,18.403020824256,0.00504370958097704,0.617917476413008,0.00131287782599701,2.05989780348766e-4,5.14974450871915e-5,5.19984802714384e-4,0.0802430578417704,1.70490939894119e-4,2.932079144073e-5,7.40143565741499e-6,1.1501866727818e-4,2019-07-17,1,OCD.0,1,1,100,77.29694,77.80952501057781,0.6151020126933702,0.6151030126933702,22.055555555555557,5.488803874470483e-4,5.488803874470483e-4,3.442208,0.8636,24.444444444444443,22.055555555555557,2,0.6301257724731723,FALSE,0,0.008636,0.006301257724731723,0.02002348216408437,0.006151030126933702,0.006151030126933702,0.02617451229101807,0,0,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.173043309706614,0.0020903498541473514,3.2223183427044404e-4
4,3,1.14797382729833,19908.1421802914,0.487681724038184,0.236570310295709,1.10865024423714e-4,4.37003192170654e-4,0.0024390787446794,0.00167574725230904,2.16807680935271,11.8487717089349,0.0229493931790343,18.4007942615821,0.0050520623671295,0.514160070579206,0.00109242638611716,1.71401075459997e-4,4.2850268864999103e-05,4.3267172894305e-4,0.114797382729833,2.4390787446794e-4,4.37003192170654e-5,1.10865024423714e-5,1.67574725230904e-4,2019-07-18,1,OCD.0,1,1,100,77.29694,77.80998241090069,0.6156508930808172,0.6156518930808172,21.166666666666668,-0.0055738274477278305,-0.0055738274477278305,2.01168,0,23.333333333333332,21.166666666666668,2,0.44503762623713766,FALSE,0,0,0.004450376262371377,0.004999256649818425,0.0061565189308081724,0.0061565189308081724,0.011155775580626599,-8.673617379884035e-19,-8.673617379884035e-19,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.17455896396335,0.0017393494593852062,4.662694213582808e-4
5,4,1.37020385175269,19908.2980082483,0.48836064755328,0.234323104445401,1.39068136847044e-4,5.44831575823199e-4,0.0029112467647046,0.0021010580564139,2.16673370070249,11.8498619144776,0.0270092895869596,18.3986751326302,0.00508594029078217,0.494951055363718,0.00105161334700059,1.64997532954735e-4,4.12493832386838e-5,4.16507117375263e-4,0.137020385175269,2.9112467647046e-4,5.44831575823199e-5,1.39068136847044e-5,2.1010580564139e-4,2019-07-19,1,OCD.0,1,1,100,77.29694,77.80533755469425,0.6100770656330894,0.6100780656330894,24.27777777777778,-0.006491587564641965,-0.006491587564641965,3.889248,0,27.22222222222222,24.27777777777778,2,0.7917034244952605,FALSE,0,0,0.007917034244952605,0.0023432067972247745,0.006100780656330894,0.006100780656330894,0.008443987453555669,0,0,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.1757459342205,0.0016743673805692718,5.696204533788743e-4
6,5,1.52827073612498,19908.4789132101,0.488964776156285,0.231786973364141,1.62714319083744e-4,6.32897183655404e-4,0.00324708854849986,0.00247114330429393,2.16502839474084,11.8511017716611,0.0315651983089801,18.3966826429963,0.0051287689871877,0.473810467736412,0.00100669633172931,1.57950078936973e-4,3.94875197342431e-5,3.98717064971399e-4,0.152827073612498,3.24708854849986e-4,6.32897183655404e-5,1.62714319083744e-5,2.47114330429393e-4,2019-07-20,1,OCD.0,1,1,100,77.29694,77.79992789839038,0.6035854780684474,0.6035864780684475,25.166666666666668,-0.00888787420511794,-0.00888787420511794,2.6375360000000003,0,28.333333333333332,25.166666666666668,2,0.6911540761035173,FALSE,0,0,0.006911540761035173,4.1995319639320794e-4,0.006035864780684475,0.006035864780684475,0.006455817977077683,0,0,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.176772369570365,0.0016028509953719254,6.513843355532938e-4
7,6,1.63154032989632,19908.6785297148,0.48957716752657,0.22928688294719,1.81982005704596e-4,7.03157229212524e-4,0.0034665035431188,0.0027848024555494,2.16333502944797,11.8523342048432,0.036029329489226,18.3947925082129,0.00515510640269565,0.453298433998854,9.63114793274578e-4,1.51112160468258e-4,3.77780401170645e-5,3.81455948036804e-4,0.167759910529684,3.56436377077727e-4,7.23007526687922e-5,1.87119401436773e-5,2.8634180977647e-4,2019-07-21,1,OCD.0,1,1,100,77.29694,77.79252133655278,0.5946976038633295,0.5946986038633295,24.27777777777778,-0.006927504976658838,-0.006927504976658838,2.8163519999999997,0.1778,27.22222222222222,24.27777777777778,2,0.778552099787846,FALSE,0,0.001778,0.00778552099787846,-0.0028803532072394803,0.005946986038633295,0.008827339245872775,0.005946986038633295,0,0,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.17764667410333,0.0015334609418967047,7.337908796666666e-4
8,7,1.69862739089296,19908.8913661455,0.490315061959037,0.227276535540784,1.98001748988429e-4,7.62155563736902e-4,0.00360904218000132,0.00304893321297367,2.1621972089586,11.8533332090765,0.0396009777403911,18.3929396058022,0.005134044107124,0.448018068312831,9.5189569802811e-4,1.49351890837855e-4,3.73379727094638e-5,3.77012458389214e-4,0.173326751994594,3.68264142109631e-4,7.77698211422815e-5,2.02039601065022e-5,3.11111014508813e-4,2019-07-22,1,OCD.0,1,1,100,77.29694,77.7867484157389,0.5877700988866706,0.5877710988866707,18.944444444444443,0.0026737971422392537,0.0026737971422392537,1.34112,0.025400000000000002,20.555555555555554,18.944444444444443,2,0.5028051876319839,FALSE,0,2.5400000000000005e-4,0.005028051876319839,-0.002153453100338999,0.005877710988866707,0.008031164089205706,0.005877710988866707,0,0,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.17841477589034,0.0015155980199646427,7.773489378672278e-4
9,8,1.77741348541843,19909.1136130598,0.491112489731294,0.225522092768261,2.14638941769828e-4,8.24427119033388e-4,0.00377643753690212,0.00330684605445194,2.16134130454383,11.8542112130532,0.0427054386644872,18.3910771773464,0.00513992445053213,0.504433244684843,0.0010717599791591,1.68158528022915e-4,4.20396320057288e-5,4.24486490886541e-4,0.177741348541843,3.77643753690212e-4,8.24427119033388e-5,2.14638941769828e-5,3.30684605445194e-4,2019-07-23,1,OCD.0,1,1,100,77.29694,77.7889765800241,0.5904438960289099,0.5904448960289099,20.722222222222225,-0.0043451899377032754,-0.0043451899377032754,1.430528,0.012700000000000001,22.77777777777778,20.722222222222225,2,0.3843780484314961,FALSE,0,1.2700000000000002e-4,0.0038437804843149607,0.0063905776265542145,0.0059044489602891,0.0059044489602891,0.012295026586843314,0,-4.336808689942018e-19,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.17923199021016,0.0017064446300742847,8.122349652157277e-4
10,9,1.84543056779132,19909.3467104705,0.491905771641978,0.223759986569335,2.3016138760168e-4,8.81979360131257e-4,0.00392095217299033,0.00354646118713148,2.16045833637946,11.8550987182973,0.0458106258972273,18.3892651531061,0.00515005569394542,0.461090711300459,9.79670900641348e-4,1.53709804249256e-4,3.8427451062314e-5,3.88013240766072e-4,0.184543056779132,3.92095217299033e-4,8.81979360131257e-5,2.3016138760168e-5,3.54646118713148e-4,2019-07-24,1,OCD.0,1,1,100,77.29694,77.78535558840935,0.5860987060912066,0.5860997060912067,19.38888888888889,-0.014272184819805078,-0.014272184819805078,1.8775680000000001,0,21.11111111111111,19.38888888888889,2,0.5189480908069838,FALSE,0,0,0.005189480908069838,8.442909703665624e-4,0.005860997060912067,0.005860997060912067,0.006705288031278629,0,0,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.1800282016932,0.00155982139671899,8.579554107854747e-4
11,10,1.85342811494956,19909.5885122557,0.492714911577777,0.222068204457975,2.39692674979491e-4,9.16138853694279e-4,0.00393794441342247,0.00370796319658276,2.15964297658841,11.8559563996978,0.0487801758767959,18.3874852494459,0.00516212352623689,0.435865363921313,9.26075071924218e-4,1.45300649363372e-4,3.63251623408429e-5,3.66785815129093e-4,0.212007425749922,4.50448253753128e-4,1.04794050783293e-4,2.74176411718549e-5,4.24141473706065e-4,2019-07-25,1,OCD.0,1,1,100,77.29694,77.77346210105951,0.5718265212714015,0.5718275212714016,19.833333333333336,-0.009807338746384175,-0.009807338746384175,2.190496,0,21.666666666666668,19.833333333333336,1,0.5037918163828237,FALSE,0,0,0.005037918163828236,-0.009234266655976842,0.005718275212714016,0.014952541868690859,0.005718275212714016,1.734723475976807e-18,1.734723475976807e-18,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.18061178030957,0.001474486698757526,0.0010068014194143408
12,11,1.83918907979337,19909.8342169069,0.493490880002783,0.220262530169356,2.46542585794896e-4,9.39154811998249e-4,0.00390769099895573,0.00383586503599223,2.15866839754773,11.8568776393596,0.0519354614555737,18.3857518416466,0.00519424021806413,0.428389896900777,9.10192085498255e-4,1.42808617873174e-4,3.57021544682936e-5,3.60495121966576e-4,0.189476497352858,4.02577207180139e-4,9.67533823490854e-5,2.53992512884982e-5,3.9517757000806e-4,2019-07-26,1,OCD.0,1,1,100,77.29694,77.76528931877085,0.5620191825250174,0.5620201825250174,21.61111111111111,-0.011450719918576602,-0.011450719918576602,1.922272,0,23.88888888888889,21.61111111111111,1,0.6757539678046656,FALSE,0,0,0.006757539678046656,-0.0030497990683375194,0.005620201825250174,0.008670000893587694,0.005620201825250174,8.673617379884035e-19,0,OCD,0,11.927083333333332,0.02975,0.23310810810810811,0.2587269102990033,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,df.hydroclimate.1m.OCD.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCD.0_2023-08-23.csv,33.18111024383245,0.0014491979798062985,9.199074108257827e-4
