X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
1,0,0,34576.5238957775,0.470118485180778,0.235059242590389,0,0,0,0,1.18444010222388,9.73897859719117,0.00974872732451568,15.1669319145415,0.00457006534852747,0.0111390987305964,2.79340491360407e-4,2.08229230670727e-5,5.20573076676817e-6,2.70264962255747e-4,0,0,0,0,0,2019-07-15,1,LC.2,1,1,100,83.91616429,84.08989191087393,0.20847314504871975,0.20847414504871975,19.38888888888889,-0.012751278655480314,-0.012751278655480314,1.8328639999999998,0,21.11111111111111,19.38888888888889,1,0.6995465321136183,FALSE,0,0,0.006995465321136183,-0.003162419214039116,0.0020847414504871977,0.005247160664526313,0.0020847414504871977,-4.336808689942018e-19,0,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.809847134400762,5.756341074499949e-4,0
2,1,0.00859416589481828,34576.5256713546,0.470637796207901,0.233209006328605,4.74338095230969e-6,1.88799106699804e-5,2.155199969004e-4,4.14111318409721e-4,1.18425333967171,9.73967601740112,0.0124287123007585,15.1658698984773,0.00364521047262863,0.010457778677275,2.6225470344601e-4,1.95492944371911e-5,4.88732360929777e-6,2.53734276699543e-4,9.24266597707887e-4,2.31782742747904e-5,2.0304554291293e-6,5.10130782682124e-7,4.45359403138417e-5,2019-07-16,1,LC.2,1,1,100,83.91616429,84.0792658453277,0.19572186639323944,0.19572286639323944,20.27777777777778,0.006814203901785748,0.006814203901785748,3.57632,0.4318,22.22222222222222,20.27777777777778,1,0.6137036886829951,FALSE,0,0.004318,0.006137036886829951,-0.010932241768650361,0.0019572286639323944,0.012889470432582754,0.0019572286639323944,0,-1.734723475976807e-18,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.810373235466955,5.404255981920419e-4,7.025480080044352e-5
3,2,0.015754212298365,34576.5302217006,0.471026488111717,0.23120457953244,9.87138419127739e-6,3.91050049334888e-5,3.95075895353502e-4,8.05571795305094e-4,1.18386976213675,9.74043551393442,0.0153164062060211,15.1642748891276,0.00357667649784729,0.0148255856711566,3.7178828253953e-4,2.77142735979916e-5,6.9285683994979e-6,3.59709205272476e-4,8.43621374531834e-4,2.11558955516365e-5,2.09403157633516e-6,5.28602163171403e-7,4.31375160096003e-5,2019-07-17,1,LC.2,1,1,100,83.91616429,84.08494434857919,0.20253607029502518,0.20253707029502518,22.055555555555557,-0.0024862864102203897,-0.0024862864102203897,3.442208,0.8636,24.444444444444443,22.055555555555557,2,0.6301257724731723,FALSE,0,0.008636,0.006301257724731723,0.004479461626517471,0.0020253707029502517,0.0020253707029502517,0.0065048323294677225,8.673617379884035e-19,8.673617379884035e-19,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.81095393962658,7.661403298094955e-4,6.691604530074336e-5
4,3,0.0217548414326204,34576.5373801936,0.471396242859364,0.229162780894969,1.54116421052904e-5,6.07591244449971e-5,5.45556533991736e-4,0.00121368976454088,1.18344487986649,9.74121343329292,0.0182408738584346,15.1627224225309,0.00358736033608855,0.0135369318079519,3.39472095023179e-4,2.5305322846896e-5,6.32633071172399e-6,3.28442942523308e-4,0.00116494870606854,2.92139742930021e-5,3.25358673025874e-6,8.25277103699253e-7,6.49918007975213e-5,2019-07-18,1,LC.2,1,1,100,83.91616429,84.08287244323733,0.2000497838848048,0.2000507838848048,21.166666666666668,-0.0063533451058390145,-0.0063533451058390145,2.01168,0,23.333333333333332,21.166666666666668,2,0.44503762623713766,FALSE,0,0,0.004450376262371377,0.0019640898521509874,0.0020005078388480478,0.0020005078388480478,0.003964597690999035,0,0,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.811603410704247,6.995466911051071e-4,9.82846389244814e-5
5,4,0.0249878098838301,34576.5464013659,0.471728319786954,0.226983758504986,2.01909082253159e-5,7.91337088981527e-5,6.26631225719985e-4,0.00157476220351751,1.18291984076572,9.74204843981213,0.0213424166818503,15.1612493315564,0.00361783770619386,0.0134897514863877,3.38288931597931e-4,2.52171261058516e-5,6.3042815264629e-6,3.27298219046558e-4,0.0013380707407964,3.35554381237662e-5,4.23752625698653e-6,1.08120174004859e-6,8.43268472921427e-5,2019-07-19,1,LC.2,1,1,100,83.91616429,84.07757798898247,0.19369643877896578,0.19369743877896578,24.27777777777778,-0.0027170970835527497,-0.0027170970835527497,3.889248,0,27.22222222222222,24.27777777777778,2,0.7917034244952605,FALSE,0,0,0.007917034244952605,0.0015636891391135905,0.0019369743877896578,0.0019369743877896578,0.0035006635269032482,0,0,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.812190662860594,6.971085582768035e-4,1.2320101341294402e-4
6,5,0.0278618442053759,34576.5567457538,0.471987984738717,0.224525586513203,2.50669695755727e-5,9.76074220092002e-5,6.98704755094678e-4,0.00193508370657364,1.18220113860561,9.74299632952162,0.0248161067487771,15.1598727901396,0.00365510262051176,0.0157689005395389,3.95444239382583e-4,2.94776633844917e-5,7.36941584612293e-6,3.82596600695084e-4,0.00149197223322745,3.74148992486331e-5,5.22677401830215e-6,1.34230965840717e-6,1.03621681963955e-4,2019-07-20,1,LC.2,1,1,100,83.91616429,84.07531374141284,0.19097934169541303,0.19098034169541303,25.166666666666668,0.008229533235009967,0.008229533235009967,2.6375360000000003,0,28.333333333333332,25.166666666666668,2,0.6911540761035173,FALSE,0,0,0.006911540761035173,0.004194443677482423,0.0019098034169541304,0.0019098034169541304,0.006104247094436554,0,0,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.812811501741294,8.148879193082816e-4,1.476056648892974e-4
7,6,0.0351734470642731,34576.5686892709,0.472255206598704,0.222101364675997,3.23881655043715e-5,1.25658060919429e-4,8.82061307059377e-4,0.00241641654507615,1.1814913353854,9.7439374809737,0.0282154942112805,15.1585907889008,0.00367936462119735,0.0260487967480937,6.53238099324242e-4,4.8694432448605e-5,1.21736081121513e-5,6.32014962807878e-4,0.00188350081853755,4.7233448311472e-5,6.72885600791704e-6,1.73435194244514e-6,1.29396545418534e-4,2019-07-21,1,LC.2,1,1,100,83.91616429,84.08217168577535,0.199208874930423,0.199209874930423,24.27777777777778,0.008257234501638788,0.008257234501638788,2.8163519999999997,0.1778,27.22222222222222,24.27777777777778,2,0.778552099787846,FALSE,0,0.001778,0.00778552099787846,0.014237054232888426,0.00199209874930423,0.00199209874930423,0.016229152982192657,0,3.469446951953614e-18,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.81372755944564,0.0013461211026928764,1.8509320168036818e-4
8,7,0.0438069789224456,34576.5834672725,0.472644655560648,0.220151747168256,4.11896669515219e-5,1.59656280386004e-4,0.00109856850299735,0.00296734765034022,1.18108601040302,9.7446993990286,0.0309313759563681,15.1573929980274,0.00366708600192764,0.025040716786941,6.27957997361819e-4,4.6809973751881e-5,1.1702493437970199e-05,6.07556189325302e-4,0.00234581730096884,5.88271792308008e-5,8.54942463393484e-6,2.20566301837622e-6,1.58898322307973e-4,2019-07-22,1,LC.2,1,1,100,83.91616429,84.08905271452672,0.20746610943206178,0.20746710943206179,18.944444444444443,1.1598955317707049e-4,1.1598955317707049e-4,1.34112,0.025400000000000002,20.555555555555554,18.944444444444443,2,0.5028051876319839,FALSE,0,2.5400000000000005e-4,0.005028051876319839,0.013031286377958626,0.002074671094320618,0.002074671094320618,0.015105957472279243,0,0,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.814840034246892,0.0012940266538769723,0.00022848058919108484
9,8,0.0452355796752892,34576.5999639274,0.473093740302571,0.218450180553728,4.69475585927858e-5,1.8146246154899e-4,0.00113439420540908,0.00335276943105683,1.18083464045043,9.74536828729139,0.0332890835943227,15.15622175287,0.00367572133596747,0.015657579565345,3.92652590221181e-4,2.92695650331391e-5,7.31739125828477e-6,3.7989564978187e-4,0.00242231735745826,6.07456076320282e-5,9.71712252816198e-6,2.51399201438147e-6,1.79537250250844e-4,2019-07-23,1,LC.2,1,1,100,83.91616429,84.0891493724877,0.20758209898523886,0.20758309898523886,20.722222222222225,-0.0049172967663196065,-0.0049172967663196065,1.430528,0.012700000000000001,22.77777777777778,20.722222222222225,2,0.3843780484314961,FALSE,0,1.2700000000000002e-4,0.0038437804843149607,0.0038327700374920313,0.0020758309898523887,0.0020758309898523887,0.00590860102734442,4.336808689942018e-19,4.336808689942018e-19,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.815648980055016,8.091351962944749e-4,2.5251397242541564e-4
10,9,0.0409055111195531,34576.6158754727,0.473539207329353,0.216740351398188,4.93465954263706e-5,1.89781194995832e-4,0.00102580701112726,0.0035578713864026,1.18056973030036,9.74604396150943,0.0356454018750673,15.155062664973,0.00368685073542402,0.0121359575517621,3.04339195443754e-4,2.26864054765471e-5,5.67160136913677e-6,2.94451480231085e-4,0.00219044677468172,5.49308784433092e-5,1.01625818892446e-5,2.64245789466615e-6,1.90520242622092e-4,2019-07-24,1,LC.2,1,1,100,83.91616429,84.08505162518243,0.20266480221891925,0.20266580221891925,19.38888888888889,-0.009322833997316593,-0.009322833997316593,1.8775680000000001,0,21.11111111111111,19.38888888888889,2,0.5189480908069838,FALSE,0,0,0.005189480908069838,2.721841417502313e-4,0.0020266580221891925,0.0020266580221891925,0.002298842163939424,0,0,LC,2,3.5,0.07175,0.6578947368421058,0.4048979591836735,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,TRUE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,df.hydroclimate.1m.LC.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_power_LC.2_2023-08-23.csv,26.816110974308774,6.271486825205229e-4,2.5825616084931195e-4
